,Metric,Value,solver
0,WEAT,0.21900287391471024,auto
1,WEATES,0.8760757993679589,auto
2,ECT,0.5347956771897984,auto
3,RNSB,0.0782034636917801,auto
4,RND,0.5434420120519311,auto
5,RIPA,0.16912664473056793,auto
0,WEAT,0.21900287391471024,full
1,WEATES,0.8760757993679589,full
2,ECT,0.5347956771897984,full
3,RNSB,0.0929532283074322,full
4,RND,0.5434420120519311,full
5,RIPA,0.16912664473056793,full
0,WEAT,0.21900287556766682,arpack
1,WEATES,0.8760758172454961,arpack
2,ECT,0.5347956771897984,arpack
3,RNSB,0.08596717998245362,arpack
4,RND,0.5434419768521759,arpack
5,RIPA,0.16912667453289032,arpack
0,WEAT,0.21900286866715518,randomized
1,WEATES,0.8760757945412649,randomized
2,ECT,0.5347956771897984,randomized
3,RNSB,0.0967690672724976,randomized
4,RND,0.5434419933549429,randomized
5,RIPA,0.16912664473056793,randomized
0,WEAT,0.11589027240150507,auto
1,WEATES,0.5304580968143433,auto
2,ECT,0.40139840783071606,auto
3,RNSB,0.1031183864044825,auto
4,RND,0.18758249850121822,auto
5,RIPA,0.16412551701068878,auto
0,WEAT,0.11589027240150507,full
1,WEATES,0.5304580968143433,full
2,ECT,0.40139840783071606,full
3,RNSB,0.09961130245874372,full
4,RND,0.18758249850121822,full
5,RIPA,0.16412551701068878,full
0,WEAT,0.11589028807374098,arpack
1,WEATES,0.5304581437497127,arpack
2,ECT,0.40139840783071606,arpack
3,RNSB,0.09298235208054341,arpack
4,RND,0.18758254396064697,arpack
5,RIPA,0.16412553191184998,arpack
0,WEAT,0.11589027902473308,randomized
1,WEATES,0.5304581130165134,randomized
2,ECT,0.40139840783071606,randomized
3,RNSB,0.08511661560857206,randomized
4,RND,0.18758253570370578,randomized
5,RIPA,0.16412551701068878,randomized
0,WEAT,0.17659410776878914,auto
1,WEATES,0.7755883836581304,auto
2,ECT,0.5270798472094961,auto
3,RNSB,0.10569856256786485,auto
4,RND,0.1561604370730932,auto
5,RIPA,0.20156221091747284,auto
0,WEAT,0.17659410776878914,full
1,WEATES,0.7755883836581304,full
2,ECT,0.5270798472094961,full
3,RNSB,0.05722651036777753,full
4,RND,0.1561604370730932,full
5,RIPA,0.20156221091747284,full
0,WEAT,0.1765941174857421,arpack
1,WEATES,0.7755882973219511,arpack
2,ECT,0.5270798472094961,arpack
3,RNSB,0.07715277460291982,arpack
4,RND,0.15616043519139963,arpack
5,RIPA,0.20156221091747284,arpack
0,WEAT,0.17659410983998147,randomized
1,WEATES,0.7755883440038887,randomized
2,ECT,0.5270798472094961,randomized
3,RNSB,0.08015375321950476,randomized
4,RND,0.15616044372491655,randomized
5,RIPA,0.20156221091747284,randomized
0,WEAT,0.14709905960843098,auto
1,WEATES,0.7103697983500309,auto
2,ECT,0.869388125910568,auto
