,Metric,Value,solver
0,WEAT,0.21757797155802563,auto
1,WEATES,0.8741950144755464,auto
2,ECT,0.550912685692888,auto
3,RNSB,0.08344037942585043,auto
4,RND,0.5471582587425743,auto
5,RIPA,0.16826914250850677,auto
0,WEAT,0.21757797155802563,full
1,WEATES,0.8741950144755464,full
2,ECT,0.550912685692888,full
3,RNSB,0.07072274658355915,full
4,RND,0.5471582587425743,full
5,RIPA,0.16826914250850677,full
0,WEAT,0.2175779610824118,arpack
1,WEATES,0.874194998926174,arpack
2,ECT,0.550912685692888,arpack
3,RNSB,0.08856699152549441,arpack
4,RND,0.5471582486104003,arpack
5,RIPA,0.16826914250850677,arpack
0,WEAT,0.21757796450078032,randomized
1,WEATES,0.874194999759127,randomized
2,ECT,0.550912685692888,randomized
3,RNSB,0.08689549084814648,randomized
4,RND,0.5471582518231327,randomized
5,RIPA,0.16826914250850677,randomized
0,WEAT,0.11238380436527015,auto
1,WEATES,0.5179327204792783,auto
2,ECT,0.3936827839779877,auto
3,RNSB,0.09374445517476812,auto
4,RND,0.18442499042474778,auto
5,RIPA,0.16054050624370575,auto
0,WEAT,0.11238380436527015,full
1,WEATES,0.5179327204792783,full
2,ECT,0.3936827839779877,full
3,RNSB,0.10085511921294091,full
4,RND,0.18442499042474778,full
5,RIPA,0.16054050624370575,full
0,WEAT,0.11238378821272105,arpack
1,WEATES,0.5179326685319655,arpack
2,ECT,0.3936828307092532,arpack
3,RNSB,0.10037976442901178,arpack
4,RND,0.18442498248579378,arpack
5,RIPA,0.16054047644138336,arpack
0,WEAT,0.11238378765141714,randomized
1,WEATES,0.5179326746339459,randomized
2,ECT,0.3936828307092532,randomized
3,RNSB,0.10970038008756482,randomized
4,RND,0.184424986733867,randomized
5,RIPA,0.16054047644138336,randomized
0,WEAT,0.17855216378577843,auto
1,WEATES,0.788802588445869,auto
2,ECT,0.5356453660856427,auto
3,RNSB,0.09667910602373164,auto
4,RND,0.15767799105185293,auto
5,RIPA,0.20377366244792938,auto
0,WEAT,0.17855216378577843,full
1,WEATES,0.788802588445869,full
2,ECT,0.5356453660856427,full
3,RNSB,0.1111142286997379,full
4,RND,0.15767799105185293,full
5,RIPA,0.20377366244792938,full
0,WEAT,0.17855215534054475,arpack
1,WEATES,0.7888026135958712,arpack
2,ECT,0.5356453660856427,arpack
3,RNSB,0.07844441224112662,arpack
4,RND,0.15767799234430416,arpack
5,RIPA,0.203773632645607,arpack
0,WEAT,0.17855216659003667,randomized
1,WEATES,0.7888025990286757,randomized
2,ECT,0.5356453660856427,randomized
3,RNSB,0.10255447458006502,randomized
4,RND,0.1576779985866145,randomized
5,RIPA,0.20377366244792938,randomized
0,WEAT,0.14715714972808516,auto
1,WEATES,0.7124419005861622,auto
2,ECT,0.8696114313841412,auto
3,RNSB,0.05212282461076036,auto
4,RND,0.1306078303616887,auto
5,RIPA,0.18544234335422516,auto
0,WEAT,0.14715714972808516,full
1,WEATES,0.7124419005861622,full
2,ECT,0.8696114313841412,full
3,RNSB,0.036389758435995755,full
4,RND,0.1306078303616887,full
5,RIPA,0.18544234335422516,full
0,WEAT,0.1471571514240615,arpack
1,WEATES,0.7124419062543311,arpack
2,ECT,0.8696114313841412,arpack
3,RNSB,0.045905736608534316,arpack
4,RND,0.13060783098167925,arpack
5,RIPA,0.18544237315654755,arpack
0,WEAT,0.1471571505445044,randomized
1,WEATES,0.7124419048137797,randomized
2,ECT,0.8696114313841412,randomized
3,RNSB,0.058953334624868924,randomized
4,RND,0.130607829939038,randomized
5,RIPA,0.18544234335422516,randomized
0,WEAT,0.16096589134660044,auto
1,WEATES,0.6700070975804516,auto
2,ECT,0.6184922954979062,auto
3,RNSB,0.09929397021262203,auto
4,RND,0.19278185118976596,auto
5,RIPA,0.15054439008235931,auto
0,WEAT,0.16096589134660044,full
1,WEATES,0.6700070975804516,full
2,ECT,0.6184922954979062,full
3,RNSB,0.09538788736603314,full
4,RND,0.19278185118976596,full
5,RIPA,0.15054439008235931,full
0,WEAT,0.16096590592411414,arpack
1,WEATES,0.6700071373375638,arpack
2,ECT,0.6184922954979062,arpack
3,RNSB,0.09737782313390264,arpack
4,RND,0.19278185711910287,arpack
5,RIPA,0.15054439008235931,arpack
0,WEAT,0.1609658849094504,randomized
1,WEATES,0.6700070853666558,randomized
2,ECT,0.6184922954979062,randomized
3,RNSB,0.12120158547421493,randomized
4,RND,0.19278185138727943,randomized
5,RIPA,0.15054439008235931,randomized
0,WEAT,0.11406538029406804,auto
1,WEATES,0.8130707225220722,auto
2,ECT,0.7592820960274357,auto
3,RNSB,0.11042161353215443,auto
4,RND,0.11572672925568199,auto
5,RIPA,0.12161028385162354,auto
0,WEAT,0.11406538029406804,full
1,WEATES,0.8130707225220722,full
2,ECT,0.7592820960274357,full
3,RNSB,0.06630703891830256,full
4,RND,0.11572672925568199,full
5,RIPA,0.12161028385162354,full
