,Metric,Value,solver
0,WEAT,0.21931204932118414,auto
1,WEATES,0.8734667319131513,auto
2,ECT,0.5494759438097582,auto
3,RNSB,0.0945472910482725,auto
4,RND,0.542507811754294,auto
5,RIPA,0.1693500131368637,auto
0,WEAT,0.21931204932118414,full
1,WEATES,0.8734667319131513,full
2,ECT,0.5494759438097582,full
3,RNSB,0.07942401045269216,full
4,RND,0.542507811754294,full
5,RIPA,0.1693500131368637,full
0,WEAT,0.21931204723646186,arpack
1,WEATES,0.8734667154277205,arpack
2,ECT,0.5494759438097582,arpack
3,RNSB,0.09492639846513933,arpack
4,RND,0.5425077949663649,arpack
5,RIPA,0.16934998333454132,arpack
0,WEAT,0.21931204904150567,randomized
1,WEATES,0.8734667261128067,randomized
2,ECT,0.5494759438097582,randomized
3,RNSB,0.09026270124685269,randomized
4,RND,0.5425078113781087,randomized
5,RIPA,0.16934998333454132,randomized
0,WEAT,0.10997203414910267,auto
1,WEATES,0.5136964557234189,auto
2,ECT,0.40491196394686346,auto
3,RNSB,0.10323581408905937,auto
4,RND,0.18317599473222942,auto
5,RIPA,0.15934927761554718,auto
0,WEAT,0.10997203414910267,full
1,WEATES,0.5136964557234189,full
2,ECT,0.40491196394686346,full
3,RNSB,0.10600681474632954,full
4,RND,0.18317599473222942,full
5,RIPA,0.15934927761554718,full
0,WEAT,0.10997208905562929,arpack
1,WEATES,0.5136966459162032,arpack
2,ECT,0.40491196394686346,arpack
3,RNSB,0.0987091385473617,arpack
4,RND,0.18317603200583066,arpack
5,RIPA,0.15934933722019196,arpack
0,WEAT,0.1099720541390725,randomized
1,WEATES,0.513696523514606,randomized
2,ECT,0.40491196394686346,randomized
3,RNSB,0.08866453983945274,randomized
4,RND,0.1831760247158797,randomized
5,RIPA,0.15934927761554718,randomized
0,WEAT,0.1825675457758269,auto
1,WEATES,0.7976110937028497,auto
2,ECT,0.5611576605641203,auto
3,RNSB,0.08474548261809312,auto
4,RND,0.1605523746896589,auto
5,RIPA,0.20832128822803497,auto
0,WEAT,0.18349963586747434,full
1,WEATES,0.7997441667719839,full
2,ECT,0.5631670247817753,full
3,RNSB,0.081217019105456,full
4,RND,0.16139786938678255,full
5,RIPA,0.20939882099628448,full
0,WEAT,0.18256752048611485,arpack
1,WEATES,0.7976109522193804,arpack
2,ECT,0.5611575799268894,arpack
3,RNSB,0.09429989512719487,arpack
4,RND,0.16055235105382817,arpack
5,RIPA,0.20832125842571259,arpack
0,WEAT,0.1834996118853986,randomized
1,WEATES,0.799744071440479,randomized
2,ECT,0.5631670247817753,randomized
3,RNSB,0.09260505876645553,randomized
4,RND,0.16139786458476046,randomized
5,RIPA,0.2093988060951233,randomized
0,WEAT,0.1429839868654292,auto
1,WEATES,0.702702863243398,auto
2,ECT,0.8681538832567454,auto
3,RNSB,0.05313678865741012,auto
4,RND,0.12720313790112017,auto
5,RIPA,0.17965835332870483,auto
0,WEAT,0.1421940618137708,full
1,WEATES,0.6996568576317568,full
2,ECT,0.8705390576290646,full
3,RNSB,0.03211017056308084,full
4,RND,0.1267388306491867,full
5,RIPA,0.17841385304927826,full
0,WEAT,0.14298399323637428,arpack
1,WEATES,0.7027028738092154,arpack
2,ECT,0.8681538832567454,arpack
3,RNSB,0.05434801987708059,arpack
4,RND,0.12720315280651598,arpack
5,RIPA,0.17965835332870483,arpack
0,WEAT,0.14219406569696605,randomized
1,WEATES,0.6996568738437409,randomized
2,ECT,0.8705390576290646,randomized
3,RNSB,0.050308236113852725,randomized
4,RND,0.12673883373431463,randomized
5,RIPA,0.17841386795043945,randomized
0,WEAT,0.16622870159408765,auto
1,WEATES,0.6827873239875581,auto
2,ECT,0.6321056119320195,auto
3,RNSB,0.0923884584561772,auto
4,RND,0.19712160284117444,auto
5,RIPA,0.15209946036338806,auto
0,WEAT,0.16622870159408765,full
1,WEATES,0.6827873239875581,full
2,ECT,0.6321056119320195,full
3,RNSB,0.0864644667014278,full
4,RND,0.19712160284117444,full
5,RIPA,0.15209946036338806,full
0,WEAT,0.16622868345847444,arpack
1,WEATES,0.6827872982827541,arpack
2,ECT,0.6321056119320195,arpack
3,RNSB,0.09397514806097151,arpack
4,RND,0.1971215851080215,arpack
5,RIPA,0.15209944546222687,arpack
0,WEAT,0.1662286998386947,randomized
1,WEATES,0.6827873183873,randomized
2,ECT,0.6321056119320195,randomized
3,RNSB,0.12100814163824195,randomized
4,RND,0.19712160330986658,randomized
5,RIPA,0.15209944546222687,randomized
0,WEAT,0.11745928736004252,auto
1,WEATES,0.812232343809043,auto
2,ECT,0.7610890359041709,auto
3,RNSB,0.09719666319839207,auto
4,RND,0.11924591369263493,auto
5,RIPA,0.12520718574523926,auto
0,WEAT,0.11745928736004252,full
1,WEATES,0.812232343809043,full
2,ECT,0.7610890359041709,full
3,RNSB,0.0930724280639261,full
4,RND,0.11924591369263493,full
5,RIPA,0.12520718574523926,full
0,WEAT,0.11745930987349101,arpack
1,WEATES,0.8122324404304943,arpack
2,ECT,0.7610890359041709,arpack
3,RNSB,0.11622655731393138,arpack
4,RND,0.11924592014390488,arpack
5,RIPA,0.12520720064640045,arpack
0,WEAT,0.1174592862916557,randomized
1,WEATES,0.812232348055029,randomized
2,ECT,0.7610890359041709,randomized
3,RNSB,0.1043967348461298,randomized
4,RND,0.11924590916713008,randomized
5,RIPA,0.12520718574523926,randomized
0,WEAT,0.1428793049708002,auto
1,WEATES,0.9053957605741665,auto
2,ECT,0.7455472141961007,auto
3,RNSB,0.1125323473699447,auto
4,RND,0.24539360610917807,auto
5,RIPA,0.17808814346790314,auto
0,WEAT,0.1428793049708002,full
1,WEATES,0.9053957605741665,full
2,ECT,0.7455472141961007,full
3,RNSB,0.11173308137339155,full
4,RND,0.24539360610917807,full
5,RIPA,0.17808814346790314,full
0,WEAT,0.14287929234656593,arpack
1,WEATES,0.9053957002150347,arpack
2,ECT,0.7455472141961007,arpack
3,RNSB,0.12426714552280371,arpack
4,RND,0.24539358081697224,arpack
5,RIPA,0.17808814346790314,arpack
0,WEAT,0.14287930844252703,randomized
1,WEATES,0.9053957763552101,randomized
2,ECT,0.7455472141961007,randomized
3,RNSB,0.10616593685521879,randomized
4,RND,0.24539359784904588,randomized
5,RIPA,0.17808814346790314,randomized
0,WEAT,0.128914072378339,auto
1,WEATES,0.7108074958551306,auto
2,ECT,0.26272426395417986,auto
3,RNSB,0.1367245539668886,auto
4,RND,0.21391566399338327,auto
5,RIPA,0.21571840345859528,auto
0,WEAT,0.128914072378339,full
1,WEATES,0.7108074958551306,full
2,ECT,0.26272426395417986,full
3,RNSB,0.13886265637805414,full
4,RND,0.21391566399338327,full
5,RIPA,0.21571840345859528,full
0,WEAT,0.12891409221885497,arpack
1,WEATES,0.710807600423281,arpack
2,ECT,0.26272426395417986,arpack
3,RNSB,0.137701776267291,arpack
4,RND,0.2139156803443815,arpack
5,RIPA,0.21571843326091766,arpack
0,WEAT,0.12891408630286433,randomized
1,WEATES,0.7108075792704607,randomized
2,ECT,0.26272426395417986,randomized
3,RNSB,0.13645781321397463,randomized
4,RND,0.213915681226569,randomized
5,RIPA,0.21571843326091766,randomized
0,WEAT,0.09980037298130963,auto
1,WEATES,0.5803077280202834,auto
2,ECT,0.6594252938974029,auto
3,RNSB,0.07622130208014202,auto
4,RND,0.27926124147607995,auto
5,RIPA,0.19100303947925568,auto
0,WEAT,0.09980037298130963,full
1,WEATES,0.5803077280202834,full
2,ECT,0.6594252938974029,full
3,RNSB,0.0667650520796516,full
4,RND,0.27926124147607995,full
5,RIPA,0.19100303947925568,full
0,WEAT,0.09980038070271784,arpack
1,WEATES,0.5803077557595032,arpack
2,ECT,0.6594252938974029,arpack
3,RNSB,0.08230103556656355,arpack
4,RND,0.27926122013724247,arpack
5,RIPA,0.19100306928157806,arpack
0,WEAT,0.09980037463001903,randomized
1,WEATES,0.5803077071406465,randomized
2,ECT,0.6594252938974029,randomized
3,RNSB,0.05975927770127639,randomized
4,RND,0.2792612298901571,randomized
5,RIPA,0.19100308418273926,randomized
0,WEAT,0.13832938303955727,auto
1,WEATES,0.8419645580888391,auto
2,ECT,0.7012628875225567,auto
3,RNSB,0.08435441886036114,auto
4,RND,0.2781099416019592,auto
5,RIPA,0.12735693156719208,auto
0,WEAT,0.13832938303955727,full
1,WEATES,0.8419645580888391,full
2,ECT,0.7012628875225567,full
3,RNSB,0.08732790505980474,full
4,RND,0.2781099416019592,full
5,RIPA,0.12735693156719208,full
0,WEAT,0.13832938396943006,arpack
1,WEATES,0.8419645587254572,arpack
2,ECT,0.7012628875225567,arpack
3,RNSB,0.09466714231279916,arpack
4,RND,0.27810992354871195,arpack
5,RIPA,0.12735691666603088,arpack
0,WEAT,0.13871759009695925,randomized
1,WEATES,0.8412699027957427,randomized
2,ECT,0.6993552363150447,randomized
3,RNSB,0.09382067862976144,randomized
4,RND,0.277657975309768,randomized
5,RIPA,0.12666606903076172,randomized
