,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.21931204932118414,0.8734667319131513,0.542507811754294,0.16935001,0.5494759438097582,0.0945472910482725,auto
0,0.21931204932118414,0.8734667319131513,0.542507811754294,0.16935001,0.5494759438097582,0.07942401045269216,full
0,0.21931204723646186,0.8734667154277205,0.5425077949663649,0.16934998,0.5494759438097582,0.09492639846513933,arpack
0,0.21931204904150567,0.8734667261128067,0.5425078113781087,0.16934998,0.5494759438097582,0.09026270124685269,randomized
1,0.10997203414910267,0.5136964557234189,0.18317599473222942,0.15934928,0.40491196394686346,0.10323581408905937,auto
1,0.10997203414910267,0.5136964557234189,0.18317599473222942,0.15934928,0.40491196394686346,0.10600681474632954,full
1,0.10997208905562929,0.5136966459162032,0.18317603200583066,0.15934934,0.40491196394686346,0.0987091385473617,arpack
1,0.1099720541390725,0.513696523514606,0.1831760247158797,0.15934928,0.40491196394686346,0.08866453983945274,randomized
2,0.1825675457758269,0.7976110937028497,0.1605523746896589,0.20832129,0.5611576605641203,0.08474548261809312,auto
2,0.18349963586747434,0.7997441667719839,0.16139786938678255,0.20939882,0.5631670247817753,0.081217019105456,full
2,0.18256752048611485,0.7976109522193804,0.16055235105382817,0.20832126,0.5611575799268894,0.09429989512719487,arpack
2,0.1834996118853986,0.799744071440479,0.16139786458476046,0.2093988,0.5631670247817753,0.09260505876645553,randomized
3,0.1429839868654292,0.702702863243398,0.12720313790112017,0.17965835,0.8681538832567454,0.05313678865741012,auto
3,0.1421940618137708,0.6996568576317568,0.1267388306491867,0.17841385,0.8705390576290646,0.03211017056308084,full
3,0.14298399323637428,0.7027028738092154,0.12720315280651598,0.17965835,0.8681538832567454,0.05434801987708059,arpack
3,0.14219406569696605,0.6996568738437409,0.12673883373431463,0.17841387,0.8705390576290646,0.050308236113852725,randomized
4,0.16622870159408765,0.6827873239875581,0.19712160284117444,0.15209946,0.6321056119320195,0.0923884584561772,auto
4,0.16622870159408765,0.6827873239875581,0.19712160284117444,0.15209946,0.6321056119320195,0.0864644667014278,full
4,0.16622868345847444,0.6827872982827541,0.1971215851080215,0.15209945,0.6321056119320195,0.09397514806097151,arpack
4,0.1662286998386947,0.6827873183873,0.19712160330986658,0.15209945,0.6321056119320195,0.12100814163824195,randomized
5,0.11745928736004252,0.812232343809043,0.11924591369263493,0.12520719,0.7610890359041709,0.09719666319839207,auto
5,0.11745928736004252,0.812232343809043,0.11924591369263493,0.12520719,0.7610890359041709,0.0930724280639261,full
5,0.11745930987349101,0.8122324404304943,0.11924592014390488,0.1252072,0.7610890359041709,0.11622655731393138,arpack
5,0.1174592862916557,0.812232348055029,0.11924590916713008,0.12520719,0.7610890359041709,0.1043967348461298,randomized
6,0.1428793049708002,0.9053957605741665,0.24539360610917807,0.17808814,0.7455472141961007,0.1125323473699447,auto
6,0.1428793049708002,0.9053957605741665,0.24539360610917807,0.17808814,0.7455472141961007,0.11173308137339155,full
6,0.14287929234656593,0.9053957002150347,0.24539358081697224,0.17808814,0.7455472141961007,0.12426714552280371,arpack
6,0.14287930844252703,0.9053957763552101,0.24539359784904588,0.17808814,0.7455472141961007,0.10616593685521879,randomized
7,0.128914072378339,0.7108074958551306,0.21391566399338327,0.2157184,0.26272426395417986,0.1367245539668886,auto
7,0.128914072378339,0.7108074958551306,0.21391566399338327,0.2157184,0.26272426395417986,0.13886265637805414,full
7,0.12891409221885497,0.710807600423281,0.2139156803443815,0.21571843,0.26272426395417986,0.137701776267291,arpack
7,0.12891408630286433,0.7108075792704607,0.213915681226569,0.21571843,0.26272426395417986,0.13645781321397463,randomized
8,0.09980037298130963,0.5803077280202834,0.27926124147607995,0.19100304,0.6594252938974029,0.07622130208014202,auto
8,0.09980037298130963,0.5803077280202834,0.27926124147607995,0.19100304,0.6594252938974029,0.0667650520796516,full
8,0.09980038070271784,0.5803077557595032,0.27926122013724247,0.19100307,0.6594252938974029,0.08230103556656355,arpack
8,0.09980037463001903,0.5803077071406465,0.2792612298901571,0.19100308,0.6594252938974029,0.05975927770127639,randomized
9,0.13832938303955727,0.8419645580888391,0.2781099416019592,0.12735693,0.7012628875225567,0.08435441886036114,auto
9,0.13832938303955727,0.8419645580888391,0.2781099416019592,0.12735693,0.7012628875225567,0.08732790505980474,full
9,0.13832938396943006,0.8419645587254572,0.27810992354871195,0.12735692,0.7012628875225567,0.09466714231279916,arpack
9,0.13871759009695925,0.8412699027957427,0.277657975309768,0.12666607,0.6993552363150447,0.09382067862976144,randomized
