,Metric,Value,solver
0,WEAT,0.2198325441288373,auto
1,WEATES,0.87796549627396,auto
2,ECT,0.5483372278726878,auto
3,RNSB,0.09564161685255237,auto
4,RND,0.5410397667325378,auto
5,RIPA,0.16964571177959442,auto
0,WEAT,0.2198325441288373,full
1,WEATES,0.87796549627396,full
2,ECT,0.5483372278726878,full
3,RNSB,0.09011356510638109,full
4,RND,0.5410397667325378,full
5,RIPA,0.16964571177959442,full
0,WEAT,0.21983254177937928,arpack
1,WEATES,0.8779654988686498,arpack
2,ECT,0.5483372278726878,arpack
3,RNSB,0.08129970976545411,arpack
4,RND,0.5410397464479373,arpack
5,RIPA,0.16964571177959442,arpack
0,WEAT,0.21983255108637717,randomized
1,WEATES,0.8779655130663562,randomized
2,ECT,0.5483372278726878,randomized
3,RNSB,0.09669093088097502,randomized
4,RND,0.5410397501390563,randomized
5,RIPA,0.16964571177959442,randomized
0,WEAT,0.10822459072615967,auto
1,WEATES,0.503838641676916,auto
2,ECT,0.3892339777707909,auto
3,RNSB,0.12179635161677582,auto
4,RND,0.18248873588767464,auto
5,RIPA,0.15858757495880127,auto
0,WEAT,0.10822459072615967,full
1,WEATES,0.503838641676916,full
2,ECT,0.3892339777707909,full
3,RNSB,0.08802311248601628,full
4,RND,0.18248873588767464,full
5,RIPA,0.15858757495880127,full
0,WEAT,0.10822459748079628,arpack
1,WEATES,0.5038386549732116,arpack
2,ECT,0.3892339777707909,arpack
3,RNSB,0.09816250276430885,arpack
4,RND,0.1824887447162397,arpack
5,RIPA,0.15858758985996246,arpack
0,WEAT,0.10822458577915603,randomized
1,WEATES,0.503838629306392,randomized
2,ECT,0.3892339777707909,randomized
3,RNSB,0.11268786340290875,randomized
4,RND,0.1824887420446111,randomized
5,RIPA,0.15858757495880127,randomized
0,WEAT,0.1825121075622561,auto
1,WEATES,0.7908175754767061,auto
2,ECT,0.5504732281118963,auto
3,RNSB,0.09062871978108669,auto
4,RND,0.16055838020737048,auto
5,RIPA,0.20763933658599854,auto
0,WEAT,0.1825121075622561,full
1,WEATES,0.7908175754767061,full
2,ECT,0.5504732281118963,full
3,RNSB,0.09626205115891762,full
4,RND,0.16055838020737048,full
5,RIPA,0.20763933658599854,full
0,WEAT,0.1825121068621242,arpack
1,WEATES,0.7908175670749759,arpack
2,ECT,0.5504732281118963,arpack
3,RNSB,0.11118467233555537,arpack
4,RND,0.16055838469652822,arpack
5,RIPA,0.20763935148715973,arpack
0,WEAT,0.18333366018337885,randomized
1,WEATES,0.7924636140412036,randomized
2,ECT,0.5473277252039422,randomized
3,RNSB,0.10705975789169805,randomized
4,RND,0.16133800766157133,randomized
5,RIPA,0.20860175788402557,randomized
0,WEAT,0.14123934924443005,auto
1,WEATES,0.6905558877469662,auto
2,ECT,0.8663865961792302,auto
3,RNSB,0.04344078338025252,auto
4,RND,0.12612455134752001,auto
5,RIPA,0.17648760974407196,auto
0,WEAT,0.14123934924443005,full
1,WEATES,0.6905558877469662,full
2,ECT,0.8663865961792302,full
3,RNSB,0.0667921144390694,full
4,RND,0.12612455134752001,full
5,RIPA,0.17648760974407196,full
0,WEAT,0.14123935177041524,arpack
1,WEATES,0.6905558618794829,arpack
2,ECT,0.8663865961792302,arpack
3,RNSB,0.057989845054950515,arpack
4,RND,0.12612453093795695,arpack
5,RIPA,0.17648760974407196,arpack
0,WEAT,0.14123935340387617,randomized
1,WEATES,0.6905558864665301,randomized
2,ECT,0.8663865961792302,randomized
3,RNSB,0.032278713780405706,randomized
4,RND,0.12612453727626186,randomized
5,RIPA,0.17648760974407196,randomized
0,WEAT,0.16336640665330815,auto
1,WEATES,0.6775765113309447,auto
2,ECT,0.6201871003968428,auto
3,RNSB,0.09163004706301163,auto
4,RND,0.19523112407351692,auto
5,RIPA,0.1490946263074875,auto
0,WEAT,0.16336640665330815,full
1,WEATES,0.6775765113309447,full
2,ECT,0.6201871003968428,full
3,RNSB,0.1185129918101422,full
4,RND,0.19523112407351692,full
5,RIPA,0.1490946263074875,full
0,WEAT,0.16336640824885246,arpack
1,WEATES,0.6775765022062495,arpack
2,ECT,0.6201871003968428,arpack
3,RNSB,0.1137669584051884,arpack
4,RND,0.19523111878680685,arpack
5,RIPA,0.1490946263074875,arpack
0,WEAT,0.16437656688335928,randomized
1,WEATES,0.682507773162083,randomized
2,ECT,0.6302980078148038,randomized
3,RNSB,0.08317737734865367,randomized
4,RND,0.19534332369650323,randomized
5,RIPA,0.1500711441040039,randomized
0,WEAT,0.10992744160412034,auto
1,WEATES,0.798344069629408,auto
2,ECT,0.7573558069807268,auto
3,RNSB,0.08195894022579604,auto
4,RND,0.11145834186543048,auto
5,RIPA,0.11570652574300766,auto
0,WEAT,0.10992744160412034,full
1,WEATES,0.798344069629408,full
2,ECT,0.7573558069807268,full
3,RNSB,0.07516722427770195,full
4,RND,0.11145834186543048,full
5,RIPA,0.11570652574300766,full
0,WEAT,0.10992743050896109,arpack
1,WEATES,0.7983440162674704,arpack
2,ECT,0.7573558069807268,arpack
3,RNSB,0.09053896826858641,arpack
4,RND,0.11145832615964663,arpack
5,RIPA,0.11570650339126587,arpack
0,WEAT,0.1099274480734249,randomized
1,WEATES,0.798344093355844,randomized
2,ECT,0.7573558069807268,randomized
3,RNSB,0.07059667523063652,randomized
4,RND,0.11145835125204383,randomized
5,RIPA,0.11570653319358826,randomized
0,WEAT,0.14607687974737207,auto
1,WEATES,0.911171987581499,auto
2,ECT,0.743690397077918,auto
3,RNSB,0.12685969487610732,auto
4,RND,0.2487203605840115,auto
5,RIPA,0.1802622675895691,auto
0,WEAT,0.14607687974737207,full
1,WEATES,0.911171987581499,full
2,ECT,0.743690397077918,full
3,RNSB,0.11991725983953634,full
4,RND,0.2487203605840115,full
5,RIPA,0.1802622675895691,full
0,WEAT,0.14607690231808085,arpack
1,WEATES,0.9111720589538702,arpack
2,ECT,0.743690397077918,arpack
3,RNSB,0.10474961067220431,arpack
4,RND,0.248720392775045,arpack
5,RIPA,0.18026228249073029,arpack
0,WEAT,0.14607687961994276,randomized
1,WEATES,0.911171985001568,randomized
2,ECT,0.743690397077918,randomized
3,RNSB,0.10847160466909042,randomized
4,RND,0.24872036105938655,randomized
5,RIPA,0.1802622675895691,randomized
0,WEAT,0.13839455589548172,auto
1,WEATES,0.7811550436951408,auto
2,ECT,0.3423538793763268,auto
3,RNSB,0.1251786250449198,auto
4,RND,0.21837734958380148,auto
5,RIPA,0.23107559978961945,auto
0,WEAT,0.13834359268663715,full
1,WEATES,0.7780843401778524,full
2,ECT,0.3451713671171754,full
3,RNSB,0.13290069136473817,full
4,RND,0.21771336006375983,full
5,RIPA,0.23042082786560059,full
0,WEAT,0.13834359076217984,arpack
1,WEATES,0.7780843595267767,arpack
2,ECT,0.3451713671171754,arpack
3,RNSB,0.12780364062654218,arpack
4,RND,0.21771337039363503,arpack
5,RIPA,0.2304208129644394,arpack
0,WEAT,0.13839455358374542,randomized
1,WEATES,0.7811550288501045,randomized
2,ECT,0.3423538793763268,randomized
3,RNSB,0.1379017344327964,randomized
4,RND,0.21837734889371632,randomized
5,RIPA,0.23107559978961945,randomized
0,WEAT,0.09904411962191462,auto
1,WEATES,0.5555087375249302,auto
2,ECT,0.6549672977785147,auto
3,RNSB,0.0661264405997381,auto
4,RND,0.27682103532942853,auto
5,RIPA,0.19815808534622192,auto
0,WEAT,0.09904411962191462,full
1,WEATES,0.5555087375249302,full
2,ECT,0.6549672977785147,full
3,RNSB,0.0678187663564508,full
4,RND,0.27682103532942853,full
5,RIPA,0.19815808534622192,full
0,WEAT,0.09904411454258372,arpack
1,WEATES,0.5555086962047845,arpack
