,Metric,Value,solver
0,WEAT,0.2156299209193445,auto
1,WEATES,0.8715290537005144,auto
2,ECT,0.5372493743813984,auto
3,RNSB,0.09833772439516075,auto
4,RND,0.5400638763906274,auto
5,RIPA,0.16562233865261078,auto
0,WEAT,0.2156299209193445,full
1,WEATES,0.8715290537005144,full
2,ECT,0.5372493743813984,full
3,RNSB,0.10460934396357295,full
4,RND,0.5400638763906274,full
5,RIPA,0.16562233865261078,full
0,WEAT,0.2156299042082856,arpack
1,WEATES,0.8715290274823749,arpack
2,ECT,0.5372493743813984,arpack
3,RNSB,0.08202043217598254,arpack
4,RND,0.5400638671327346,arpack
5,RIPA,0.1656223088502884,arpack
0,WEAT,0.2156299099075813,randomized
1,WEATES,0.8715290347565686,randomized
2,ECT,0.5372493743813984,randomized
3,RNSB,0.10191191164782697,randomized
4,RND,0.5400638987621048,randomized
5,RIPA,0.1656223088502884,randomized
0,WEAT,0.11557664667592345,auto
1,WEATES,0.5323865797428358,auto
2,ECT,0.39963964349234726,auto
3,RNSB,0.10337340468455727,auto
4,RND,0.18724490438758512,auto
5,RIPA,0.16454271972179413,auto
0,WEAT,0.11557664667592345,full
1,WEATES,0.5323865797428358,full
2,ECT,0.39963964349234726,full
3,RNSB,0.08706571263392275,full
4,RND,0.18724490438758512,full
5,RIPA,0.16454271972179413,full
0,WEAT,0.1159637292925583,arpack
1,WEATES,0.5352746454397809,arpack
2,ECT,0.3954467108364917,arpack
3,RNSB,0.0956994506806746,arpack
4,RND,0.18757919993864777,arpack
5,RIPA,0.16494815051555634,arpack
0,WEAT,0.1155766405994881,randomized
1,WEATES,0.5323865599479521,randomized
2,ECT,0.39963964349234726,randomized
3,RNSB,0.09882479738206774,randomized
4,RND,0.18724489470850317,randomized
5,RIPA,0.16454271972179413,randomized
0,WEAT,0.18125481162101653,auto
1,WEATES,0.7963290514980821,auto
2,ECT,0.5547171682916777,auto
3,RNSB,0.08509994604637121,auto
4,RND,0.15932943511647277,auto
5,RIPA,0.20666253566741943,auto
0,WEAT,0.18125481162101653,full
1,WEATES,0.7963290514980821,full
2,ECT,0.5547171682916777,full
3,RNSB,0.09008054683901356,full
4,RND,0.15932943511647277,full
5,RIPA,0.20666253566741943,full
0,WEAT,0.1812548147749789,arpack
1,WEATES,0.7963290500219955,arpack
2,ECT,0.5547171682916777,arpack
3,RNSB,0.09396005478719015,arpack
4,RND,0.1593294284646414,arpack
5,RIPA,0.20666253566741943,arpack
0,WEAT,0.18125481095470164,randomized
1,WEATES,0.7963290537501215,randomized
2,ECT,0.5547171682916777,randomized
3,RNSB,0.10238857994010651,randomized
4,RND,0.15932943808283664,randomized
5,RIPA,0.20666253566741943,randomized
0,WEAT,0.14544919997564526,auto
1,WEATES,0.7044307796223641,auto
2,ECT,0.8696961349922628,auto
3,RNSB,0.04807297451447664,auto
4,RND,0.12947931656014103,auto
5,RIPA,0.18259131908416748,auto
0,WEAT,0.14544919997564526,full
1,WEATES,0.7044307796223641,full
2,ECT,0.8696961349922628,full
3,RNSB,0.057766506556994716,full
4,RND,0.12947931656014103,full
5,RIPA,0.18259131908416748,full
0,WEAT,0.14544920547669907,arpack
1,WEATES,0.7044308031883685,arpack
2,ECT,0.8696961349922628,arpack
3,RNSB,0.046087398165403935,arpack
4,RND,0.1294793137855241,arpack
5,RIPA,0.18259131908416748,arpack
0,WEAT,0.1454491986232254,randomized
1,WEATES,0.7044307734943681,randomized
2,ECT,0.8696961349922628,randomized
3,RNSB,0.04662477225988861,randomized
4,RND,0.1294793086602993,randomized
5,RIPA,0.1825913041830063,randomized
0,WEAT,0.1583193477407331,auto
1,WEATES,0.6632113078221853,auto
2,ECT,0.6219071321134476,auto
3,RNSB,0.11958830096455844,auto
4,RND,0.19125783126965826,auto
5,RIPA,0.15211252868175507,auto
0,WEAT,0.15922465069049785,full
1,WEATES,0.6679289845722142,full
2,ECT,0.6211401257721249,full
3,RNSB,0.11835006822533556,full
4,RND,0.19137401304794757,full
5,RIPA,0.15191058814525604,full
0,WEAT,0.15831934335834763,arpack
1,WEATES,0.6632113110037592,arpack
2,ECT,0.6219071321134476,arpack
3,RNSB,0.11073855286691112,arpack
4,RND,0.19125781222166008,arpack
5,RIPA,0.15211255848407745,arpack
0,WEAT,0.15831933990881705,randomized
1,WEATES,0.6632112961158027,randomized
2,ECT,0.6219071321134476,randomized
3,RNSB,0.11406452219439865,randomized
4,RND,0.19125778598241217,randomized
5,RIPA,0.15211254358291626,randomized
0,WEAT,0.10865921752520666,auto
1,WEATES,0.789412680681511,auto
2,ECT,0.753707011341513,auto
3,RNSB,0.10154964678769297,auto
4,RND,0.11055084982374226,auto
5,RIPA,0.1212938129901886,auto
0,WEAT,0.10865921752520666,full
1,WEATES,0.789412680681511,full
2,ECT,0.753707011341513,full
