,Metric,Value,solver
0,WEAT,0.2162826178434299,auto
1,WEATES,0.8717865849398476,auto
2,ECT,0.5403829200901158,auto
3,RNSB,0.11505821147614026,auto
4,RND,0.5434397497195761,auto
5,RIPA,0.16669262945652008,auto
0,WEAT,0.2170143469317333,full
1,WEATES,0.8762746957350868,full
2,ECT,0.5510448384590978,full
3,RNSB,0.08950360876991595,full
4,RND,0.5446530060396216,full
5,RIPA,0.16738809645175934,full
0,WEAT,0.21701435526769333,arpack
1,WEATES,0.876274720395015,arpack
2,ECT,0.5510448384590978,arpack
3,RNSB,0.10607819804757265,arpack
4,RND,0.5446529769046694,arpack
5,RIPA,0.16738809645175934,arpack
0,WEAT,0.21628261519105618,randomized
1,WEATES,0.8717865819157912,randomized
2,ECT,0.5403829200901158,randomized
3,RNSB,0.08420154953728641,randomized
4,RND,0.5434397448005842,randomized
5,RIPA,0.16669262945652008,randomized
0,WEAT,0.1052142179525347,auto
1,WEATES,0.4994487487983225,auto
2,ECT,0.3916141574039859,auto
3,RNSB,0.08908006244286083,auto
4,RND,0.17962713663819152,auto
5,RIPA,0.1554323136806488,auto
0,WEAT,0.1052142179525347,full
1,WEATES,0.4994487487983225,full
2,ECT,0.3916141574039859,full
3,RNSB,0.08416235305328665,full
4,RND,0.17962713663819152,full
5,RIPA,0.1554323136806488,full
0,WEAT,0.1052142127509263,arpack
1,WEATES,0.4994487282792251,arpack
2,ECT,0.3916141574039859,arpack
3,RNSB,0.08619282461790201,arpack
4,RND,0.17962711397204115,arpack
5,RIPA,0.1554322987794876,arpack
0,WEAT,0.10521421973188672,randomized
1,WEATES,0.4994487582049632,randomized
2,ECT,0.3916141574039859,randomized
3,RNSB,0.0999645506711454,randomized
4,RND,0.17962711826939745,randomized
5,RIPA,0.1554322987794876,randomized
0,WEAT,0.18744532421076468,auto
1,WEATES,0.8380877979145088,auto
2,ECT,0.5788123432885758,auto
3,RNSB,0.08527295615568489,auto
4,RND,0.16273827282226194,auto
5,RIPA,0.21281655132770538,auto
0,WEAT,0.18744532421076468,full
1,WEATES,0.8380877979145088,full
2,ECT,0.5788123432885758,full
3,RNSB,0.07797428803006053,full
4,RND,0.16273827282226194,full
5,RIPA,0.21281655132770538,full
0,WEAT,0.18744533248249978,arpack
1,WEATES,0.8380878214452083,arpack
2,ECT,0.5788123432885758,arpack
3,RNSB,0.0639198269658006,arpack
4,RND,0.1627382842554169,arpack
5,RIPA,0.21281658113002777,arpack
0,WEAT,0.18744531536734826,randomized
1,WEATES,0.8380877814680988,randomized
2,ECT,0.5788123432885758,randomized
3,RNSB,0.07042871212260315,randomized
4,RND,0.16273827311822645,randomized
5,RIPA,0.21281655132770538,randomized
0,WEAT,0.14263945359220723,auto
1,WEATES,0.6911842646918601,auto
2,ECT,0.8603412215572533,auto
3,RNSB,0.05109931051049642,auto
4,RND,0.12751568871601618,auto
5,RIPA,0.17879581451416016,auto
0,WEAT,0.14263945359220723,full
1,WEATES,0.6911842646918601,full
2,ECT,0.8603412215572533,full
3,RNSB,0.04619967432493327,full
4,RND,0.12751568871601618,full
5,RIPA,0.17879581451416016,full
0,WEAT,0.1433337142958283,arpack
1,WEATES,0.6940504230719456,arpack
2,ECT,0.8602014467872143,arpack
3,RNSB,0.05659975486348745,arpack
4,RND,0.12792320843727445,arpack
5,RIPA,0.17989444732666016,arpack
0,WEAT,0.1433337015246392,randomized
1,WEATES,0.6940503642275327,randomized
2,ECT,0.8602014467872143,randomized
3,RNSB,0.05065893730804459,randomized
4,RND,0.1279231979154726,randomized
5,RIPA,0.17989443242549896,randomized
0,WEAT,0.16543983576866947,auto
1,WEATES,0.6913443199992881,auto
2,ECT,0.6330257904356468,auto
3,RNSB,0.08927985853543344,auto
4,RND,0.19577413200774152,auto
5,RIPA,0.15089207887649536,auto
0,WEAT,0.16543983576866947,full
1,WEATES,0.6913443199992881,full
2,ECT,0.6330257904356468,full
3,RNSB,0.07694458659862032,full
4,RND,0.19577413200774152,full
5,RIPA,0.15089207887649536,full
0,WEAT,0.16543984110452573,arpack
1,WEATES,0.6913443350334293,arpack
2,ECT,0.6330257904356468,arpack
3,RNSB,0.09191942762277994,arpack
4,RND,0.19577411788210194,arpack
5,RIPA,0.15089207887649536,arpack
0,WEAT,0.16543983068593326,randomized
1,WEATES,0.6913443174724355,randomized
2,ECT,0.6330257904356468,randomized
3,RNSB,0.08365157185525803,randomized
4,RND,0.19577412213103096,randomized
5,RIPA,0.15089206397533417,randomized
0,WEAT,0.10689640291764321,auto
1,WEATES,0.7870495250042008,auto
2,ECT,0.751381394045728,auto
3,RNSB,0.09931269143279298,auto
4,RND,0.10842745930021376,auto
