,Metric,Value,solver
0,WEAT,0.12465211602351242,auto
1,WEATES,0.4287539297442513,auto
2,ECT,0.679719220926876,auto
3,RNSB,0.07671791601901558,auto
4,RND,0.265866060021355,auto
5,RIPA,0.1161472275853157,auto
0,WEAT,0.12465211602351242,full
1,WEATES,0.4287539297442513,full
2,ECT,0.679719220926876,full
3,RNSB,0.07564366882072258,full
4,RND,0.265866060021355,full
5,RIPA,0.1161472275853157,full
0,WEAT,0.12165128491120644,arpack
1,WEATES,0.4259210440585472,arpack
2,ECT,0.6719918319176594,arpack
3,RNSB,0.056507492610125,arpack
4,RND,0.26834203226136427,arpack
5,RIPA,0.11306384205818176,arpack
0,WEAT,0.12165130792331158,randomized
1,WEATES,0.4259211246353776,randomized
2,ECT,0.6719918170897761,randomized
3,RNSB,0.06439881739796013,randomized
4,RND,0.2683419100294167,randomized
5,RIPA,0.11306378990411758,randomized
0,WEAT,0.1398915932873746,auto
1,WEATES,0.6642221796968532,auto
2,ECT,0.8550008331151361,auto
3,RNSB,0.06369750036004593,auto
4,RND,0.10997003876095686,auto
5,RIPA,0.3328404426574707,auto
0,WEAT,0.1398915932873746,full
1,WEATES,0.6642221796968532,full
2,ECT,0.8550008331151361,full
3,RNSB,0.049997524500580495,full
4,RND,0.10997003876095686,full
5,RIPA,0.3328404426574707,full
0,WEAT,0.13989164434367735,arpack
1,WEATES,0.6642223769786543,arpack
2,ECT,0.8550008331151361,arpack
3,RNSB,0.06594761051772818,arpack
4,RND,0.10997008722921654,arpack
5,RIPA,0.3328404128551483,arpack
0,WEAT,0.1398916804717946,randomized
1,WEATES,0.6642224182284288,randomized
2,ECT,0.8550008280437811,randomized
3,RNSB,0.05827808546993378,randomized
4,RND,0.10997004794318986,randomized
5,RIPA,0.33284035325050354,randomized
0,WEAT,0.15353759868170597,auto
1,WEATES,0.4092051031903825,auto
2,ECT,0.8584751967245458,auto
3,RNSB,0.08567101663548422,auto
4,RND,0.173353905431838,auto
5,RIPA,0.239162877202034,auto
0,WEAT,0.15353759868170597,full
1,WEATES,0.4092051031903825,full
2,ECT,0.8584751967245458,full
3,RNSB,0.07602677673099104,full
4,RND,0.173353905431838,full
5,RIPA,0.239162877202034,full
0,WEAT,0.15353754199889819,arpack
1,WEATES,0.4092050180494141,arpack
2,ECT,0.8584751835884141,arpack
3,RNSB,0.08078407185824107,arpack
4,RND,0.17335383611094626,arpack
5,RIPA,0.23916293680667877,arpack
0,WEAT,0.1535376771081652,randomized
1,WEATES,0.40920529563306246,randomized
2,ECT,0.8584751654695189,randomized
3,RNSB,0.07981517870459755,randomized
4,RND,0.1733539243641706,randomized
5,RIPA,0.23916293680667877,randomized
0,WEAT,0.09660077889736259,auto
1,WEATES,0.42491839458200525,auto
2,ECT,0.7432977894527775,auto
3,RNSB,0.08382711327264418,auto
4,RND,0.15341441148231524,auto
5,RIPA,0.28239771723747253,auto
0,WEAT,0.09660077889736259,full
1,WEATES,0.42491839458200525,full
2,ECT,0.7432977894527775,full
3,RNSB,0.08071679469477923,full
4,RND,0.15341441148231524,full
5,RIPA,0.28239771723747253,full
0,WEAT,0.09660073689229491,arpack
1,WEATES,0.4249182611234697,arpack
2,ECT,0.7432977878471575,arpack
3,RNSB,0.09926497560095195,arpack
4,RND,0.15341458544451578,arpack
5,RIPA,0.28239789605140686,arpack
0,WEAT,0.09660070132545027,randomized
1,WEATES,0.4249181399556647,randomized
2,ECT,0.7432977908704652,randomized
3,RNSB,0.06470814132196627,randomized
4,RND,0.15341443333677174,randomized
5,RIPA,0.282397598028183,randomized
0,WEAT,0.19805272837179258,auto
1,WEATES,0.7536818461387235,auto
2,ECT,0.7360750820885819,auto
3,RNSB,0.1268972667514385,auto
4,RND,0.3771166068643887,auto
5,RIPA,0.14688268303871155,auto
0,WEAT,0.19805272837179258,full
1,WEATES,0.7536818461387235,full
2,ECT,0.7360750820885819,full
3,RNSB,0.12164439499686448,full
4,RND,0.3771166068643887,full
5,RIPA,0.14688268303871155,full
0,WEAT,0.19805285621469956,arpack
1,WEATES,0.753682167582341,arpack
2,ECT,0.7360750468423914,arpack
3,RNSB,0.11872627076588622,arpack
4,RND,0.3771165172476952,arpack
5,RIPA,0.1468828171491623,arpack
0,WEAT,0.19805289970636147,randomized
1,WEATES,0.7536822806343135,randomized
2,ECT,0.7360750561954137,randomized
3,RNSB,0.1059772953503252,randomized
4,RND,0.3771165320228173,randomized
5,RIPA,0.1468828171491623,randomized
