,Metric,Value,solver
0,WEAT,0.21562245989930634,auto
1,WEATES,0.8735154758519441,auto
2,ECT,0.5366766363625435,auto
3,RNSB,0.08778584811557777,auto
4,RND,0.5418575769865853,auto
5,RIPA,0.16585679352283478,auto
0,WEAT,0.21562245989930634,full
1,WEATES,0.8735154758519441,full
2,ECT,0.5366766363625435,full
3,RNSB,0.08803732007399608,full
4,RND,0.5418575769865853,full
5,RIPA,0.16585679352283478,full
0,WEAT,0.21639248660223281,arpack
1,WEATES,0.8780686349195138,arpack
2,ECT,0.5439734107703469,arpack
3,RNSB,0.10547591375175948,arpack
4,RND,0.5431137323771817,arpack
5,RIPA,0.16658930480480194,arpack
0,WEAT,0.21562245729841412,randomized
1,WEATES,0.8735154756325004,randomized
2,ECT,0.5366766363625435,randomized
3,RNSB,0.07109396061335908,randomized
4,RND,0.5418575881759471,randomized
5,RIPA,0.16585679352283478,randomized
0,WEAT,0.11438516063755763,auto
1,WEATES,0.5240063706835992,auto
2,ECT,0.4006104275338703,auto
3,RNSB,0.09442770835489414,auto
4,RND,0.18666722251152537,auto
5,RIPA,0.16253547370433807,auto
0,WEAT,0.11438516063755763,full
1,WEATES,0.5240063706835992,full
2,ECT,0.4006104275338703,full
3,RNSB,0.10284846940975541,full
4,RND,0.18666722251152537,full
5,RIPA,0.16253547370433807,full
0,WEAT,0.11438516761716505,arpack
1,WEATES,0.5240063915873493,arpack
2,ECT,0.4006104275338703,arpack
3,RNSB,0.11593326776884424,arpack
4,RND,0.1866672219260411,arpack
5,RIPA,0.16253547370433807,arpack
0,WEAT,0.11368231128881807,randomized
1,WEATES,0.517921027979253,randomized
2,ECT,0.3972782588052843,randomized
3,RNSB,0.0993862391806726,randomized
4,RND,0.18608416050088317,randomized
5,RIPA,0.16177472472190857,randomized
0,WEAT,0.18490770498095238,auto
1,WEATES,0.8151393825828269,auto
2,ECT,0.581612803727494,auto
3,RNSB,0.07371892392120215,auto
4,RND,0.16176115705809993,auto
5,RIPA,0.20967811346054077,auto
0,WEAT,0.18490770498095238,full
1,WEATES,0.8151393825828269,full
2,ECT,0.581612803727494,full
3,RNSB,0.08721783415903332,full
4,RND,0.16176115705809993,full
5,RIPA,0.20967811346054077,full
0,WEAT,0.18490770381318444,arpack
1,WEATES,0.8151393837715347,arpack
2,ECT,0.581612803727494,arpack
3,RNSB,0.09560160888186223,arpack
4,RND,0.16176115441151753,arpack
5,RIPA,0.20967811346054077,arpack
0,WEAT,0.1849077058053925,randomized
1,WEATES,0.8151393756426764,randomized
2,ECT,0.581612803727494,randomized
3,RNSB,0.11217603039232327,randomized
4,RND,0.16176115748001194,randomized
5,RIPA,0.20967812836170197,randomized
0,WEAT,0.14484517298563276,auto
1,WEATES,0.7051749078817471,auto
2,ECT,0.8694237519480176,auto
3,RNSB,0.05260578621993157,auto
4,RND,0.12890169784510588,auto
5,RIPA,0.18177330493927002,auto
0,WEAT,0.14484517298563276,full
1,WEATES,0.7051749078817471,full
