,Metric,Value,solver
0,WEAT,0.1597791999214947,auto
1,WEATES,0.7424955975035182,auto
2,ECT,0.624944784109507,auto
3,RNSB,0.011470921412406711,auto
4,RND,0.059722813586061525,auto
5,RIPA,0.014791350811719894,auto
0,WEAT,0.1597791999214947,full
1,WEATES,0.7424955975035182,full
2,ECT,0.624944784109507,full
3,RNSB,0.010877380682508608,full
4,RND,0.059722813586061525,full
5,RIPA,0.014791350811719894,full
0,WEAT,0.15977920357642847,arpack
1,WEATES,0.7424957576467224,arpack
2,ECT,0.6249447663129981,arpack
3,RNSB,0.014235456985436296,arpack
4,RND,0.05972281158471837,arpack
5,RIPA,0.014791351743042469,arpack
0,WEAT,0.15977922432102667,randomized
1,WEATES,0.7424956372729007,randomized
2,ECT,0.624944741039562,randomized
3,RNSB,0.013550907292196228,randomized
4,RND,0.0597228188269076,randomized
5,RIPA,0.014791353605687618,randomized
0,WEAT,0.06089693724945584,auto
1,WEATES,0.29778721155945875,auto
2,ECT,0.6071595717923707,auto
3,RNSB,0.028443732686400713,auto
4,RND,0.018995989105663382,auto
5,RIPA,0.01472849864512682,auto
0,WEAT,0.06089693724945584,full
1,WEATES,0.29778721155945875,full
2,ECT,0.6071595717923707,full
3,RNSB,0.03167941824338079,full
4,RND,0.018995989105663382,full
5,RIPA,0.01472849864512682,full
0,WEAT,0.060896972814280324,arpack
1,WEATES,0.2977874530054233,arpack
2,ECT,0.6071594619580697,arpack
3,RNSB,0.03129114716232783,arpack
4,RND,0.01899599594167304,arpack
5,RIPA,0.014728520065546036,arpack
0,WEAT,0.06089698906069599,randomized
1,WEATES,0.2977874573156513,randomized
2,ECT,0.6071595717923707,randomized
3,RNSB,0.02693554843165416,randomized
4,RND,0.018996000210887983,randomized
5,RIPA,0.014728513546288013,randomized
0,WEAT,0.050860714546903885,auto
1,WEATES,0.3736544800373947,auto
2,ECT,0.8174358753135245,auto
3,RNSB,0.010240967861301025,auto
4,RND,0.01703390765676899,auto
5,RIPA,0.012234416790306568,auto
0,WEAT,0.050860714546903885,full
1,WEATES,0.3736544800373947,full
2,ECT,0.8174358753135245,full
3,RNSB,0.011936648947099828,full
4,RND,0.01703390765676899,full
5,RIPA,0.012234416790306568,full
0,WEAT,0.050860673302530496,arpack
1,WEATES,0.3736541607384008,arpack
2,ECT,0.8174358881584034,arpack
3,RNSB,0.01064163403031898,arpack
4,RND,0.01703388114231599,arpack
5,RIPA,0.012234405614435673,arpack
0,WEAT,0.050860691644912276,randomized
1,WEATES,0.37365424856576296,randomized
2,ECT,0.8174358908159886,randomized
3,RNSB,0.011224494623802438,randomized
4,RND,0.017033883447182246,randomized
5,RIPA,0.012234401889145374,randomized
0,WEAT,0.050183420327432726,auto
1,WEATES,0.3326209237227635,auto
2,ECT,0.9462232376561803,auto
3,RNSB,0.013207178657753029,auto
4,RND,0.00834054636018036,auto
5,RIPA,0.015788830816745758,auto
0,WEAT,0.050183420327432726,full
1,WEATES,0.3326209237227635,full
2,ECT,0.9462232376561803,full
3,RNSB,0.011787885955177806,full
4,RND,0.00834054636018036,full
5,RIPA,0.015788830816745758,full
0,WEAT,0.05018333253548368,arpack
1,WEATES,0.3326204305450462,arpack
2,ECT,0.9462232468387427,arpack
3,RNSB,0.011190792235408569,arpack
4,RND,0.008340548542626282,arpack
5,RIPA,0.015788819640874863,arpack
0,WEAT,0.05018334017724357,randomized
1,WEATES,0.33262054965310234,randomized
2,ECT,0.9462232494080703,randomized
3,RNSB,0.00852655122980477,randomized
4,RND,0.008340555584219094,randomized
5,RIPA,0.015788814052939415,randomized
0,WEAT,0.1134073561194287,auto
1,WEATES,0.5168300609434464,auto
2,ECT,0.6334249703641911,auto
3,RNSB,0.01465006501670861,auto
4,RND,0.023959354061942554,auto
5,RIPA,0.021336616948246956,auto
0,WEAT,0.1134073561194287,full
1,WEATES,0.5168300609434464,full
2,ECT,0.6334249703641911,full
3,RNSB,0.015272200821886326,full
4,RND,0.023959354061942554,full
5,RIPA,0.021336616948246956,full
0,WEAT,0.11340739223034918,arpack
1,WEATES,0.5168301790299352,arpack
2,ECT,0.6334248041911805,arpack
3,RNSB,0.01731564496590195,arpack
4,RND,0.023959368673298218,arpack
5,RIPA,0.021336635574698448,arpack
0,WEAT,0.11340735965553106,randomized
1,WEATES,0.5168301011919022,randomized
2,ECT,0.6334248594436203,randomized
3,RNSB,0.01687375846663279,randomized
4,RND,0.02395935498108254,randomized
5,RIPA,0.021336622536182404,randomized
0,WEAT,0.042849826510413046,auto
1,WEATES,0.42554917620561505,auto
2,ECT,0.8610267521194133,auto
3,RNSB,0.01895883774179861,auto
4,RND,0.012485218498504489,auto
5,RIPA,0.02066413313150406,auto
0,WEAT,0.042849826510413046,full
1,WEATES,0.42554917620561505,full
2,ECT,0.8610267521194133,full
3,RNSB,0.022679851386358495,full
4,RND,0.012485218498504489,full
5,RIPA,0.02066413313150406,full
0,WEAT,0.042849930271553816,arpack
1,WEATES,0.42554995206676266,arpack
2,ECT,0.8610265725239431,arpack
3,RNSB,0.01618779991993943,arpack
4,RND,0.012485215863227045,arpack
5,RIPA,0.020664149895310402,arpack
0,WEAT,0.042849833464858725,randomized
1,WEATES,0.42554916448540586,randomized
2,ECT,0.861026757190169,randomized
3,RNSB,0.02158595863364335,randomized
4,RND,0.012485213950065015,randomized
5,RIPA,0.02066413313150406,randomized
0,WEAT,0.07831116450284645,auto
1,WEATES,0.586816820304832,auto
2,ECT,0.8575451267694981,auto
3,RNSB,0.036863735805004336,auto
4,RND,0.02314064220403485,auto
5,RIPA,0.01962265558540821,auto
0,WEAT,0.07831116450284645,full
1,WEATES,0.586816820304832,full
2,ECT,0.8575451267694981,full
3,RNSB,0.034004050759019896,full
4,RND,0.02314064220403485,full
5,RIPA,0.01962265558540821,full
0,WEAT,0.0783111867108138,arpack
1,WEATES,0.5868170389496903,arpack
2,ECT,0.8575451267694981,arpack
3,RNSB,0.034569949878449927,arpack
4,RND,0.023140650112940697,arpack
5,RIPA,0.019622663035988808,arpack
0,WEAT,0.07831122506362936,randomized
1,WEATES,0.5868172813361406,randomized
2,ECT,0.8575451267694981,randomized
3,RNSB,0.03626092785492037,randomized
4,RND,0.023140650340891643,randomized
5,RIPA,0.019622663035988808,randomized
0,WEAT,0.0912719607202655,auto
1,WEATES,0.6791122293304899,auto
2,ECT,0.41273198396223026,auto
3,RNSB,0.03794504876515954,auto
4,RND,0.023865490855371842,auto
5,RIPA,0.03118070401251316,auto
0,WEAT,0.0912719607202655,full
1,WEATES,0.6791122293304899,full
2,ECT,0.41273198396223026,full
3,RNSB,0.04597833408084188,full
4,RND,0.023865490855371842,full
5,RIPA,0.03118070401251316,full
0,WEAT,0.09127199075903267,arpack
1,WEATES,0.6791124189680026,arpack
2,ECT,0.4127319716573619,arpack
3,RNSB,0.04756278082693654,arpack
4,RND,0.02386549163465608,arpack
5,RIPA,0.031180718913674355,arpack
0,WEAT,0.09127195077343359,randomized
1,WEATES,0.67911218590064,randomized
2,ECT,0.4127320087094673,randomized
3,RNSB,0.04153354838461094,randomized
4,RND,0.023865493439775842,randomized
5,RIPA,0.03118070214986801,randomized
0,WEAT,0.055377783689173135,auto
1,WEATES,0.40540661836238456,auto
2,ECT,0.8976024682036171,auto
3,RNSB,0.02335517856337843,auto
4,RND,0.017121944047601374,auto
5,RIPA,0.016083592548966408,auto
0,WEAT,0.055377783689173135,full
1,WEATES,0.40540661836238456,full
2,ECT,0.8976024682036171,full
3,RNSB,0.01800606631109283,full
4,RND,0.017121944047601374,full
5,RIPA,0.016083592548966408,full
0,WEAT,0.055377807710357885,arpack
1,WEATES,0.40540672518813325,arpack
2,ECT,0.8976024870139554,arpack
3,RNSB,0.01800270481202933,arpack
4,RND,0.017121957513667293,arpack
5,RIPA,0.016083605587482452,arpack
0,WEAT,0.05537776955730544,randomized
1,WEATES,0.4054065669492934,randomized
2,ECT,0.8976024682036171,randomized
3,RNSB,0.02042147471953131,randomized
4,RND,0.017121933642724796,randomized
5,RIPA,0.01608358882367611,randomized
0,WEAT,0.10219577052522742,auto
1,WEATES,0.6649082480355736,auto
2,ECT,0.7698138752072318,auto
3,RNSB,0.0394279703114264,auto
4,RND,0.02195200830969091,auto
5,RIPA,0.01366081926971674,auto
0,WEAT,0.10219577052522742,full
1,WEATES,0.6649082480355736,full
2,ECT,0.7698138752072318,full
3,RNSB,0.03912957955580582,full
4,RND,0.02195200830969091,full
5,RIPA,0.01366081926971674,full
0,WEAT,0.10219575790163571,arpack
1,WEATES,0.6649082734873818,arpack
2,ECT,0.7698138752072318,arpack
3,RNSB,0.04373499596349715,arpack
4,RND,0.021951994799245613,arpack
5,RIPA,0.013660815544426441,arpack
0,WEAT,0.10219577039845654,randomized
1,WEATES,0.6649082116335528,randomized
2,ECT,0.7698138723058315,randomized
3,RNSB,0.042573684657094525,randomized
4,RND,0.021952010616377773,randomized
5,RIPA,0.01366081926971674,randomized
