,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.1597791999214947,0.7424955975035182,0.059722813586061525,0.014791351,0.624944784109507,0.011470921412406711,auto
0,0.1597791999214947,0.7424955975035182,0.059722813586061525,0.014791351,0.624944784109507,0.010877380682508608,full
0,0.15977920357642847,0.7424957576467224,0.05972281158471837,0.014791352,0.6249447663129981,0.014235456985436296,arpack
0,0.15977922432102667,0.7424956372729007,0.0597228188269076,0.014791354,0.624944741039562,0.013550907292196228,randomized
1,0.06089693724945584,0.29778721155945875,0.018995989105663382,0.014728499,0.6071595717923707,0.028443732686400713,auto
1,0.06089693724945584,0.29778721155945875,0.018995989105663382,0.014728499,0.6071595717923707,0.03167941824338079,full
1,0.060896972814280324,0.2977874530054233,0.01899599594167304,0.01472852,0.6071594619580697,0.03129114716232783,arpack
1,0.06089698906069599,0.2977874573156513,0.018996000210887983,0.014728514,0.6071595717923707,0.02693554843165416,randomized
2,0.050860714546903885,0.3736544800373947,0.01703390765676899,0.012234417,0.8174358753135245,0.010240967861301025,auto
2,0.050860714546903885,0.3736544800373947,0.01703390765676899,0.012234417,0.8174358753135245,0.011936648947099828,full
2,0.050860673302530496,0.3736541607384008,0.01703388114231599,0.012234406,0.8174358881584034,0.01064163403031898,arpack
2,0.050860691644912276,0.37365424856576296,0.017033883447182246,0.012234402,0.8174358908159886,0.011224494623802438,randomized
3,0.050183420327432726,0.3326209237227635,0.00834054636018036,0.01578883,0.9462232376561803,0.013207178657753029,auto
3,0.050183420327432726,0.3326209237227635,0.00834054636018036,0.01578883,0.9462232376561803,0.011787885955177806,full
3,0.05018333253548368,0.3326204305450462,0.008340548542626282,0.01578882,0.9462232468387427,0.011190792235408569,arpack
3,0.05018334017724357,0.33262054965310234,0.008340555584219094,0.015788814,0.9462232494080703,0.00852655122980477,randomized
4,0.1134073561194287,0.5168300609434464,0.023959354061942554,0.021336617,0.6334249703641911,0.01465006501670861,auto
4,0.1134073561194287,0.5168300609434464,0.023959354061942554,0.021336617,0.6334249703641911,0.015272200821886326,full
4,0.11340739223034918,0.5168301790299352,0.023959368673298218,0.021336636,0.6334248041911805,0.01731564496590195,arpack
4,0.11340735965553106,0.5168301011919022,0.02395935498108254,0.021336623,0.6334248594436203,0.01687375846663279,randomized
5,0.042849826510413046,0.42554917620561505,0.012485218498504489,0.020664133,0.8610267521194133,0.01895883774179861,auto
5,0.042849826510413046,0.42554917620561505,0.012485218498504489,0.020664133,0.8610267521194133,0.022679851386358495,full
5,0.042849930271553816,0.42554995206676266,0.012485215863227045,0.02066415,0.8610265725239431,0.01618779991993943,arpack
5,0.042849833464858725,0.42554916448540586,0.012485213950065015,0.020664133,0.861026757190169,0.02158595863364335,randomized
6,0.07831116450284645,0.586816820304832,0.02314064220403485,0.019622656,0.8575451267694981,0.036863735805004336,auto
6,0.07831116450284645,0.586816820304832,0.02314064220403485,0.019622656,0.8575451267694981,0.034004050759019896,full
6,0.0783111867108138,0.5868170389496903,0.023140650112940697,0.019622663,0.8575451267694981,0.034569949878449927,arpack
6,0.07831122506362936,0.5868172813361406,0.023140650340891643,0.019622663,0.8575451267694981,0.03626092785492037,randomized
7,0.0912719607202655,0.6791122293304899,0.023865490855371842,0.031180704,0.41273198396223026,0.03794504876515954,auto
7,0.0912719607202655,0.6791122293304899,0.023865490855371842,0.031180704,0.41273198396223026,0.04597833408084188,full
7,0.09127199075903267,0.6791124189680026,0.02386549163465608,0.031180719,0.4127319716573619,0.04756278082693654,arpack
7,0.09127195077343359,0.67911218590064,0.023865493439775842,0.031180702,0.4127320087094673,0.04153354838461094,randomized
8,0.055377783689173135,0.40540661836238456,0.017121944047601374,0.016083593,0.8976024682036171,0.02335517856337843,auto
8,0.055377783689173135,0.40540661836238456,0.017121944047601374,0.016083593,0.8976024682036171,0.01800606631109283,full
8,0.055377807710357885,0.40540672518813325,0.017121957513667293,0.016083606,0.8976024870139554,0.01800270481202933,arpack
8,0.05537776955730544,0.4054065669492934,0.017121933642724796,0.016083589,0.8976024682036171,0.02042147471953131,randomized
9,0.10219577052522742,0.6649082480355736,0.02195200830969091,0.013660819,0.7698138752072318,0.0394279703114264,auto
9,0.10219577052522742,0.6649082480355736,0.02195200830969091,0.013660819,0.7698138752072318,0.03912957955580582,full
9,0.10219575790163571,0.6649082734873818,0.021951994799245613,0.013660816,0.7698138752072318,0.04373499596349715,arpack
9,0.10219577039845654,0.6649082116335528,0.021952010616377773,0.013660819,0.7698138723058315,0.042573684657094525,randomized
