,Metric,Value,solver
0,WEAT,0.12174277869087978,auto
1,WEATES,0.6050782474544112,auto
2,ECT,0.6221818593015424,auto
3,RNSB,0.011306004410722992,auto
4,RND,0.0626004538574161,auto
5,RIPA,0.012643265537917614,auto
0,WEAT,0.12174277869087978,auto
1,WEATES,0.6050782474544112,auto
2,ECT,0.6221818593015424,auto
3,RNSB,0.011306004410722992,auto
4,RND,0.0626004538574161,auto
5,RIPA,0.012643265537917614,auto
0,WEAT,0.12174277869087978,full
1,WEATES,0.6050782474544112,full
2,ECT,0.6221818593015424,full
3,RNSB,0.011320185441564176,full
4,RND,0.0626004538574161,full
5,RIPA,0.012643265537917614,full
0,WEAT,0.12174277869087978,full
1,WEATES,0.6050782474544112,full
2,ECT,0.6221818593015424,full
3,RNSB,0.011320185441564176,full
4,RND,0.0626004538574161,full
5,RIPA,0.012643265537917614,full
0,WEAT,0.1217429084869868,arpack
1,WEATES,0.6050790110736156,arpack
2,ECT,0.6221817186095622,arpack
3,RNSB,0.014405504999972906,arpack
4,RND,0.06260045184486669,arpack
5,RIPA,0.012643287889659405,arpack
0,WEAT,0.1217429084869868,arpack
1,WEATES,0.6050790110736156,arpack
2,ECT,0.6221817186095622,arpack
3,RNSB,0.014405504999972906,arpack
4,RND,0.06260045184486669,arpack
5,RIPA,0.012643287889659405,arpack
0,WEAT,0.12174276875859194,randomized
1,WEATES,0.605078221194611,randomized
2,ECT,0.6221818560466102,randomized
3,RNSB,0.011126516665282637,randomized
4,RND,0.06260045863977336,randomized
5,RIPA,0.012643266469240189,randomized
0,WEAT,0.12174276875859194,randomized
1,WEATES,0.605078221194611,randomized
2,ECT,0.6221818560466102,randomized
3,RNSB,0.011126516665282637,randomized
4,RND,0.06260045863977336,randomized
5,RIPA,0.012643266469240189,randomized
0,WEAT,0.060637348186114715,auto
1,WEATES,0.28589276436518546,auto
2,ECT,0.6361431862786888,auto
3,RNSB,0.03147242959177529,auto
4,RND,0.020125534581805736,auto
5,RIPA,0.015360177494585514,auto
0,WEAT,0.060637348186114715,auto
1,WEATES,0.28589276436518546,auto
2,ECT,0.6361431862786888,auto
3,RNSB,0.03147242959177529,auto
4,RND,0.020125534581805736,auto
5,RIPA,0.015360177494585514,auto
0,WEAT,0.060637348186114715,full
1,WEATES,0.28589276436518546,full
2,ECT,0.6361431862786888,full
3,RNSB,0.030442791356723172,full
4,RND,0.020125534581805736,full
5,RIPA,0.015360177494585514,full
0,WEAT,0.060637348186114715,full
1,WEATES,0.28589276436518546,full
2,ECT,0.6361431862786888,full
3,RNSB,0.030442791356723172,full
4,RND,0.020125534581805736,full
5,RIPA,0.015360177494585514,full
0,WEAT,0.06063743873071565,arpack
1,WEATES,0.2858932812887946,arpack
2,ECT,0.6361430258979412,arpack
3,RNSB,0.028060978385521566,arpack
4,RND,0.020125552236190735,arpack
5,RIPA,0.015360201708972454,arpack
0,WEAT,0.06063743873071565,arpack
1,WEATES,0.2858932812887946,arpack
2,ECT,0.6361430258979412,arpack
3,RNSB,0.028060978385521566,arpack
4,RND,0.020125552236190735,arpack
5,RIPA,0.015360201708972454,arpack
0,WEAT,0.06063733265114184,randomized
1,WEATES,0.2858925821818836,randomized
2,ECT,0.6361432086933588,randomized
3,RNSB,0.028122088844337898,randomized
4,RND,0.02012553908731925,randomized
5,RIPA,0.015360166318714619,randomized
0,WEAT,0.06063733265114184,randomized
1,WEATES,0.2858925821818836,randomized
2,ECT,0.6361432086933588,randomized
3,RNSB,0.028122088844337898,randomized
4,RND,0.02012553908731925,randomized
5,RIPA,0.015360166318714619,randomized
0,WEAT,0.09137787581466256,auto
1,WEATES,0.5533247683838635,auto
2,ECT,0.8155311666557151,auto
3,RNSB,0.014227398507540323,auto
4,RND,0.02378783581626129,auto
5,RIPA,0.017073897644877434,auto
0,WEAT,0.09137787581466256,auto
1,WEATES,0.5533247683838635,auto
2,ECT,0.8155311666557151,auto
3,RNSB,0.014227398507540323,auto
4,RND,0.02378783581626129,auto
