,Metric,Value,solver
0,WEAT,0.13884252300248856,auto
1,WEATES,0.6214044660636511,auto
2,ECT,0.6335947517937998,auto
3,RNSB,0.012590958998647237,auto
4,RND,0.06210677392612785,auto
5,RIPA,0.013001486659049988,auto
0,WEAT,0.13884252300248856,full
1,WEATES,0.6214044660636511,full
2,ECT,0.6335947517937998,full
3,RNSB,0.012758699482641416,full
4,RND,0.06210677392612785,full
5,RIPA,0.013001486659049988,full
0,WEAT,0.1388426187629493,arpack
1,WEATES,0.6214048920452442,arpack
2,ECT,0.6335947517937998,arpack
3,RNSB,0.010586649205021064,arpack
4,RND,0.06210677430389557,arpack
5,RIPA,0.01300149504095316,arpack
0,WEAT,0.13884261667619127,randomized
1,WEATES,0.6214048722259335,randomized
2,ECT,0.6335947554469933,randomized
3,RNSB,0.012925508085060338,randomized
4,RND,0.06210677467180304,randomized
5,RIPA,0.01300149504095316,randomized
0,WEAT,0.03591573093380945,auto
1,WEATES,0.121178633904328,auto
2,ECT,0.7595837471619585,auto
3,RNSB,0.030630534613674345,auto
4,RND,0.01152199308013894,auto
5,RIPA,0.006526857614517212,auto
0,WEAT,0.03591573093380945,full
1,WEATES,0.121178633904328,full
2,ECT,0.7595837471619585,full
3,RNSB,0.029859618012305904,full
4,RND,0.01152199308013894,full
5,RIPA,0.006526857614517212,full
0,WEAT,0.035915704016322936,arpack
1,WEATES,0.12117842451866667,arpack
2,ECT,0.7595837692516105,arpack
3,RNSB,0.03001345193602866,arpack
4,RND,0.011521992535634462,arpack
5,RIPA,0.006526852026581764,arpack
0,WEAT,0.035915623368006695,randomized
1,WEATES,0.12117806817195612,randomized
2,ECT,0.7595837547933725,randomized
3,RNSB,0.026221617277360366,randomized
4,RND,0.011521983856276214,randomized
5,RIPA,0.006526848301291466,randomized
0,WEAT,0.1744542289864896,auto
1,WEATES,0.9383171728182343,auto
2,ECT,0.718064441167011,auto
3,RNSB,0.014290373235086003,auto
4,RND,0.023523411127452026,auto
5,RIPA,0.022179046645760536,auto
0,WEAT,0.1744542289864896,full
1,WEATES,0.9383171728182343,full
2,ECT,0.718064441167011,full
3,RNSB,0.016493052611152133,full
4,RND,0.023523411127452026,full
5,RIPA,0.022179046645760536,full
0,WEAT,0.17445431505726838,arpack
1,WEATES,0.9383174956023398,arpack
2,ECT,0.7180644762198778,arpack
3,RNSB,0.014425849193414926,arpack
4,RND,0.02352341651266389,arpack
5,RIPA,0.022179052233695984,arpack
0,WEAT,0.17445429441303723,randomized
1,WEATES,0.938317372636606,randomized
2,ECT,0.7180644978317731,randomized
3,RNSB,0.012737384345008183,randomized
4,RND,0.023523421583419236,randomized
5,RIPA,0.022179050371050835,randomized
0,WEAT,0.07178515368048424,auto
1,WEATES,0.47585280845594896,auto
2,ECT,0.8921576684637426,auto
3,RNSB,0.013289098835832323,auto
4,RND,0.011022154771804531,auto
5,RIPA,0.018202828243374825,auto
0,WEAT,0.07178515368048424,full
1,WEATES,0.47585280845594896,full
2,ECT,0.8921576684637426,full
3,RNSB,0.010104717456033694,full
4,RND,0.011022154771804531,full
5,RIPA,0.018202828243374825,full
0,WEAT,0.07178512806343636,arpack
1,WEATES,0.4758526020906277,arpack
2,ECT,0.892157739076601,arpack
3,RNSB,0.009058233728206603,arpack
4,RND,0.011022160255599421,arpack
5,RIPA,0.018202824518084526,arpack
0,WEAT,0.07178510547851602,randomized
1,WEATES,0.4758525350586088,randomized
2,ECT,0.8921577370475235,randomized
3,RNSB,0.009582809505999702,randomized
4,RND,0.01102215733523644,randomized
5,RIPA,0.018202824518084526,randomized
0,WEAT,0.11811224473842354,auto
1,WEATES,0.5951887752612909,auto
2,ECT,0.48137876235893856,auto
3,RNSB,0.013066576754093045,auto
4,RND,0.025904414235810014,auto
5,RIPA,0.02459978125989437,auto
0,WEAT,0.11811224473842354,full
1,WEATES,0.5951887752612909,full
2,ECT,0.48137876235893856,full
3,RNSB,0.013143410386219415,full
4,RND,0.025904414235810014,full
5,RIPA,0.02459978125989437,full
0,WEAT,0.11811224288720132,arpack
1,WEATES,0.595188788732577,arpack
2,ECT,0.4813787544452517,arpack
3,RNSB,0.015293808104490573,arpack
4,RND,0.02590440635876887,arpack
5,RIPA,0.024599775671958923,arpack
0,WEAT,0.11811226255106638,randomized
1,WEATES,0.5951888606610541,randomized
2,ECT,0.4813787544452517,randomized
3,RNSB,0.01647838356922315,randomized
4,RND,0.025904406013192105,randomized
5,RIPA,0.024599775671958923,randomized
0,WEAT,0.06672880396647832,auto
1,WEATES,0.6122957366649379,auto
2,ECT,0.8647893931692839,auto
3,RNSB,0.020711719000668004,auto
4,RND,0.015134408458176908,auto
5,RIPA,0.02154884673655033,auto
0,WEAT,0.06672880396647832,full
1,WEATES,0.6122957366649379,full
2,ECT,0.8647893931692839,full
3,RNSB,0.02274092387176978,full
4,RND,0.015134408458176908,full
5,RIPA,0.02154884673655033,full
0,WEAT,0.06672888041933649,arpack
1,WEATES,0.6122963598293766,arpack
2,ECT,0.8647893080985066,arpack
3,RNSB,0.021956941769450698,arpack
4,RND,0.015134415818636083,arpack
5,RIPA,0.021548867225646973,arpack
0,WEAT,0.06672885003165985,randomized
1,WEATES,0.6122961083252605,randomized
2,ECT,0.8647893970730336,randomized
3,RNSB,0.0224790879502639,randomized
4,RND,0.015134416178920057,randomized
5,RIPA,0.021548859775066376,randomized
0,WEAT,0.06960373078806409,auto
1,WEATES,0.5252160712169145,auto
2,ECT,0.8437484504356401,auto
3,RNSB,0.034473848523865,auto
4,RND,0.02564826976148608,auto
5,RIPA,0.02191893942654133,auto
0,WEAT,0.06960373078806409,full
1,WEATES,0.5252160712169145,full
2,ECT,0.8437484504356401,full
3,RNSB,0.035093225090658646,full
4,RND,0.02564826976148608,full
5,RIPA,0.02191893942654133,full
0,WEAT,0.06960372460828473,arpack
1,WEATES,0.5252159624796772,arpack
2,ECT,0.8437484475342397,arpack
3,RNSB,0.03505492212888626,arpack
4,RND,0.02564827389562997,arpack
5,RIPA,0.02191893197596073,arpack
0,WEAT,0.06960373421250404,randomized
1,WEATES,0.525216075538974,randomized
2,ECT,0.8437484504356401,randomized
3,RNSB,0.0378151783275289,randomized
4,RND,0.02564827857752559,randomized
5,RIPA,0.02191893197596073,randomized
0,WEAT,0.11296556812672937,auto
1,WEATES,0.7939693027825597,auto
2,ECT,0.35158202339953676,auto
3,RNSB,0.04784841239126264,auto
4,RND,0.026870742814968925,auto
5,RIPA,0.03299769386649132,auto
0,WEAT,0.11296556812672937,full
1,WEATES,0.7939693027825597,full
2,ECT,0.35158202339953676,full
3,RNSB,0.042401676178848234,full
4,RND,0.026870742814968925,full
5,RIPA,0.03299769386649132,full
0,WEAT,0.1129654828369136,arpack
1,WEATES,0.793968727978304,arpack
2,ECT,0.35158224246254804,arpack
3,RNSB,0.04661462623379026,arpack
4,RND,0.026870717425374474,arpack
5,RIPA,0.03299768269062042,arpack
0,WEAT,0.1129655529672029,randomized
1,WEATES,0.7939691689118488,randomized
2,ECT,0.35158202339953676,randomized
