,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.13884252300248856,0.6214044660636511,0.06210677392612785,0.013001487,0.6335947517937998,0.012590958998647237,auto
0,0.13884252300248856,0.6214044660636511,0.06210677392612785,0.013001487,0.6335947517937998,0.012758699482641416,full
0,0.1388426187629493,0.6214048920452442,0.06210677430389557,0.013001495,0.6335947517937998,0.010586649205021064,arpack
0,0.13884261667619127,0.6214048722259335,0.06210677467180304,0.013001495,0.6335947554469933,0.012925508085060338,randomized
1,0.03591573093380945,0.121178633904328,0.01152199308013894,0.0065268576,0.7595837471619585,0.030630534613674345,auto
1,0.03591573093380945,0.121178633904328,0.01152199308013894,0.0065268576,0.7595837471619585,0.029859618012305904,full
1,0.035915704016322936,0.12117842451866667,0.011521992535634462,0.006526852,0.7595837692516105,0.03001345193602866,arpack
1,0.035915623368006695,0.12117806817195612,0.011521983856276214,0.0065268483,0.7595837547933725,0.026221617277360366,randomized
2,0.1744542289864896,0.9383171728182343,0.023523411127452026,0.022179047,0.718064441167011,0.014290373235086003,auto
2,0.1744542289864896,0.9383171728182343,0.023523411127452026,0.022179047,0.718064441167011,0.016493052611152133,full
2,0.17445431505726838,0.9383174956023398,0.02352341651266389,0.022179052,0.7180644762198778,0.014425849193414926,arpack
2,0.17445429441303723,0.938317372636606,0.023523421583419236,0.02217905,0.7180644978317731,0.012737384345008183,randomized
3,0.07178515368048424,0.47585280845594896,0.011022154771804531,0.018202828,0.8921576684637426,0.013289098835832323,auto
3,0.07178515368048424,0.47585280845594896,0.011022154771804531,0.018202828,0.8921576684637426,0.010104717456033694,full
3,0.07178512806343636,0.4758526020906277,0.011022160255599421,0.018202825,0.892157739076601,0.009058233728206603,arpack
3,0.07178510547851602,0.4758525350586088,0.01102215733523644,0.018202825,0.8921577370475235,0.009582809505999702,randomized
4,0.11811224473842354,0.5951887752612909,0.025904414235810014,0.024599781,0.48137876235893856,0.013066576754093045,auto
4,0.11811224473842354,0.5951887752612909,0.025904414235810014,0.024599781,0.48137876235893856,0.013143410386219415,full
4,0.11811224288720132,0.595188788732577,0.02590440635876887,0.024599776,0.4813787544452517,0.015293808104490573,arpack
4,0.11811226255106638,0.5951888606610541,0.025904406013192105,0.024599776,0.4813787544452517,0.01647838356922315,randomized
5,0.06672880396647832,0.6122957366649379,0.015134408458176908,0.021548847,0.8647893931692839,0.020711719000668004,auto
5,0.06672880396647832,0.6122957366649379,0.015134408458176908,0.021548847,0.8647893931692839,0.02274092387176978,full
5,0.06672888041933649,0.6122963598293766,0.015134415818636083,0.021548867,0.8647893080985066,0.021956941769450698,arpack
5,0.06672885003165985,0.6122961083252605,0.015134416178920057,0.02154886,0.8647893970730336,0.0224790879502639,randomized
6,0.06960373078806409,0.5252160712169145,0.02564826976148608,0.02191894,0.8437484504356401,0.034473848523865,auto
6,0.06960373078806409,0.5252160712169145,0.02564826976148608,0.02191894,0.8437484504356401,0.035093225090658646,full
6,0.06960372460828473,0.5252159624796772,0.02564827389562997,0.021918932,0.8437484475342397,0.03505492212888626,arpack
6,0.06960373421250404,0.525216075538974,0.02564827857752559,0.021918932,0.8437484504356401,0.0378151783275289,randomized
7,0.11296556812672937,0.7939693027825597,0.026870742814968925,0.032997694,0.35158202339953676,0.04784841239126264,auto
7,0.11296556812672937,0.7939693027825597,0.026870742814968925,0.032997694,0.35158202339953676,0.042401676178848234,full
7,0.1129654828369136,0.793968727978304,0.026870717425374474,0.032997683,0.35158224246254804,0.04661462623379026,arpack
7,0.1129655529672029,0.7939691689118488,0.026870747743473783,0.032997694,0.35158202339953676,0.04753901657280655,randomized
8,0.06457964219616778,0.4631754695586608,0.021920423757757174,0.021830462,0.8921902677265706,0.015324142016505034,auto
8,0.06457964219616778,0.4631754695586608,0.021920423757757174,0.021830462,0.8921902677265706,0.014155526905372346,full
8,0.06457967718615164,0.463175596043761,0.021920409396710378,0.021830447,0.8921902690703097,0.016023966746570032,arpack
8,0.06457963954047617,0.46317557704433515,0.021920425340820785,0.021830464,0.8921902748853009,0.016126029460072622,randomized
9,0.10419392865138105,0.6529995431589846,0.023079072421121158,0.014716382,0.732239605963632,0.040917363497771746,auto
9,0.10419392865138105,0.6529995431589846,0.023079072421121158,0.014716382,0.732239605963632,0.041592949706214875,full
9,0.10419396161769713,0.6529998436908216,0.023079067323330385,0.014716391,0.732239614025188,0.03968224868986222,arpack
9,0.10419396557955185,0.6529998023928943,0.023079069909491916,0.0147163905,0.7322396024206208,0.03944643421468298,randomized
