,Metric,Value,solver
0,WEAT,0.14028541871443137,auto
1,WEATES,0.6516027350514033,auto
2,ECT,0.6358392403750257,auto
3,RNSB,0.013809337982667553,auto
4,RND,0.05726085037138782,auto
5,RIPA,0.013766062445938587,auto
0,WEAT,0.14028541871443137,full
1,WEATES,0.6516027350514033,full
2,ECT,0.6358392403750257,full
3,RNSB,0.0133188026839743,full
4,RND,0.05726085037138782,full
5,RIPA,0.013766062445938587,full
0,WEAT,0.1402854707588162,arpack
1,WEATES,0.6516030295266565,arpack
2,ECT,0.6358392575050124,arpack
3,RNSB,0.011875775453541267,arpack
4,RND,0.05726084064998834,arpack
5,RIPA,0.013766071759164333,arpack
0,WEAT,0.14028541206640682,randomized
1,WEATES,0.6516026936500982,randomized
2,ECT,0.635839454512856,randomized
3,RNSB,0.015876933325107725,randomized
4,RND,0.057260849621443954,randomized
5,RIPA,0.013766062445938587,randomized
0,WEAT,0.07101285876998913,auto
1,WEATES,0.32718088122832006,auto
2,ECT,0.6695802368995257,auto
3,RNSB,0.030223959204622085,auto
4,RND,0.0183925445104743,auto
5,RIPA,0.01260307151824236,auto
0,WEAT,0.07101285876998913,full
1,WEATES,0.32718088122832006,full
2,ECT,0.6695802368995257,full
3,RNSB,0.024461858848046466,full
4,RND,0.0183925445104743,full
5,RIPA,0.01260307151824236,full
0,WEAT,0.0710127802741646,arpack
1,WEATES,0.3271806122067719,arpack
2,ECT,0.6695802248794392,arpack
3,RNSB,0.0268602584931564,arpack
4,RND,0.018392535920188625,arpack
5,RIPA,0.012603060342371464,arpack
0,WEAT,0.07101282529943628,randomized
1,WEATES,0.3271807638725667,randomized
2,ECT,0.669580230891507,randomized
3,RNSB,0.028614096377791106,randomized
4,RND,0.01839254508999212,randomized
5,RIPA,0.012603063136339188,randomized
0,WEAT,0.05880166039218805,auto
1,WEATES,0.3717969125198907,auto
2,ECT,0.8749173451503851,auto
3,RNSB,0.011231472552272864,auto
4,RND,0.015989957316000506,auto
5,RIPA,0.00996431615203619,auto
0,WEAT,0.05880166039218805,full
1,WEATES,0.3717969125198907,full
2,ECT,0.8749173451503851,full
3,RNSB,0.009198016814931098,full
4,RND,0.015989957316000506,full
5,RIPA,0.00996431615203619,full
0,WEAT,0.05880179056397265,arpack
1,WEATES,0.37179780816870683,arpack
2,ECT,0.8749172731493462,arpack
3,RNSB,0.010786821525435275,arpack
4,RND,0.0159899854250487,arpack
5,RIPA,0.009964320808649063,arpack
0,WEAT,0.058801688186238085,randomized
1,WEATES,0.37179705522613365,randomized
2,ECT,0.8749173459359216,randomized
3,RNSB,0.010228915930955573,randomized
4,RND,0.015989961423752346,randomized
5,RIPA,0.009964317083358765,randomized
0,WEAT,0.08196373575406386,auto
1,WEATES,0.526422797103561,auto
2,ECT,0.9228445864921264,auto
3,RNSB,0.01058716867766525,auto
4,RND,0.011127439165487816,auto
5,RIPA,0.017884232103824615,auto
0,WEAT,0.08196373575406386,full
