,Metric,Value,solver
0,WEAT,0.16171072768913847,auto
1,WEATES,0.7389000194006605,auto
2,ECT,0.5864014905391964,auto
3,RNSB,0.013935199762655517,auto
4,RND,0.061782260689952906,auto
5,RIPA,0.01659277267754078,auto
0,WEAT,0.16171072768913847,full
1,WEATES,0.7389000194006605,full
2,ECT,0.5864014905391964,full
3,RNSB,0.01578580053149524,full
4,RND,0.061782260689952906,full
5,RIPA,0.01659277267754078,full
0,WEAT,0.16171059127912013,arpack
1,WEATES,0.7388994363237592,arpack
2,ECT,0.5864014636291595,arpack
3,RNSB,0.013479622875260746,arpack
4,RND,0.061782252176134755,arpack
5,RIPA,0.016592754051089287,arpack
0,WEAT,0.16171069515155506,randomized
1,WEATES,0.7388998615730505,randomized
2,ECT,0.5864014800673361,randomized
3,RNSB,0.01350832435180955,randomized
4,RND,0.061782263445809726,randomized
5,RIPA,0.01659276895225048,randomized
0,WEAT,0.05062280579164463,auto
1,WEATES,0.21128869850555013,auto
2,ECT,0.7028597089883951,auto
3,RNSB,0.02640935786968146,auto
4,RND,0.01387071882540941,auto
5,RIPA,0.008062177337706089,auto
0,WEAT,0.05062280579164463,full
1,WEATES,0.21128869850555013,full
2,ECT,0.7028597089883951,full
3,RNSB,0.03027361193623663,full
4,RND,0.01387071882540941,full
5,RIPA,0.008062177337706089,full
0,WEAT,0.050622841013042624,arpack
1,WEATES,0.21128881601293895,arpack
2,ECT,0.702859618683196,arpack
3,RNSB,0.029844555352211356,arpack
4,RND,0.013870727210157766,arpack
5,RIPA,0.008062190376222134,arpack
0,WEAT,0.05062278176334469,randomized
1,WEATES,0.21128843919935197,randomized
2,ECT,0.702859691986219,randomized
3,RNSB,0.02628422601261386,randomized
4,RND,0.013870708147440685,randomized
5,RIPA,0.008062172681093216,randomized
0,WEAT,0.04761879458766157,auto
1,WEATES,0.33353514714420535,auto
2,ECT,0.8425379796577075,auto
3,RNSB,0.011566534589040254,auto
4,RND,0.019612493453919605,auto
5,RIPA,0.012647858820855618,auto
0,WEAT,0.04761879458766157,full
1,WEATES,0.33353514714420535,full
2,ECT,0.8425379796577075,full
3,RNSB,0.012167263061212425,full
4,RND,0.019612493453919605,full
5,RIPA,0.012647858820855618,full
0,WEAT,0.0476190651703914,arpack
1,WEATES,0.3335367023560873,arpack
2,ECT,0.8425379662234932,arpack
3,RNSB,0.01414409312829215,arpack
4,RND,0.019612524254810717,arpack
5,RIPA,0.012647873722016811,arpack
0,WEAT,0.04761887421616359,randomized
1,WEATES,0.333535574249054,randomized
2,ECT,0.8425379796577075,randomized
3,RNSB,0.011416499248412662,randomized
4,RND,0.0196125050838573,randomized
5,RIPA,0.012647867202758789,randomized
0,WEAT,0.05881131049629281,auto
1,WEATES,0.3602531364789651,auto
2,ECT,0.9347965670821342,auto
3,RNSB,0.013298136869397653,auto
4,RND,0.010974416892173558,auto
5,RIPA,0.01288019958883524,auto
0,WEAT,0.05881131049629281,full
1,WEATES,0.3602531364789651,full
2,ECT,0.9347965670821342,full
3,RNSB,0.009594914660422334,full
4,RND,0.010974416892173558,full
5,RIPA,0.01288019958883524,full
0,WEAT,0.05881127803536109,arpack
1,WEATES,0.36025293999682456,arpack
2,ECT,0.9347965663660673,arpack
3,RNSB,0.009346576256356206,arpack
4,RND,0.010974408016723516,arpack
5,RIPA,0.012880194932222366,arpack
0,WEAT,0.058811309700316595,randomized
1,WEATES,0.3602531099254798,randomized
2,ECT,0.9347965633549503,randomized
3,RNSB,0.010521835583620635,randomized
4,RND,0.010974407220153725,randomized
5,RIPA,0.012880194000899792,randomized
0,WEAT,0.0967260469443906,auto
1,WEATES,0.4929395738152441,auto
2,ECT,0.5815165052566641,auto
3,RNSB,0.016929047698776643,auto
4,RND,0.02492733716947802,auto
5,RIPA,0.019114356487989426,auto
0,WEAT,0.0967260469443906,full
1,WEATES,0.4929395738152441,full
2,ECT,0.5815165052566641,full
3,RNSB,0.014076403778233144,full
4,RND,0.02492733716947802,full
5,RIPA,0.019114356487989426,full
0,WEAT,0.09672595707249912,arpack
1,WEATES,0.4929391341910268,arpack
2,ECT,0.581516529857612,arpack
3,RNSB,0.01591597320961572,arpack
4,RND,0.024927330514691193,arpack
5,RIPA,0.019114339724183083,arpack
0,WEAT,0.09672605322732693,randomized
1,WEATES,0.4929395891723201,randomized
2,ECT,0.5815165089438504,randomized
3,RNSB,0.01558422378456711,randomized
4,RND,0.024927336120522937,randomized
5,RIPA,0.019114363938570023,randomized
0,WEAT,0.019342622579671544,auto
1,WEATES,0.2009898682683723,auto
2,ECT,0.8282007690807837,auto
3,RNSB,0.017804073637706624,auto
4,RND,0.012630861975406207,auto
5,RIPA,0.010588135570287704,auto
0,WEAT,0.019342622579671544,full
1,WEATES,0.2009898682683723,full
2,ECT,0.8282007690807837,full
3,RNSB,0.019029274244587703,full
4,RND,0.012630861975406207,full
5,RIPA,0.010588135570287704,full
0,WEAT,0.019342648782403722,arpack
1,WEATES,0.20099037396467395,arpack
2,ECT,0.8282007788610678,arpack
3,RNSB,0.018751580309067924,arpack
4,RND,0.012630855992351994,arpack
5,RIPA,0.01058816909790039,arpack
0,WEAT,0.019342614088571963,randomized
1,WEATES,0.20098977183491135,randomized
2,ECT,0.8282007699374335,randomized
3,RNSB,0.020882856510684777,randomized
4,RND,0.012630867596373309,randomized
5,RIPA,0.010588135570287704,randomized
0,WEAT,0.09179382267247695,auto
1,WEATES,0.6541166934363941,auto
2,ECT,0.8385579416491081,auto
3,RNSB,0.03701675846251284,auto
4,RND,0.022768485195646778,auto
5,RIPA,0.02579745091497898,auto
0,WEAT,0.09179382267247695,full
1,WEATES,0.6541166934363941,full
2,ECT,0.8385579416491081,full
3,RNSB,0.036931266510102236,full
4,RND,0.022768485195646778,full
5,RIPA,0.02579745091497898,full
