,Metric,Value,solver
0,WEAT,0.1746139232710508,auto
1,WEATES,0.8017797901616958,auto
2,ECT,0.5734989648976306,auto
3,RNSB,0.014108431237277794,auto
4,RND,0.0559164588012375,auto
5,RIPA,0.01696835272014141,auto
0,WEAT,0.1746139232710508,full
1,WEATES,0.8017797901616958,full
2,ECT,0.5734989648976306,full
3,RNSB,0.013307954874501737,full
4,RND,0.0559164588012375,full
5,RIPA,0.01696835272014141,full
0,WEAT,0.1746138148049714,arpack
1,WEATES,0.8017791722621811,arpack
2,ECT,0.5734990084777218,arpack
3,RNSB,0.016419326305274682,arpack
4,RND,0.05591646624828892,arpack
5,RIPA,0.016968341544270515,arpack
0,WEAT,0.17461382132948677,randomized
1,WEATES,0.8017793411261321,randomized
2,ECT,0.5734989442690038,randomized
3,RNSB,0.010702311667473985,randomized
4,RND,0.05591646213789717,randomized
5,RIPA,0.016968341544270515,randomized
0,WEAT,0.04389017408078476,auto
1,WEATES,0.1710921766851722,auto
2,ECT,0.7110657108383097,auto
3,RNSB,0.027452109497659367,auto
4,RND,0.014275521178066934,auto
5,RIPA,0.009091014973819256,auto
0,WEAT,0.04389017408078476,full
1,WEATES,0.1710921766851722,full
2,ECT,0.7110657108383097,full
3,RNSB,0.024920607169905157,full
4,RND,0.014275521178066934,full
5,RIPA,0.009091014973819256,full
0,WEAT,0.04389009823766607,arpack
1,WEATES,0.17109168288888957,arpack
2,ECT,0.7110657220355202,arpack
3,RNSB,0.026371425057883074,arpack
4,RND,0.01427549770909915,arpack
5,RIPA,0.009090987965464592,arpack
0,WEAT,0.043890187644392155,randomized
1,WEATES,0.17109220199802727,randomized
2,ECT,0.7110657300914117,randomized
3,RNSB,0.030435064280816406,randomized
4,RND,0.014275529219271025,randomized
5,RIPA,0.009091013111174107,randomized
0,WEAT,0.08822378245499186,auto
1,WEATES,0.5665522842280972,auto
2,ECT,0.8376662933763371,auto
3,RNSB,0.011681207298093233,auto
4,RND,0.01764039750742989,auto
5,RIPA,0.01255615521222353,auto
0,WEAT,0.08822378245499186,full
1,WEATES,0.5665522842280972,full
2,ECT,0.8376662933763371,full
3,RNSB,0.010656065030279036,full
4,RND,0.01764039750742989,full
5,RIPA,0.01255615521222353,full
0,WEAT,0.08822390950335801,arpack
1,WEATES,0.566553055840343,arpack
2,ECT,0.837666210752457,arpack
3,RNSB,0.009808552371979124,arpack
4,RND,0.017640396419847965,arpack
5,RIPA,0.012556175701320171,arpack
0,WEAT,0.08822379100423317,randomized
1,WEATES,0.5665523113856328,randomized
2,ECT,0.8376662141536784,randomized
3,RNSB,0.012684128445686057,randomized
4,RND,0.017640394520865247,randomized
5,RIPA,0.012556158006191254,randomized
0,WEAT,0.09614910070556011,auto
1,WEATES,0.6081768184819266,auto
2,ECT,0.8937956408691367,auto
3,RNSB,0.00792905694060502,auto
4,RND,0.012186244745086637,auto
5,RIPA,0.022659095004200935,auto
0,WEAT,0.09614910070556011,full
1,WEATES,0.6081768184819266,full
2,ECT,0.8937956408691367,full
3,RNSB,0.01158699736303484,full
4,RND,0.012186244745086637,full
5,RIPA,0.022659095004200935,full
0,WEAT,0.09614913525020666,arpack
1,WEATES,0.6081769144120435,arpack
2,ECT,0.893795638917931,arpack
3,RNSB,0.009829757995739697,arpack
4,RND,0.01218625239443094,arpack
5,RIPA,0.022659098729491234,arpack
0,WEAT,0.09614911515390323,randomized
1,WEATES,0.6081769111350205,randomized
2,ECT,0.893795645785867,randomized
3,RNSB,0.008911514006310899,randomized
4,RND,0.012186250931205712,randomized
5,RIPA,0.022659095004200935,randomized
0,WEAT,0.1282805883749283,auto
1,WEATES,0.566806891330385,auto
2,ECT,0.5985019644625201,auto
3,RNSB,0.015461954840996234,auto
4,RND,0.022741220619833257,auto
5,RIPA,0.024683071300387383,auto
0,WEAT,0.1282805883749283,full
1,WEATES,0.566806891330385,full
2,ECT,0.5985019644625201,full
3,RNSB,0.01421169592740588,full
4,RND,0.022741220619833257,full
5,RIPA,0.024683071300387383,full
0,WEAT,0.12828061259238505,arpack
1,WEATES,0.5668069980987455,arpack
2,ECT,0.5985018924211679,arpack
3,RNSB,0.017011960030799196,arpack
4,RND,0.0227412407176221,arpack
5,RIPA,0.02468307502567768,arpack
0,WEAT,0.12828056177178837,randomized
1,WEATES,0.5668067699578662,randomized
2,ECT,0.5985019439391407,randomized
3,RNSB,0.015380142179917872,randomized
4,RND,0.022741225785968124,randomized
5,RIPA,0.024683065712451935,randomized
0,WEAT,0.02668408875152839,auto
1,WEATES,0.305230634397922,auto
2,ECT,0.8462227654898827,auto
3,RNSB,0.02010217889450792,auto
4,RND,0.011477653698785487,auto
5,RIPA,0.01339728757739067,auto
0,WEAT,0.02668408875152839,full
1,WEATES,0.305230634397922,full
2,ECT,0.8462227654898827,full
3,RNSB,0.017257021639185292,full
4,RND,0.011477653698785487,full
5,RIPA,0.01339728757739067,full
0,WEAT,0.026684110238177967,arpack
1,WEATES,0.3052306261664561,arpack
2,ECT,0.8462227838527859,arpack
3,RNSB,0.01922430565732744,arpack
4,RND,0.011477654481145731,arpack
5,RIPA,0.013397298753261566,arpack
