,Metric,Value,alpha
0,WEAT,0.07379198186650597,0
1,WEATES,0.5901824778345873,0
2,ECT,0.5784021328123765,0
3,RNSB,0.05763250589338279,0
4,RND,0.6315808566959643,0
5,RIPA,0.046072375029325485,0
0,WEAT,0.08730438930003019,10
1,WEATES,0.5616576029242958,10
2,ECT,0.5225108419536433,10
3,RNSB,0.10869551879569299,10
4,RND,0.6425069629572074,10
5,RIPA,0.06256935745477676,10
0,WEAT,0.10261266854459464,30
1,WEATES,0.5911945603473908,30
2,ECT,0.5463270014071012,30
3,RNSB,0.14550176645363438,30
4,RND,0.6474572115285648,30
5,RIPA,0.0785723552107811,30
0,WEAT,0.11983181580579882,60
1,WEATES,0.63951543405602,60
2,ECT,0.5682943516998452,60
3,RNSB,0.13257468496256888,60
4,RND,0.6484094678951017,60
5,RIPA,0.09529963880777359,60
0,WEAT,0.1287963406197947,80
1,WEATES,0.6639992808266678,80
2,ECT,0.5798965749711499,80
3,RNSB,0.1487401266068764,80
4,RND,0.6474116143302585,80
5,RIPA,0.10316730290651321,80
0,WEAT,0.13638422842505032,100
1,WEATES,0.6841406802696508,100
2,ECT,0.5594548553827547,100
3,RNSB,0.14784747650150248,100
4,RND,0.6458205062425001,100
5,RIPA,0.10967129468917847,100
0,WEAT,0.03600525785665604,0
1,WEATES,0.2759080757523821,0
2,ECT,0.4071473580175779,0
3,RNSB,0.09570472969733432,0
4,RND,0.12661728977764966,0
5,RIPA,0.04341651126742363,0
0,WEAT,0.04067368918916463,10
1,WEATES,0.31350085767623254,10
2,ECT,0.40595296787139734,10
3,RNSB,0.09543104317928504,10
4,RND,0.11568379916068545,10
5,RIPA,0.05556710436940193,10
0,WEAT,0.05292795124266673,30
1,WEATES,0.36425387661120884,30
2,ECT,0.4445484019716402,30
3,RNSB,0.10638904725812784,30
4,RND,0.10968554604757275,30
5,RIPA,0.07709077000617981,30
0,WEAT,0.07199049025558488,60
1,WEATES,0.4323389629928567,60
2,ECT,0.48474672443012384,60
3,RNSB,0.17637462063840345,60
4,RND,0.11925840828190089,60
5,RIPA,0.09779638797044754,60
0,WEAT,0.0821486855199284,80
1,WEATES,0.4694105034852442,80
2,ECT,0.5082032407037771,80
3,RNSB,0.12009315644487271,80
4,RND,0.12827437273170816,80
5,RIPA,0.10748616605997086,80
0,WEAT,0.0901184783493734,100
1,WEATES,0.4960377450700912,100
