,Weat,Weates,RND,RIPA,ECT,RNSB,solver
0,0.07379198186650597,0.5901824778345873,0.6315808566959643,0.046072375,0.5784021328123765,0.05763250589338279,0
0,0.08730438930003019,0.5616576029242958,0.6425069629572074,0.06256936,0.5225108419536433,0.10869551879569299,10
0,0.10261266854459464,0.5911945603473908,0.6474572115285648,0.078572355,0.5463270014071012,0.14550176645363438,30
0,0.11983181580579882,0.63951543405602,0.6484094678951017,0.09529964,0.5682943516998452,0.13257468496256888,60
0,0.1287963406197947,0.6639992808266678,0.6474116143302585,0.1031673,0.5798965749711499,0.1487401266068764,80
0,0.13638422842505032,0.6841406802696508,0.6458205062425001,0.109671295,0.5594548553827547,0.14784747650150248,100
1,0.03600525785665604,0.2759080757523821,0.12661728977764966,0.04341651,0.4071473580175779,0.09570472969733432,0
1,0.04067368918916463,0.31350085767623254,0.11568379916068545,0.055567104,0.40595296787139734,0.09543104317928504,10
1,0.05292795124266673,0.36425387661120884,0.10968554604757275,0.07709077,0.4445484019716402,0.10638904725812784,30
1,0.07199049025558488,0.4323389629928567,0.11925840828190089,0.09779639,0.48474672443012384,0.17637462063840345,60
1,0.0821486855199284,0.4694105034852442,0.12827437273170816,0.107486166,0.5082032407037771,0.12009315644487271,80
1,0.0901184783493734,0.4960377450700912,0.13532833427139485,0.11516749,0.5140988012623068,0.1649227456389384,100
2,0.04721914323963607,0.47027622433132565,0.05464111015761661,0.062439576,0.5687308458207222,0.04061467362343409,0
2,0.07218857402860711,0.6926820055826461,0.06663760452912273,0.07289819,0.44151042456157913,0.06594651927665762,10
2,0.10330204850039275,0.7989550872399853,0.08674033001467706,0.09842292,0.4397821093506462,0.1537189399714894,30
2,0.12953019633442475,0.8515958820133509,0.10604027249908103,0.12387631,0.4033620112329155,0.19396245579887925,60
2,0.1412862599420417,0.8685789028386421,0.11518036124233595,0.13626741,0.39398389617737145,0.22872958844173324,80
2,0.1504246976739579,0.8794281352199341,0.12248859161598107,0.14620228,0.3898009787877183,0.18671697657314806,100
3,0.04377298209714007,0.4913047724727548,0.1212184158516939,0.046514403,0.8266397846018095,0.027935819406280503,0
3,0.051654455955139095,0.47549101156613166,0.11927820455959753,0.057751406,0.7811207239848189,0.03935281589504008,10
3,0.07340140729834169,0.5590198545190839,0.1171798162802188,0.07709599,0.7803504126853728,0.18580274215835027,30
3,0.09369332319029489,0.6123613197825178,0.11702315941257822,0.09792736,0.7903446062333437,0.17354566892269135,60
3,0.10283893393015611,0.6328750112431715,0.11862962670847758,0.10817784,0.805815497449328,0.24078438335202806,80
3,0.11002137344186246,0.6478867758352044,0.12126054597771453,0.116472244,0.805738453228666,0.1842474670994619,100
4,0.06682459410970647,0.5461240887231702,0.2798707441214022,0.060521528,0.3509120127748768,0.0685163828023411,0
4,0.07531436734035638,0.5233944074341242,0.26239938503383425,0.063605934,0.3349097157127359,0.14692021238513528,10
4,0.09207363047093672,0.5923439053664572,0.25178108849162006,0.07282048,0.27783768526236396,0.18739934356943827,30
4,0.1088609208656576,0.6379718608590064,0.2449298272333508,0.08701985,0.2637905563688113,0.2471946079194867,60
4,0.11693663141050892,0.6533741498749536,0.24162014015129082,0.09500035,0.24725228540911895,0.24586901684843848,80
