,Metric,Value,alpha
0,WEAT,0.09823948776968489,0
1,WEATES,0.6351719090716491,0
2,ECT,0.4766303941459331,0
3,RNSB,0.05780847794510508,0
4,RND,0.6488398921392807,0
5,RIPA,0.07069367915391922,0
0,WEAT,0.10332035243457657,10
1,WEATES,0.5703665552324952,10
2,ECT,0.4723333122856939,10
3,RNSB,0.10680288525297883,10
4,RND,0.6422912061744906,10
5,RIPA,0.07398790121078491,10
0,WEAT,0.11454789893534041,30
1,WEATES,0.5867952131864981,30
2,ECT,0.46363141815541214,30
3,RNSB,0.1356012765907752,30
4,RND,0.6394241336260962,30
5,RIPA,0.08619177341461182,30
0,WEAT,0.12964306202199724,60
1,WEATES,0.6475323368199913,60
2,ECT,0.4763573639054776,60
3,RNSB,0.14875624891758307,60
4,RND,0.6373090008088621,60
5,RIPA,0.0997057855129242,60
0,WEAT,0.13759169213319805,80
1,WEATES,0.6745350615563798,80
2,ECT,0.4915728895714067,80
3,RNSB,0.14892457174117726,80
4,RND,0.6356257008007674,80
5,RIPA,0.10647719353437424,80
0,WEAT,0.14435376659459143,100
1,WEATES,0.6957001554459151,100
2,ECT,0.5061636391860037,100
3,RNSB,0.1409880074480645,100
4,RND,0.6337515498630875,100
5,RIPA,0.11195608973503113,100
0,WEAT,0.053169642050271804,0
1,WEATES,0.45642184968743615,0
2,ECT,0.38559427262492757,0
3,RNSB,0.08085892727946567,0
4,RND,0.1073979924162133,0
5,RIPA,0.03882085904479027,0
0,WEAT,0.050911541483275556,10
1,WEATES,0.3941449982887514,10
2,ECT,0.43040947964194015,10
3,RNSB,0.12465184607196386,10
4,RND,0.1121067658318281,10
5,RIPA,0.046140458434820175,10
0,WEAT,0.05952799437793398,30
1,WEATES,0.4194142390108924,30
2,ECT,0.4930289165593067,30
3,RNSB,0.1535611001409541,30
4,RND,0.11209491265821887,30
5,RIPA,0.0668647438287735,30
0,WEAT,0.07588684621520636,60
1,WEATES,0.47155893496580475,60
2,ECT,0.46396382299261846,60
3,RNSB,0.16136924154615978,60
4,RND,0.11232262531198228,60
5,RIPA,0.08647432178258896,60
0,WEAT,0.08521566835068209,80
1,WEATES,0.49961408482318553,80
2,ECT,0.46141228905089454,80
3,RNSB,0.18190667689802026,80
4,RND,0.12079098200677772,80
5,RIPA,0.09602301567792892,80
0,WEAT,0.0925170211688515,100
1,WEATES,0.518832713841599,100
2,ECT,0.4666105304330695,100
3,RNSB,0.17581798519978012,100
4,RND,0.12754678749178322,100
5,RIPA,0.10381156951189041,100
0,WEAT,0.05184392960514146,0
1,WEATES,0.49771209469962824,0
2,ECT,0.5711120379546303,0
3,RNSB,0.033249704809356344,0
4,RND,0.04531266900703448,0
5,RIPA,0.04935089126229286,0
0,WEAT,0.0796584679769837,10
1,WEATES,0.6972286597870208,10
2,ECT,0.5944874555427438,10
3,RNSB,0.06629178408984326,10
4,RND,0.0570959360752162,10
5,RIPA,0.064712293446064,10
0,WEAT,0.1009719627084994,30
1,WEATES,0.7904903226794084,30
2,ECT,0.532754172464689,30
3,RNSB,0.19376511878320768,30
4,RND,0.07292361073643429,30
5,RIPA,0.08554356545209885,30
0,WEAT,0.12261080960284029,60
1,WEATES,0.8460977848587884,60
2,ECT,0.46825545301534,60
3,RNSB,0.2769102772371247,60
4,RND,0.09006686224815395,60
5,RIPA,0.10746649652719498,60
0,WEAT,0.13333125363984527,80
1,WEATES,0.8667164675559734,80
2,ECT,0.4453099555541819,80
3,RNSB,0.30957047120847164,80
4,RND,0.0989913126498364,80
5,RIPA,0.11886894702911377,80
0,WEAT,0.142073638096467,100
1,WEATES,0.8808990710505302,100
2,ECT,0.4198241654871848,100
3,RNSB,0.27131216108519174,100
4,RND,0.10683091545261707,100
5,RIPA,0.1284952014684677,100
0,WEAT,0.033076928504805925,0
1,WEATES,0.26751134156644285,0
2,ECT,0.8406585805515965,0
3,RNSB,0.03022063047677662,0
4,RND,0.11722862682011663,0
5,RIPA,0.04690738022327423,0
0,WEAT,0.04584587333845931,10
1,WEATES,0.34344126633996197,10
2,ECT,0.8884930468803934,10
3,RNSB,0.04432043624423395,10
4,RND,0.11858872337047056,10
5,RIPA,0.0602160282433033,10
0,WEAT,0.06358992296147564,30
1,WEATES,0.43807766404184106,30
2,ECT,0.8786710273081325,30
3,RNSB,0.14060487725976997,30
4,RND,0.11930260153891363,30
5,RIPA,0.07333194464445114,30
0,WEAT,0.08098649169648255,60
1,WEATES,0.5029782523500037,60
2,ECT,0.8725035307893497,60
3,RNSB,0.17091406038520016,60
4,RND,0.12068457196956829,60
5,RIPA,0.08641666173934937,60
0,WEAT,0.08954989971854052,80
1,WEATES,0.5300894882053071,80
2,ECT,0.8607608513189252,80
3,RNSB,0.21395593496243429,80
4,RND,0.12132165846212406,80
5,RIPA,0.0933559238910675,80
0,WEAT,0.09658516828307004,100
1,WEATES,0.5510468141875154,100
2,ECT,0.8634822056088397,100
3,RNSB,0.15686478143317245,100
4,RND,0.12317838102422309,100
5,RIPA,0.10085675865411758,100
0,WEAT,0.03512061854499186,0
1,WEATES,0.4042580781367016,0
2,ECT,0.3892775971715594,0
3,RNSB,0.03225199812802106,0
4,RND,0.2884841127537252,0
5,RIPA,0.060636211186647415,0
0,WEAT,0.05094118023265072,10
1,WEATES,0.45882708117835475,10
2,ECT,0.36807070773847056,10
3,RNSB,0.12301034432747562,10
4,RND,0.2749596198504054,10
5,RIPA,0.06112903729081154,10
0,WEAT,0.0729118766398511,30
