,Metric,Value,alpha
0,WEAT,0.0892034121770771,0
1,WEATES,0.6030402986633575,0
2,ECT,0.5627847984333582,0
3,RNSB,0.04663906081848917,0
4,RND,0.6486469817374699,0
5,RIPA,0.06285611540079117,0
0,WEAT,0.09253644743509275,10
1,WEATES,0.5506523908756192,10
2,ECT,0.5092441294194335,10
3,RNSB,0.09661830807352965,10
4,RND,0.654960188975054,10
5,RIPA,0.07615133374929428,10
0,WEAT,0.1089937464391522,30
1,WEATES,0.6149438964013686,30
2,ECT,0.5371148085726267,30
3,RNSB,0.14481439059541454,30
4,RND,0.6518124532783595,30
5,RIPA,0.08862391859292984,30
0,WEAT,0.1278917063804293,60
1,WEATES,0.6812287832654352,60
2,ECT,0.557651677887525,60
3,RNSB,0.13619504232943438,60
4,RND,0.6469809289101002,60
5,RIPA,0.10106272250413895,60
0,WEAT,0.13738791635452624,80
1,WEATES,0.709628116188379,80
2,ECT,0.5722211100821396,80
3,RNSB,0.14558026972198945,80
4,RND,0.6439785735172588,80
5,RIPA,0.10748011618852615,80
0,WEAT,0.14521876769773018,100
1,WEATES,0.7310527229173266,100
2,ECT,0.5631802083459844,100
3,RNSB,0.14485207685157242,100
4,RND,0.6411167309591174,100
5,RIPA,0.11345656961202621,100
0,WEAT,0.04930506787307808,0
1,WEATES,0.33854033177882836,0
2,ECT,0.35981530551469865,0
3,RNSB,0.08730933793483475,0
4,RND,0.10681412878501466,0
5,RIPA,0.04166990518569946,0
0,WEAT,0.0360880613529749,10
1,WEATES,0.2479133536991202,10
2,ECT,0.42955294626215235,10
3,RNSB,0.10112512201550497,10
4,RND,0.10979107318469859,10
5,RIPA,0.047544460743665695,10
0,WEAT,0.045349744967861656,30
1,WEATES,0.313925261445077,30
2,ECT,0.45550574995758425,30
3,RNSB,0.11652793507479826,30
4,RND,0.10905751056869155,30
5,RIPA,0.06568676978349686,30
0,WEAT,0.06628696051725548,60
1,WEATES,0.4077567245349704,60
2,ECT,0.4802872158906785,60
3,RNSB,0.13439412637067377,60
4,RND,0.10847611394268468,60
5,RIPA,0.0842641294002533,60
0,WEAT,0.07610258927144181,80
1,WEATES,0.4442649424695668,80
2,ECT,0.474569990557818,80
3,RNSB,0.1734375800525374,80
4,RND,0.11196278051823468,80
5,RIPA,0.09354865550994873,80
0,WEAT,0.08382349345883379,100
1,WEATES,0.4701052295150365,100
2,ECT,0.4544918183292834,100
3,RNSB,0.16914008085226137,100
4,RND,0.11864961378433685,100
5,RIPA,0.10120275616645813,100
0,WEAT,0.04398919360045553,0
1,WEATES,0.3803078647614056,0
2,ECT,0.47127688403952006,0
3,RNSB,0.03483127860462464,0
4,RND,0.05812342210495599,0
5,RIPA,0.06437628716230392,0
0,WEAT,0.07317450431526712,10
1,WEATES,0.6714529442542643,10
2,ECT,0.46569124268285494,10
3,RNSB,0.07568678898167853,10
4,RND,0.06848244942808798,10
5,RIPA,0.0760660320520401,10
0,WEAT,0.10066575311864423,30
1,WEATES,0.797508860426489,30
2,ECT,0.3649949483515434,30
3,RNSB,0.10752242073160682,30
4,RND,0.08947952390907458,30
5,RIPA,0.10514400154352188,30
0,WEAT,0.12539678288320233,60
1,WEATES,0.854194740350933,60
2,ECT,0.30743322086228836,60
3,RNSB,0.14007914987236453,60
4,RND,0.10841627569138067,60
5,RIPA,0.13102403283119202,60
0,WEAT,0.13692109030906605,80
1,WEATES,0.8719058635027669,80
2,ECT,0.3021975762950588,80
3,RNSB,0.20874300899213322,80
4,RND,0.1170949472546897,80
5,RIPA,0.14303193986415863,80
0,WEAT,0.14604893684508502,100
1,WEATES,0.8833112065637136,100
2,ECT,0.28603290908283324,100
3,RNSB,0.15634379567933504,100
4,RND,0.12409487985234685,100
5,RIPA,0.15259391069412231,100
0,WEAT,0.04122249822281093,0
1,WEATES,0.5180780426313788,0
2,ECT,0.7858359930189973,0
3,RNSB,0.014528754854011925,0
4,RND,0.1321223237340886,0
5,RIPA,0.039820168167352676,0
0,WEAT,0.059437363143156265,10
1,WEATES,0.540261678449446,10
2,ECT,0.8121115703373772,10
3,RNSB,0.03801068289419117,10
4,RND,0.13717829418539867,10
5,RIPA,0.06240828335285187,10
0,WEAT,0.08000357700382087,30
1,WEATES,0.6156423419467806,30
2,ECT,0.8069758532008899,30
3,RNSB,0.14757363376957258,30
4,RND,0.13406187930347882,30
5,RIPA,0.08372112363576889,30
0,WEAT,0.09872393125583576,60
1,WEATES,0.6613350089339833,60
2,ECT,0.809733191800663,60
3,RNSB,0.2178592267015854,60
4,RND,0.1297187934445058,60
5,RIPA,0.10364653915166855,60
0,WEAT,0.10748675473082445,80
1,WEATES,0.6788654299704558,80
2,ECT,0.8023205898382141,80
3,RNSB,0.22656045883285783,80
4,RND,0.12876326260221607,80
5,RIPA,0.11340031027793884,80
0,WEAT,0.11446167343552073,100
1,WEATES,0.6915399606622936,100
2,ECT,0.8100638757078943,100
3,RNSB,0.1808649765319677,100
4,RND,0.12984207796988048,100
5,RIPA,0.12143608927726746,100
0,WEAT,0.058519497438791104,0
1,WEATES,0.5110831551966512,0
2,ECT,0.4474428745914087,0
3,RNSB,0.06371789441581228,0
4,RND,0.27177053518172595,0
5,RIPA,0.05708634853363037,0
0,WEAT,0.07019636473978445,10
1,WEATES,0.535974234171151,10
2,ECT,0.3747742442663993,10
3,RNSB,0.1438464640653696,10
4,RND,0.25938795523695746,10
5,RIPA,0.05703900754451752,10
0,WEAT,0.0907513504672377,30
1,WEATES,0.5975241649372169,30
2,ECT,0.35828404279740184,30
3,RNSB,0.14312400436299352,30
4,RND,0.2490011523410706,30
5,RIPA,0.07126618176698685,30
0,WEAT,0.1104707070098803,60
1,WEATES,0.6471330404093051,60
2,ECT,0.3091663786713927,60
3,RNSB,0.20552523658862526,60
4,RND,0.24115009387950748,60
5,RIPA,0.08776921033859253,60
0,WEAT,0.11967009705283822,80
1,WEATES,0.6665283278405599,80
2,ECT,0.32970042684310114,80
3,RNSB,0.18229234612780557,80
4,RND,0.2374009973019606,80
5,RIPA,0.09623146802186966,80
0,WEAT,0.12697031595484606,100
1,WEATES,0.6803242808351911,100
2,ECT,0.3506261956378384,100
3,RNSB,0.1528918806192312,100
4,RND,0.23425767313694043,100
5,RIPA,0.10296725481748581,100
0,WEAT,0.06308247839404099,0
1,WEATES,0.7838763765850297,0
2,ECT,0.42836266699801767,0
3,RNSB,0.0465240108347686,0
4,RND,0.06271014949400963,0
5,RIPA,0.07251399010419846,0
0,WEAT,0.05801875028319158,10
1,WEATES,0.7371667850514008,10
2,ECT,0.4749581302905146,10
3,RNSB,0.15886271786077436,10
4,RND,0.06200584970560149,10
5,RIPA,0.07002309709787369,10
0,WEAT,0.05588902137253943,30
1,WEATES,0.7098874668239448,30
2,ECT,0.5598345497855112,30
3,RNSB,0.18744044658186976,30
4,RND,0.06635677465657806,30
5,RIPA,0.07370448857545853,30
0,WEAT,0.0678164934426074,60
1,WEATES,0.7421652497706709,60
2,ECT,0.5473286989806998,60
3,RNSB,0.2147694537232425,60
4,RND,0.0695438871886316,60
5,RIPA,0.07950855791568756,60
0,WEAT,0.07552412986004778,80
1,WEATES,0.7650492102157608,80
2,ECT,0.5351206029987602,80
3,RNSB,0.21152507533041462,80
4,RND,0.07118892817747258,80
5,RIPA,0.08186868578195572,80
0,WEAT,0.08166834669656176,100
1,WEATES,0.7801588039350992,100
2,ECT,0.5491237897853054,100
3,RNSB,0.2035965484024611,100
4,RND,0.07375570084686804,100
5,RIPA,0.08462640643119812,100
0,WEAT,0.04270880486598465,0
1,WEATES,0.5220633302114613,0
2,ECT,0.5351174340594834,0
3,RNSB,0.07405839739988569,0
4,RND,0.21131660691148016,0
5,RIPA,0.08321533352136612,0
0,WEAT,0.05922036485841051,10
1,WEATES,0.6133696215040535,10
2,ECT,0.5740923647776187,10
3,RNSB,0.1551746243735754,10
4,RND,0.20508190830328762,10
5,RIPA,0.08906128257513046,10
0,WEAT,0.06842381397056913,30
1,WEATES,0.6312529140045077,30
2,ECT,0.6087265958954071,30
3,RNSB,0.15281686264537894,30
4,RND,0.2135827033300408,30
5,RIPA,0.10078748315572739,30
0,WEAT,0.07652412386049406,60
1,WEATES,0.6452373512358304,60
2,ECT,0.622217834317833,60
3,RNSB,0.16916564736773784,60
4,RND,0.22613448080790252,60
5,RIPA,0.11442530900239944,60
0,WEAT,0.08517863574181489,80
1,WEATES,0.684576698550588,80
2,ECT,0.6394518429950147,80
3,RNSB,0.19553702533080905,80
4,RND,0.23271021430151081,80
5,RIPA,0.12196502834558487,80
0,WEAT,0.09224421168901367,100
1,WEATES,0.7164887992026656,100
2,ECT,0.6478651675200856,100
3,RNSB,0.18203651887205938,100
4,RND,0.23806258881290646,100
5,RIPA,0.12822139263153076,100
0,WEAT,0.04404644721552352,0
1,WEATES,0.5220558279452157,0
2,ECT,0.2583139095901646,0
3,RNSB,0.08788001446623876,0
4,RND,0.31087828903666553,0
5,RIPA,0.09119492024183273,0
