,Metric,Value,alpha
0,WEAT,0.08717245561109607,0
1,WEATES,0.5562242442836498,0
2,ECT,0.5627178064526482,0
3,RNSB,0.04150644471155349,0
4,RND,0.6259873294383559,0
5,RIPA,0.05196448788046837,0
0,WEAT,0.09768277903679376,10
1,WEATES,0.534337289193484,10
2,ECT,0.5213571887266334,10
3,RNSB,0.08845559018975112,10
4,RND,0.6359399461116201,10
5,RIPA,0.0665079802274704,10
0,WEAT,0.11187798659643748,30
1,WEATES,0.5816915071626602,30
2,ECT,0.5328559074550009,30
3,RNSB,0.14238388790926576,30
4,RND,0.6364556877237585,30
5,RIPA,0.0827416405081749,30
0,WEAT,0.1273059480966623,60
1,WEATES,0.6353933762935894,60
2,ECT,0.5746546692787334,60
3,RNSB,0.13474994707721516,60
4,RND,0.6354726550674913,60
5,RIPA,0.09729332476854324,60
0,WEAT,0.1358963719858841,80
1,WEATES,0.6651307134684876,80
2,ECT,0.574969178351249,80
3,RNSB,0.1456337652674948,80
4,RND,0.6342787451912425,80
5,RIPA,0.10465946048498154,80
0,WEAT,0.14326936416641411,100
1,WEATES,0.6896965320920588,100
2,ECT,0.5845846426768022,100
3,RNSB,0.1344445076288105,100
4,RND,0.6328309266211047,100
5,RIPA,0.11063335090875626,100
0,WEAT,0.04446503615174264,0
1,WEATES,0.35173073178997527,0
2,ECT,0.4433847554808262,0
3,RNSB,0.0923891463595916,0
4,RND,0.10857527189733047,0
5,RIPA,0.041943904012441635,0
0,WEAT,0.057062042438083285,10
1,WEATES,0.40635861431321063,10
2,ECT,0.46070063182960874,10
3,RNSB,0.08170777320669416,10
4,RND,0.10629483560807855,10
5,RIPA,0.06352078914642334,10
0,WEAT,0.07390237946990016,30
1,WEATES,0.47335741497083966,30
2,ECT,0.4820632882768281,30
3,RNSB,0.14295835057709577,30
4,RND,0.10933075075095827,30
5,RIPA,0.08297672122716904,30
0,WEAT,0.09219402135045399,60
1,WEATES,0.5388433449469451,60
2,ECT,0.4707828471503386,60
3,RNSB,0.1671172982094536,60
4,RND,0.1220383317383006,60
5,RIPA,0.10147634893655777,60
0,WEAT,0.10063707187275657,80
1,WEATES,0.5628916386478933,80
2,ECT,0.4689191608874639,80
3,RNSB,0.15514422851969925,80
4,RND,0.13079815850617674,80
5,RIPA,0.11036739498376846,80
0,WEAT,0.10719336958224193,100
1,WEATES,0.5792354357498216,100
2,ECT,0.4675130371476697,100
3,RNSB,0.17437117082318893,100
4,RND,0.13766402383575582,100
5,RIPA,0.11753051728010178,100
0,WEAT,0.044955883801054856,0
1,WEATES,0.48373143569260485,0
2,ECT,0.4835939964632494,0
3,RNSB,0.024636899235711135,0
4,RND,0.058265811318265436,0
5,RIPA,0.06415867805480957,0
0,WEAT,0.07397125481931835,10
1,WEATES,0.6554876386407434,10
2,ECT,0.4357614465399164,10
3,RNSB,0.08199284672160267,10
4,RND,0.07001998916441268,10
5,RIPA,0.07829221338033676,10
0,WEAT,0.10203212893107377,30
1,WEATES,0.7519374060388123,30
2,ECT,0.3474926056383354,30
3,RNSB,0.15615141531554505,30
4,RND,0.08686148185286767,30
5,RIPA,0.09892263263463974,30
0,WEAT,0.12637418646096849,60
1,WEATES,0.8035323685780587,60
2,ECT,0.3277689323313689,60
3,RNSB,0.2909522836195371,60
4,RND,0.10345324384221855,60
5,RIPA,0.12167919427156448,60
0,WEAT,0.13760991207033058,80
1,WEATES,0.8221109687888506,80
2,ECT,0.32587606123040874,80
3,RNSB,0.22868967657914543,80
4,RND,0.11170000019517666,80
5,RIPA,0.13288353383541107,80
0,WEAT,0.1465028635369581,100
1,WEATES,0.8350344811734665,100
2,ECT,0.34927466250231803,100
3,RNSB,0.23605756323090357,100
4,RND,0.11850165029648253,100
5,RIPA,0.14204859733581543,100
0,WEAT,0.04864665564182123,0
1,WEATES,0.5661633741872578,0
2,ECT,0.8109553214243396,0
3,RNSB,0.02511529440342253,0
4,RND,0.11787843689117533,0
5,RIPA,0.052425164729356766,0
0,WEAT,0.05071102133074336,10
1,WEATES,0.4981611749576694,10
2,ECT,0.7992731628609212,10
3,RNSB,0.0338161264455794,10
4,RND,0.11884796485190603,10
5,RIPA,0.06236710026860237,10
0,WEAT,0.06923615462796293,30
1,WEATES,0.5909912042380945,30
2,ECT,0.7795072008881757,30
3,RNSB,0.1241035926873434,30
4,RND,0.11977475675204896,30
5,RIPA,0.07518910616636276,30
0,WEAT,0.08855961614281585,60
1,WEATES,0.6415055658820086,60
2,ECT,0.7933837170648158,60
3,RNSB,0.17005280120547267,60
4,RND,0.12023900528312147,60
5,RIPA,0.09250971674919128,60
0,WEAT,0.09757603148625646,80
1,WEATES,0.6597793236434353,80
2,ECT,0.7996614249,80
3,RNSB,0.2050708057007509,80
4,RND,0.12023907941172451,80
5,RIPA,0.10090100765228271,80
0,WEAT,0.10480929110372758,100
1,WEATES,0.6727203570500743,100
2,ECT,0.7945162532645195,100
3,RNSB,0.17270999341067775,100
4,RND,0.12010060177149122,100
5,RIPA,0.10785388946533203,100
0,WEAT,0.041978760896228956,0
1,WEATES,0.2684866034514217,0
2,ECT,0.32856060520959013,0
3,RNSB,0.06396958266432176,0
4,RND,0.2851511861147906,0
5,RIPA,0.057644471526145935,0
0,WEAT,0.054967438338481237,10
1,WEATES,0.3973796062791556,10
2,ECT,0.3595228687969376,10
3,RNSB,0.1536051553078571,10
4,RND,0.26378548038450805,10
5,RIPA,0.051400523632764816,10
0,WEAT,0.0761733850755805,30
1,WEATES,0.5104527018613051,30
2,ECT,0.3387638575216049,30
3,RNSB,0.18361609205472415,30
4,RND,0.24693280728918207,30
5,RIPA,0.06045402213931084,30
0,WEAT,0.09966835165870427,60
1,WEATES,0.5902313375831787,60
2,ECT,0.3548522533656983,60
3,RNSB,0.2060559647527877,60
4,RND,0.23550283449840556,60
5,RIPA,0.07832702994346619,60
0,WEAT,0.11038833554222449,80
1,WEATES,0.6193332834452263,80
2,ECT,0.31361134232317556,80
3,RNSB,0.21388731208953507,80
4,RND,0.2308733433229172,80
5,RIPA,0.0871320441365242,80
0,WEAT,0.11881958681524507,100
1,WEATES,0.6397131953716666,100
2,ECT,0.30964599493318967,100
3,RNSB,0.1203225832796365,100
4,RND,0.227360233449993,100
5,RIPA,0.09429153800010681,100
0,WEAT,0.04400143598606252,0
1,WEATES,0.6412221254880583,0
2,ECT,0.5364272994309619,0
3,RNSB,0.04321116656073013,0
4,RND,0.05230280991680219,0
5,RIPA,0.04782519116997719,0
0,WEAT,0.032980629155505294,10
1,WEATES,0.41819036523719316,10
2,ECT,0.48888449032630016,10
3,RNSB,0.1291246993734476,10
4,RND,0.05624410066495073,10
5,RIPA,0.04734282195568085,10
0,WEAT,0.043392968281046156,30
1,WEATES,0.5565567947098656,30
2,ECT,0.49388819499876213,30
3,RNSB,0.14332903273264838,30
4,RND,0.056955226536878706,30
5,RIPA,0.04737721011042595,30
0,WEAT,0.05667358648520479,60
1,WEATES,0.6535015865796703,60
2,ECT,0.5318576173781658,60
3,RNSB,0.1647205403505436,60
4,RND,0.05837139031125793,60
5,RIPA,0.05486947298049927,60
0,WEAT,0.06471692908969465,80
1,WEATES,0.6930820970261121,80
2,ECT,0.5248690477823656,80
3,RNSB,0.23896612899828118,80
4,RND,0.06171552460439315,80
5,RIPA,0.06176190450787544,80
0,WEAT,0.07125314832965338,100
1,WEATES,0.7182787370866027,100
2,ECT,0.5490431003220099,100
3,RNSB,0.21590545501224462,100
4,RND,0.06611982013302063,100
5,RIPA,0.06733769923448563,100
0,WEAT,0.062033983559505665,0
1,WEATES,0.6420264802132026,0
2,ECT,0.5064238946625389,0
3,RNSB,0.06847369298720914,0
4,RND,0.20543049890311027,0
5,RIPA,0.1031143069267273,0
0,WEAT,0.07027513995359434,10
1,WEATES,0.6490466020933762,10
2,ECT,0.5462648433623208,10
3,RNSB,0.20552816417049716,10
4,RND,0.22050357345918695,10
5,RIPA,0.11234226077795029,10
0,WEAT,0.07439244909385548,30
1,WEATES,0.6464791258222868,30
2,ECT,0.6325306047696381,30
3,RNSB,0.17038559661105518,30
4,RND,0.23102656721061932,30
5,RIPA,0.11645803600549698,30
0,WEAT,0.07960206406796166,60
1,WEATES,0.653521875659577,60
2,ECT,0.664017521509889,60
3,RNSB,0.1821176909840994,60
4,RND,0.2415903748438516,60
5,RIPA,0.12174948304891586,60
0,WEAT,0.08227078807096894,80
1,WEATES,0.6560542174082143,80
2,ECT,0.6493840090668542,80
3,RNSB,0.17564997063648655,80
4,RND,0.24671479482267122,80
5,RIPA,0.12824587523937225,80
0,WEAT,0.08766933688590195,100
1,WEATES,0.6797704549549274,100
2,ECT,0.6556684765871467,100
3,RNSB,0.15052992508266927,100
4,RND,0.25079058071006843,100
5,RIPA,0.1337750405073166,100
0,WEAT,0.057655670397071916,0
1,WEATES,0.6097136086901649,0
2,ECT,0.30026481732213123,0
3,RNSB,0.11437986709496117,0
4,RND,0.2436629905880289,0
5,RIPA,0.07858001440763474,0
0,WEAT,0.06490803148867096,10
1,WEATES,0.6283611631367377,10
2,ECT,0.28966748038232415,10
3,RNSB,0.17281780566792784,10
4,RND,0.22707314462964176,10
5,RIPA,0.09386777132749557,10
0,WEAT,0.0784801021215703,30
1,WEATES,0.6153136918565324,30
2,ECT,0.2963133256907862,30
3,RNSB,0.1695270348439019,30
4,RND,0.2004536900280018,30
5,RIPA,0.10727446526288986,30
0,WEAT,0.0899950031698197,60
1,WEATES,0.5811974111748436,60
