,Weat,Weates,RND,RIPA,ECT,RNSB,alpha
0,0.08717245561109607,0.5562242442836498,0.6259873294383559,0.051964488,0.5627178064526482,0.04150644471155349,0
0,0.09768277903679376,0.534337289193484,0.6359399461116201,0.06650798,0.5213571887266334,0.08845559018975112,10
0,0.11187798659643748,0.5816915071626602,0.6364556877237585,0.08274164,0.5328559074550009,0.14238388790926576,30
0,0.1273059480966623,0.6353933762935894,0.6354726550674913,0.097293325,0.5746546692787334,0.13474994707721516,60
0,0.1358963719858841,0.6651307134684876,0.6342787451912425,0.10465946,0.574969178351249,0.1456337652674948,80
0,0.14326936416641411,0.6896965320920588,0.6328309266211047,0.11063335,0.5845846426768022,0.1344445076288105,100
1,0.04446503615174264,0.35173073178997527,0.10857527189733047,0.041943904,0.4433847554808262,0.0923891463595916,0
1,0.057062042438083285,0.40635861431321063,0.10629483560807855,0.06352079,0.46070063182960874,0.08170777320669416,10
1,0.07390237946990016,0.47335741497083966,0.10933075075095827,0.08297672,0.4820632882768281,0.14295835057709577,30
1,0.09219402135045399,0.5388433449469451,0.1220383317383006,0.10147635,0.4707828471503386,0.1671172982094536,60
1,0.10063707187275657,0.5628916386478933,0.13079815850617674,0.110367395,0.4689191608874639,0.15514422851969925,80
1,0.10719336958224193,0.5792354357498216,0.13766402383575582,0.11753052,0.4675130371476697,0.17437117082318893,100
2,0.044955883801054856,0.48373143569260485,0.058265811318265436,0.06415868,0.4835939964632494,0.024636899235711135,0
2,0.07397125481931835,0.6554876386407434,0.07001998916441268,0.07829221,0.4357614465399164,0.08199284672160267,10
2,0.10203212893107377,0.7519374060388123,0.08686148185286767,0.09892263,0.3474926056383354,0.15615141531554505,30
2,0.12637418646096849,0.8035323685780587,0.10345324384221855,0.121679194,0.3277689323313689,0.2909522836195371,60
2,0.13760991207033058,0.8221109687888506,0.11170000019517666,0.13288353,0.32587606123040874,0.22868967657914543,80
2,0.1465028635369581,0.8350344811734665,0.11850165029648253,0.1420486,0.34927466250231803,0.23605756323090357,100
3,0.04864665564182123,0.5661633741872578,0.11787843689117533,0.052425165,0.8109553214243396,0.02511529440342253,0
3,0.05071102133074336,0.4981611749576694,0.11884796485190603,0.0623671,0.7992731628609212,0.0338161264455794,10
3,0.06923615462796293,0.5909912042380945,0.11977475675204896,0.075189106,0.7795072008881757,0.1241035926873434,30
3,0.08855961614281585,0.6415055658820086,0.12023900528312147,0.09250972,0.7933837170648158,0.17005280120547267,60
3,0.09757603148625646,0.6597793236434353,0.12023907941172451,0.10090101,0.7996614249,0.2050708057007509,80
3,0.10480929110372758,0.6727203570500743,0.12010060177149122,0.10785389,0.7945162532645195,0.17270999341067775,100
4,0.041978760896228956,0.2684866034514217,0.2851511861147906,0.05764447,0.32856060520959013,0.06396958266432176,0
4,0.054967438338481237,0.3973796062791556,0.26378548038450805,0.051400524,0.3595228687969376,0.1536051553078571,10
