,Metric,Value,alpha
0,WEAT,0.0940632099433591,0
1,WEATES,0.5349980147098482,0
2,ECT,0.43246961574423115,0
3,RNSB,0.059644204363362326,0
4,RND,0.6620646489563277,0
5,RIPA,0.0698431059718132,0
0,WEAT,0.1091386471270687,10
1,WEATES,0.6451156268435722,10
2,ECT,0.45126365887404324,10
3,RNSB,0.09129887291611709,10
4,RND,0.6481643229904631,10
5,RIPA,0.07380510121583939,10
0,WEAT,0.1246987276336578,30
1,WEATES,0.7097405578063974,30
2,ECT,0.48305954382848665,30
3,RNSB,0.13232771108819136,30
4,RND,0.6399000494276129,30
5,RIPA,0.08647903800010681,30
0,WEAT,0.14057009891244923,60
1,WEATES,0.750813656879829,60
2,ECT,0.5056286032994447,60
3,RNSB,0.10525838544512346,60
4,RND,0.6339833484403022,60
5,RIPA,0.1000831127166748,60
0,WEAT,0.1485583576400994,80
1,WEATES,0.7674357414981522,80
2,ECT,0.5095799704761816,80
3,RNSB,0.12093237669846334,80
4,RND,0.6310270920951518,80
5,RIPA,0.10677284747362137,80
0,WEAT,0.1552171068396954,100
1,WEATES,0.7800394929943628,100
2,ECT,0.517654163787035,100
3,RNSB,0.1060499315572532,100
4,RND,0.6283881293860286,100
5,RIPA,0.1121814176440239,100
0,WEAT,0.044013131095182616,0
1,WEATES,0.3469007803316191,0
2,ECT,0.36822207931428946,0
3,RNSB,0.0785191952180977,0
4,RND,0.10815662459418705,0
5,RIPA,0.04603314772248268,0
0,WEAT,0.05342020281992708,10
1,WEATES,0.42288354497586905,10
2,ECT,0.4008899390359409,10
3,RNSB,0.1284892870929072,10
4,RND,0.11301844831104474,10
5,RIPA,0.05845599249005318,10
0,WEAT,0.05998963215056133,30
1,WEATES,0.4352904133949081,30
2,ECT,0.48811085041989194,30
3,RNSB,0.12521559860778636,30
4,RND,0.1141305285405424,30
5,RIPA,0.07850486040115356,30
0,WEAT,0.07417532920768084,60
1,WEATES,0.4782829913449143,60
2,ECT,0.4538988505811183,60
3,RNSB,0.19706535517115129,60
4,RND,0.11433330300969698,60
5,RIPA,0.0963708832859993,60
0,WEAT,0.08292442950480679,80
1,WEATES,0.5031940730439645,80
2,ECT,0.47178611062619474,80
3,RNSB,0.16581730033691675,80
4,RND,0.12198639028473264,80
5,RIPA,0.10486894845962524,80
0,WEAT,0.08985392300808204,100
1,WEATES,0.5208002673294378,100
2,ECT,0.45952620102984426,100
3,RNSB,0.1746094322315144,100
4,RND,0.1289678356952566,100
5,RIPA,0.11208480596542358,100
0,WEAT,0.08953933506151025,0
1,WEATES,0.8109562245126737,0
2,ECT,0.42011253333093607,0
3,RNSB,0.05330328572648092,0
4,RND,0.0665838840953936,0
5,RIPA,0.07434963434934616,0
0,WEAT,0.11596695374108475,10
1,WEATES,0.9741546385480223,10
2,ECT,0.35769531267178634,10
3,RNSB,0.08506724224641697,10
4,RND,0.07568924527295766,10
5,RIPA,0.08781817555427551,10
0,WEAT,0.14005087692489895,30
1,WEATES,0.999713143496652,30
2,ECT,0.3207556839488539,30
3,RNSB,0.10363555969529627,30
4,RND,0.0941614758040988,30
5,RIPA,0.1136387288570404,30
0,WEAT,0.15935910733982678,60
1,WEATES,0.9911729160897311,60
2,ECT,0.33058305523871123,60
3,RNSB,0.19762990767968144,60
4,RND,0.11067524752627457,60
5,RIPA,0.13582374155521393,60
0,WEAT,0.16786785075053823,80
1,WEATES,0.9846887325541409,80
2,ECT,0.3755427747593481,80
3,RNSB,0.2592239734873843,80
4,RND,0.11837695023607868,80
5,RIPA,0.14635618031024933,80
0,WEAT,0.1744509014965886,100
1,WEATES,0.9789542538908006,100
2,ECT,0.3753153940421128,100
3,RNSB,0.1894185210120325,100
4,RND,0.12457087214904815,100
5,RIPA,0.1549098789691925,100
0,WEAT,0.04293355076312427,0
1,WEATES,0.5136457681530234,0
2,ECT,0.8217322074106912,0
3,RNSB,0.027308376565116615,0
4,RND,0.12593384201094873,0
5,RIPA,0.04595658555626869,0
0,WEAT,0.0475128996573283,10
1,WEATES,0.5250832268272754,10
2,ECT,0.8123703797117455,10
3,RNSB,0.02361188114417261,10
4,RND,0.12803600390845796,10
