,Weat,Weates,RND,RIPA,ECT,RNSB,alpha
0,0.0940632099433591,0.5349980147098482,0.6620646489563277,0.069843106,0.43246961574423115,0.059644204363362326,0
0,0.1091386471270687,0.6451156268435722,0.6481643229904631,0.0738051,0.45126365887404324,0.09129887291611709,10
0,0.1246987276336578,0.7097405578063974,0.6399000494276129,0.08647904,0.48305954382848665,0.13232771108819136,30
0,0.14057009891244923,0.750813656879829,0.6339833484403022,0.10008311,0.5056286032994447,0.10525838544512346,60
0,0.1485583576400994,0.7674357414981522,0.6310270920951518,0.10677285,0.5095799704761816,0.12093237669846334,80
0,0.1552171068396954,0.7800394929943628,0.6283881293860286,0.11218142,0.517654163787035,0.1060499315572532,100
1,0.044013131095182616,0.3469007803316191,0.10815662459418705,0.046033148,0.36822207931428946,0.0785191952180977,0
1,0.05342020281992708,0.42288354497586905,0.11301844831104474,0.058455992,0.4008899390359409,0.1284892870929072,10
1,0.05998963215056133,0.4352904133949081,0.1141305285405424,0.07850486,0.48811085041989194,0.12521559860778636,30
1,0.07417532920768084,0.4782829913449143,0.11433330300969698,0.09637088,0.4538988505811183,0.19706535517115129,60
1,0.08292442950480679,0.5031940730439645,0.12198639028473264,0.10486895,0.47178611062619474,0.16581730033691675,80
1,0.08985392300808204,0.5208002673294378,0.1289678356952566,0.112084806,0.45952620102984426,0.1746094322315144,100
2,0.08953933506151025,0.8109562245126737,0.0665838840953936,0.074349634,0.42011253333093607,0.05330328572648092,0
2,0.11596695374108475,0.9741546385480223,0.07568924527295766,0.087818176,0.35769531267178634,0.08506724224641697,10
2,0.14005087692489895,0.999713143496652,0.0941614758040988,0.11363873,0.3207556839488539,0.10363555969529627,30
2,0.15935910733982678,0.9911729160897311,0.11067524752627457,0.13582374,0.33058305523871123,0.19762990767968144,60
2,0.16786785075053823,0.9846887325541409,0.11837695023607868,0.14635618,0.3755427747593481,0.2592239734873843,80
2,0.1744509014965886,0.9789542538908006,0.12457087214904815,0.15490988,0.3753153940421128,0.1894185210120325,100
3,0.04293355076312427,0.5136457681530234,0.12593384201094873,0.045956586,0.8217322074106912,0.027308376565116615,0
3,0.0475128996573283,0.5250832268272754,0.12803600390845796,0.06281598,0.8123703797117455,0.02361188114417261,10
3,0.06508768604471722,0.571386032854814,0.13149446822024738,0.07652519,0.8166227062750128,0.10142839474027292,30
3,0.08337417110727334,0.6018795867796151,0.1339823395579078,0.08992246,0.8124915063335533,0.12217147758187814,60
3,0.09235372585173013,0.6157739280771369,0.13468462772390197,0.09687585,0.7988376529972938,0.08969663291562611,80
3,0.09966668710584153,0.6270056395212346,0.13494573093565668,0.10359635,0.8223854843259547,0.16058769158282882,100
4,0.08348593269597264,0.601095487724824,0.24112401209652592,0.057975937,0.266074480824233,0.03862796089539134,0
4,0.08230911465917981,0.5873013688869045,0.22943603138479016,0.055780616,0.2817680790042147,0.1656130770997439,10
4,0.0987033230208322,0.6368531945558001,0.22203642339193566,0.06612009,0.2649707105704832,0.16861861509474133,30
4,0.11534785799617903,0.6761209595062098,0.21853203741106064,0.082414985,0.2522330029255152,0.1628147997484925,60
4,0.12337970539859755,0.6906748359410221,0.21715685262084652,0.09083298,0.2948125904325543,0.20524862590592274,80
4,0.1298669481813639,0.7007505013531466,0.2159859692911954,0.09768958,0.30456797681996356,0.19109129852774814,100
5,0.05091201119349586,0.6129687485351065,0.07189447203726221,0.07513087,0.38277199595760997,0.05566657170891015,0
5,0.04391333891964639,0.5469708011259111,0.07182428116351307,0.07284527,0.4163991349828768,0.14649690327249396,10
5,0.04434307703825309,0.568003175624853,0.07306843996671349,0.07477722,0.4672659689234873,0.19271303650568308,30
5,0.05832824195024355,0.6429496264790416,0.07491018453243929,0.07932005,0.49463114529018815,0.18204801182145328,60
5,0.06670015686485833,0.6779081616610492,0.07548851893238956,0.081233725,0.5049942586246529,0.20211262514861958,80
5,0.0734599322218779,0.7026572979415987,0.07629122544849802,0.082664356,0.5014506617459997,0.23059801818006959,100
6,0.04767322946189567,0.45580910531423585,0.21000317899766643,0.086990304,0.522215401077517,0.06729179440548229,0
6,0.05694077968738671,0.5210944901219208,0.21184994819881223,0.099628456,0.5551117571188581,0.1901287394855483,10
6,0.06668545749400057,0.5665910335400774,0.21587667441327998,0.107694246,0.5761885539299294,0.12664163340575957,30
6,0.08024444618416063,0.6336416911340267,0.22500312927139468,0.11665212,0.5922189542348165,0.1810215415240443,60
6,0.08891257228787247,0.6781162226395797,0.22987715915849097,0.121434785,0.6212429661981743,0.16602567987946176,80
