,Metric,Value,alpha
0,WEAT,0.09059804145205393,0
1,WEATES,0.5571404303847677,0
2,ECT,0.5246058917499657,0
3,RNSB,0.04840081246348467,0
4,RND,0.6429963052741666,0
5,RIPA,0.05791362002491951,0
0,WEAT,0.09905448956127723,10
1,WEATES,0.5941690370998465,10
2,ECT,0.49408624712276383,10
3,RNSB,0.06549778876751289,10
4,RND,0.6429378215185418,10
5,RIPA,0.06658179312944412,10
0,WEAT,0.1136024281190181,30
1,WEATES,0.6443690017067435,30
2,ECT,0.519696799862431,30
3,RNSB,0.08938587640384354,30
4,RND,0.6410952974961586,30
5,RIPA,0.08074349164962769,30
0,WEAT,0.1289779514853624,60
1,WEATES,0.6861652173061481,60
2,ECT,0.5602053973911023,60
3,RNSB,0.13148093645813294,60
4,RND,0.6385585573927771,60
5,RIPA,0.096011221408844,60
0,WEAT,0.13693752142644922,80
1,WEATES,0.7054714582050658,80
2,ECT,0.56720996592299,80
3,RNSB,0.13551728695346849,80
4,RND,0.636680223622636,80
5,RIPA,0.10370868444442749,80
0,WEAT,0.14369275220862324,100
1,WEATES,0.7210595039141976,100
2,ECT,0.5766075911324318,100
3,RNSB,0.13949365864743565,100
4,RND,0.6347007356811513,100
5,RIPA,0.11009511351585388,100
0,WEAT,0.021571429288461896,0
1,WEATES,0.19195089066794782,0
2,ECT,0.36542586883649225,0
3,RNSB,0.07547629920679379,0
4,RND,0.10274600520451925,0
5,RIPA,0.03446711599826813,0
0,WEAT,0.03202910480686549,10
1,WEATES,0.2689283244484622,10
2,ECT,0.387479466823732,10
3,RNSB,0.08553132235719525,10
4,RND,0.10100192837160273,10
5,RIPA,0.04761036857962608,10
0,WEAT,0.049855921602337705,30
1,WEATES,0.35313304211253926,30
2,ECT,0.3909548788203339,30
3,RNSB,0.1388035292001574,30
4,RND,0.09950612092328627,30
5,RIPA,0.06551502645015717,30
0,WEAT,0.07114580300163355,60
1,WEATES,0.4514913648494769,60
2,ECT,0.3973775440959308,60
3,RNSB,0.15001869909433832,60
4,RND,0.1035033398478002,60
5,RIPA,0.08442924171686172,60
0,WEAT,0.08113402640146194,80
1,WEATES,0.4880913574823805,80
2,ECT,0.38824154514973497,80
3,RNSB,0.15089445709210314,80
4,RND,0.11218494820805709,80
5,RIPA,0.09398993849754333,80
0,WEAT,0.08898684681377182,100
1,WEATES,0.5131122091594235,100
2,ECT,0.39147330517169426,100
3,RNSB,0.12796428349645714,100
4,RND,0.12004296522141235,100
5,RIPA,0.1018882468342781,100
0,WEAT,0.08230011633367815,0
1,WEATES,0.7686669264042172,0
2,ECT,0.5677170008311019,0
3,RNSB,0.06069696217143445,0
4,RND,0.05752132698876494,0
5,RIPA,0.06227201595902443,0
0,WEAT,0.10469748437182771,10
1,WEATES,0.9021754144066026,10
2,ECT,0.5343489625661605,10
3,RNSB,0.07760165793885691,10
4,RND,0.06955918363326256,10
5,RIPA,0.0792667344212532,10
0,WEAT,0.125864553565544,30
1,WEATES,0.9358796844848548,30
2,ECT,0.48601813764980356,30
3,RNSB,0.11613951354888925,30
4,RND,0.0832896847667967,30
5,RIPA,0.09919562190771103,30
0,WEAT,0.14533266856825663,60
1,WEATES,0.9455225611091728,60
