,Metric,Value,"[theta,neighbour]"
0,WEAT,0.11441690204050423,"[0.02, 50]"
1,WEATES,0.4887136639542192,"[0.02, 50]"
2,ECT,0.5665148318108244,"[0.02, 50]"
3,RNSB,0.012413534576384314,"[0.02, 50]"
4,RND,0.06431184318495044,"[0.02, 50]"
5,RIPA,0.010494701564311981,"[0.02, 50]"
0,WEAT,0.12220540719326144,"[0.05, 50]"
1,WEATES,0.5632755062847877,"[0.05, 50]"
2,ECT,0.6655395642778061,"[0.05, 50]"
3,RNSB,0.0141750310901433,"[0.05, 50]"
4,RND,0.06271847888786525,"[0.05, 50]"
5,RIPA,0.01267954334616661,"[0.05, 50]"
0,WEAT,0.11402753916083602,"[0.1, 50]"
1,WEATES,0.5558875138349169,"[0.1, 50]"
2,ECT,0.6614362988163304,"[0.1, 50]"
3,RNSB,0.013525085036061275,"[0.1, 50]"
4,RND,0.06073087749195072,"[0.1, 50]"
5,RIPA,0.011718262918293476,"[0.1, 50]"
0,WEAT,0.11997239020004688,"[0.02, 100]"
1,WEATES,0.45528209462767727,"[0.02, 100]"
2,ECT,0.5645142694353374,"[0.02, 100]"
3,RNSB,0.014871053993481138,"[0.02, 100]"
4,RND,0.06531430415424873,"[0.02, 100]"
5,RIPA,0.010851849801838398,"[0.02, 100]"
0,WEAT,0.1286483246554715,"[0.05, 100]"
1,WEATES,0.5338342762434837,"[0.05, 100]"
2,ECT,0.6275438924369644,"[0.05, 100]"
3,RNSB,0.015541687084101702,"[0.05, 100]"
4,RND,0.06342384690072815,"[0.05, 100]"
5,RIPA,0.012593810446560383,"[0.05, 100]"
0,WEAT,0.10625723359932855,"[0.1, 100]"
1,WEATES,0.4973579088031298,"[0.1, 100]"
2,ECT,0.6614103891644041,"[0.1, 100]"
3,RNSB,0.015977107409035535,"[0.1, 100]"
4,RND,0.061460228843485176,"[0.1, 100]"
5,RIPA,0.011208931915462017,"[0.1, 100]"
0,WEAT,0.09653999332988428,"[0.02, 200]"
1,WEATES,0.3786291151050762,"[0.02, 200]"
2,ECT,0.6194025954850071,"[0.02, 200]"
3,RNSB,0.014728335049816044,"[0.02, 200]"
4,RND,0.06497198271985276,"[0.02, 200]"
5,RIPA,0.01123376190662384,"[0.02, 200]"
0,WEAT,0.11937872457294939,"[0.05, 200]"
1,WEATES,0.49647301377987113,"[0.05, 200]"
2,ECT,0.6682989570610114,"[0.05, 200]"
3,RNSB,0.012617104196819818,"[0.05, 200]"
4,RND,0.06367107900861785,"[0.05, 200]"
5,RIPA,0.01149467471987009,"[0.05, 200]"
0,WEAT,0.10666578068394124,"[0.1, 200]"
1,WEATES,0.5296896340368115,"[0.1, 200]"
2,ECT,0.6761032461777691,"[0.1, 200]"
3,RNSB,0.013180985411310199,"[0.1, 200]"
4,RND,0.0620687711435097,"[0.1, 200]"
5,RIPA,0.011037692427635193,"[0.1, 200]"
0,WEAT,0.08589517264894588,"[0.02, 50]"
1,WEATES,0.40398004016915234,"[0.02, 50]"
2,ECT,0.735295547883564,"[0.02, 50]"
3,RNSB,0.025622915601360163,"[0.02, 50]"
4,RND,0.01334996902668687,"[0.02, 50]"
5,RIPA,0.010002179071307182,"[0.02, 50]"
0,WEAT,0.07192998713947184,"[0.05, 50]"
1,WEATES,0.366338282250173,"[0.05, 50]"
2,ECT,0.7152309238799014,"[0.05, 50]"
3,RNSB,0.028280576673252032,"[0.05, 50]"
4,RND,0.014385514936942423,"[0.05, 50]"
5,RIPA,0.01061281468719244,"[0.05, 50]"
0,WEAT,0.05652285216805138,"[0.1, 50]"
1,WEATES,0.2752454844922397,"[0.1, 50]"
2,ECT,0.6772740734832543,"[0.1, 50]"
3,RNSB,0.02816748437468744,"[0.1, 50]"
4,RND,0.013954890677088995,"[0.1, 50]"
5,RIPA,0.010201786644756794,"[0.1, 50]"
0,WEAT,0.0865636064685304,"[0.02, 100]"
1,WEATES,0.4211322150293186,"[0.02, 100]"
2,ECT,0.717491395194395,"[0.02, 100]"
