,Weat,Weates,RND,RIPA,ECT,RNSB,theta,neighbours
0,0.11441690204050423,0.4887136639542192,0.06431184318495044,0.010494702,0.5665148318108244,0.012413534576384314,0.02,50
0,0.12220540719326144,0.5632755062847877,0.06271847888786525,0.012679543,0.6655395642778061,0.0141750310901433,0.05,50
0,0.11402753916083602,0.5558875138349169,0.06073087749195072,0.011718263,0.6614362988163304,0.013525085036061275,0.1,50
0,0.11997239020004688,0.45528209462767727,0.06531430415424873,0.01085185,0.5645142694353374,0.014871053993481138,0.02,100
0,0.1286483246554715,0.5338342762434837,0.06342384690072815,0.01259381,0.6275438924369644,0.015541687084101702,0.05,100
0,0.10625723359932855,0.4973579088031298,0.061460228843485176,0.011208932,0.6614103891644041,0.015977107409035535,0.1,100
0,0.09653999332988428,0.3786291151050762,0.06497198271985276,0.011233762,0.6194025954850071,0.014728335049816044,0.02,200
0,0.11937872457294939,0.49647301377987113,0.06367107900861785,0.011494675,0.6682989570610114,0.012617104196819818,0.05,200
0,0.10666578068394124,0.5296896340368115,0.0620687711435097,0.011037692,0.6761032461777691,0.013180985411310199,0.1,200
1,0.08589517264894588,0.40398004016915234,0.01334996902668687,0.010002179,0.735295547883564,0.025622915601360163,0.02,50
1,0.07192998713947184,0.366338282250173,0.014385514936942423,0.010612815,0.7152309238799014,0.028280576673252032,0.05,50
1,0.05652285216805138,0.2752454844922397,0.013954890677088995,0.010201787,0.6772740734832543,0.02816748437468744,0.1,50
1,0.0865636064685304,0.4211322150293186,0.013241211717085158,0.00964775,0.717491395194395,0.024430797824349062,0.02,100
1,0.08153630234670761,0.3920879109573311,0.01584003347218377,0.011372883,0.6930124049827419,0.02781119593972325,0.05,100
1,0.06102577656105819,0.30432404472717406,0.013994062205439682,0.009974589,0.7068644560237954,0.02892831867001367,0.1,100
1,0.06869843361861094,0.4085500411809067,0.01258869005937809,0.008715249,0.6897708453743251,0.025180807178400266,0.02,200
1,0.07543365404105641,0.35980644378146037,0.015244870832899828,0.011682537,0.6681858107722909,0.03397578424173946,0.05,200
1,0.06802275336742598,0.3712533542996864,0.013749140794021314,0.010487427,0.7208075049782378,0.02497712570677611,0.1,200
2,0.06655303563893453,0.4201084861472532,0.011582567034535344,0.0076951706,0.8325336031135984,0.01195574657524361,0.02,50
2,0.06820870760198858,0.39958192305158186,0.014235858483746859,0.008617966,0.8654649978070311,0.015334759917374161,0.05,50
2,0.056119165378316876,0.3132430567445163,0.013028729447275844,0.0077086766,0.8255531795036091,0.019276604346323282,0.1,50
