,Metric,Value,"[theta,neighbour]"
0,WEAT,0.14734246887449734,"[0.02, 50]"
1,WEATES,0.616230546797784,"[0.02, 50]"
2,ECT,0.4981703872991365,"[0.02, 50]"
3,RNSB,0.011692148379601608,"[0.02, 50]"
4,RND,0.061918538433058036,"[0.02, 50]"
5,RIPA,0.013735849410295486,"[0.02, 50]"
0,WEAT,0.17873548923841912,"[0.05, 50]"
1,WEATES,0.7550652186413424,"[0.05, 50]"
2,ECT,0.5936920123712751,"[0.05, 50]"
3,RNSB,0.015604259703393767,"[0.05, 50]"
4,RND,0.059117175674373246,"[0.05, 50]"
5,RIPA,0.015934841707348824,"[0.05, 50]"
0,WEAT,0.1717261763967053,"[0.1, 50]"
1,WEATES,0.7953741268733976,"[0.1, 50]"
2,ECT,0.6100780645988697,"[0.1, 50]"
3,RNSB,0.014551522454066575,"[0.1, 50]"
4,RND,0.05621612584243545,"[0.1, 50]"
5,RIPA,0.01635720767080784,"[0.1, 50]"
0,WEAT,0.14362869953885815,"[0.02, 100]"
1,WEATES,0.6287171667039717,"[0.02, 100]"
2,ECT,0.44847437436429494,"[0.02, 100]"
3,RNSB,0.008404759750144852,"[0.02, 100]"
4,RND,0.06268514791133799,"[0.02, 100]"
5,RIPA,0.013783578760921955,"[0.02, 100]"
0,WEAT,0.17219746141852246,"[0.05, 100]"
1,WEATES,0.714915316359195,"[0.05, 100]"
2,ECT,0.574864526229267,"[0.05, 100]"
3,RNSB,0.012408242270638454,"[0.05, 100]"
4,RND,0.05966763287004987,"[0.05, 100]"
5,RIPA,0.015403804369270802,"[0.05, 100]"
0,WEAT,0.1817272755952047,"[0.1, 100]"
1,WEATES,0.8137121704444612,"[0.1, 100]"
2,ECT,0.6340465223593741,"[0.1, 100]"
3,RNSB,0.014261527329737764,"[0.1, 100]"
4,RND,0.05785371877842074,"[0.1, 100]"
5,RIPA,0.01664596237242222,"[0.1, 100]"
0,WEAT,0.10910491642208144,"[0.02, 200]"
1,WEATES,0.5892023790440667,"[0.02, 200]"
2,ECT,0.44898363916351375,"[0.02, 200]"
3,RNSB,0.009419421625042796,"[0.02, 200]"
4,RND,0.06517783687069656,"[0.02, 200]"
5,RIPA,0.011821567080914974,"[0.02, 200]"
0,WEAT,0.1708311647382195,"[0.05, 200]"
1,WEATES,0.6800688722769337,"[0.05, 200]"
2,ECT,0.5972237675505602,"[0.05, 200]"
3,RNSB,0.01238524391389571,"[0.05, 200]"
4,RND,0.06155168548155784,"[0.05, 200]"
5,RIPA,0.015393986366689205,"[0.05, 200]"
0,WEAT,0.17851848456278596,"[0.1, 200]"
1,WEATES,0.7610138059743855,"[0.1, 200]"
2,ECT,0.6521263582447213,"[0.1, 200]"
3,RNSB,0.014692289630199166,"[0.1, 200]"
4,RND,0.05793565960931582,"[0.1, 200]"
5,RIPA,0.016630271449685097,"[0.1, 200]"
0,WEAT,0.0897873734629606,"[0.02, 50]"
1,WEATES,0.3619868571186304,"[0.02, 50]"
2,ECT,0.6445629568432331,"[0.02, 50]"
3,RNSB,0.024981085305093336,"[0.02, 50]"
4,RND,0.014830407470715276,"[0.02, 50]"
5,RIPA,0.0114390654489398,"[0.02, 50]"
0,WEAT,0.058740031571682255,"[0.05, 50]"
1,WEATES,0.2981147647850664,"[0.05, 50]"
2,ECT,0.6746514117584196,"[0.05, 50]"
3,RNSB,0.03165703905073643,"[0.05, 50]"
4,RND,0.015249734925338586,"[0.05, 50]"
5,RIPA,0.011622465215623379,"[0.05, 50]"
0,WEAT,0.038657625512210865,"[0.1, 50]"
1,WEATES,0.21490535501772204,"[0.1, 50]"
2,ECT,0.6483132896419131,"[0.1, 50]"
3,RNSB,0.02995054285028628,"[0.1, 50]"
4,RND,0.01651019567483226,"[0.1, 50]"
5,RIPA,0.012250232510268688,"[0.1, 50]"
0,WEAT,0.09271621811874291,"[0.02, 100]"
1,WEATES,0.40285411832301776,"[0.02, 100]"
2,ECT,0.6541267689343163,"[0.02, 100]"
3,RNSB,0.027212626491662523,"[0.02, 100]"
4,RND,0.014780326725804536,"[0.02, 100]"
5,RIPA,0.010828523896634579,"[0.02, 100]"
0,WEAT,0.0745962543780857,"[0.05, 100]"
1,WEATES,0.3730612623058195,"[0.05, 100]"
2,ECT,0.6987522128096515,"[0.05, 100]"
3,RNSB,0.027429684828809153,"[0.05, 100]"
4,RND,0.016602850878397187,"[0.05, 100]"
5,RIPA,0.012396752834320068,"[0.05, 100]"
0,WEAT,0.03640185467151965,"[0.1, 100]"
1,WEATES,0.19366977722231898,"[0.1, 100]"
2,ECT,0.6584590015570367,"[0.1, 100]"
3,RNSB,0.03058565647071071,"[0.1, 100]"
4,RND,0.016829467932711867,"[0.1, 100]"
5,RIPA,0.011785726994276047,"[0.1, 100]"
0,WEAT,0.08343305848262783,"[0.02, 200]"
1,WEATES,0.42729455217562967,"[0.02, 200]"
2,ECT,0.6200838331853896,"[0.02, 200]"
3,RNSB,0.027957233647054523,"[0.02, 200]"
4,RND,0.014204192222965336,"[0.02, 200]"
5,RIPA,0.009515930898487568,"[0.02, 200]"
0,WEAT,0.08148469074045699,"[0.05, 200]"
1,WEATES,0.3636744600081468,"[0.05, 200]"
2,ECT,0.6530308687514612,"[0.05, 200]"
3,RNSB,0.03344963080359877,"[0.05, 200]"
4,RND,0.01647497128492835,"[0.05, 200]"
5,RIPA,0.012148155830800533,"[0.05, 200]"
0,WEAT,0.04308779838530029,"[0.1, 200]"
1,WEATES,0.24659423322162283,"[0.1, 200]"
2,ECT,0.6828421228712432,"[0.1, 200]"
3,RNSB,0.03150919190223291,"[0.1, 200]"
4,RND,0.01601702283762989,"[0.1, 200]"
5,RIPA,0.011830928735435009,"[0.1, 200]"
0,WEAT,0.0750240797840996,"[0.02, 50]"
1,WEATES,0.4270794209479686,"[0.02, 50]"
2,ECT,0.8186444666933242,"[0.02, 50]"
3,RNSB,0.012124349138865407,"[0.02, 50]"
4,RND,0.01232824102907669,"[0.02, 50]"
5,RIPA,0.01079482864588499,"[0.02, 50]"
0,WEAT,0.07311212115194193,"[0.05, 50]"
1,WEATES,0.4376356040769855,"[0.05, 50]"
2,ECT,0.84887865472239,"[0.05, 50]"
3,RNSB,0.014100396164972686,"[0.05, 50]"
4,RND,0.012579029366087626,"[0.05, 50]"
5,RIPA,0.009356467053294182,"[0.05, 50]"
0,WEAT,0.07679630463144,"[0.1, 50]"
1,WEATES,0.43455940877467725,"[0.1, 50]"
2,ECT,0.8358284294812912,"[0.1, 50]"
3,RNSB,0.014535070289157534,"[0.1, 50]"
4,RND,0.012595408641720872,"[0.1, 50]"
5,RIPA,0.011033236980438232,"[0.1, 50]"
0,WEAT,0.06276637250356018,"[0.02, 100]"
1,WEATES,0.3464876565504521,"[0.02, 100]"
2,ECT,0.844364416727668,"[0.02, 100]"
3,RNSB,0.011672533478344588,"[0.02, 100]"
4,RND,0.011627300714119505,"[0.02, 100]"
5,RIPA,0.010216939263045788,"[0.02, 100]"
0,WEAT,0.06546895145766458,"[0.05, 100]"
1,WEATES,0.3612897593178554,"[0.05, 100]"
2,ECT,0.8373778742626746,"[0.05, 100]"
3,RNSB,0.012732848416231448,"[0.05, 100]"
4,RND,0.011777202044074458,"[0.05, 100]"
5,RIPA,0.010215000249445438,"[0.05, 100]"
0,WEAT,0.07009271383889629,"[0.1, 100]"
1,WEATES,0.35354773481103086,"[0.1, 100]"
2,ECT,0.8474648274031621,"[0.1, 100]"
3,RNSB,0.011189355493660503,"[0.1, 100]"
4,RND,0.012866259703054342,"[0.1, 100]"
5,RIPA,0.011948883533477783,"[0.1, 100]"
0,WEAT,0.0697127439167882,"[0.02, 200]"
1,WEATES,0.4072476550666959,"[0.02, 200]"
2,ECT,0.7966103005786627,"[0.02, 200]"
3,RNSB,0.007572930319384966,"[0.02, 200]"
4,RND,0.011542779381181091,"[0.02, 200]"
