,Metric,Value,"[theta,neighbour]"
0,WEAT,0.14516806670843663,"[0.02, 50]"
1,WEATES,0.5910962475267042,"[0.02, 50]"
2,ECT,0.5272452671007551,"[0.02, 50]"
3,RNSB,0.013816732267676398,"[0.02, 50]"
4,RND,0.06371390575315085,"[0.02, 50]"
5,RIPA,0.012972090393304825,"[0.02, 50]"
0,WEAT,0.1503796646118502,"[0.05, 50]"
1,WEATES,0.6970993189815259,"[0.05, 50]"
2,ECT,0.6464876680302026,"[0.05, 50]"
3,RNSB,0.016310965530496387,"[0.05, 50]"
4,RND,0.05852844479115246,"[0.05, 50]"
5,RIPA,0.013301107101142406,"[0.05, 50]"
0,WEAT,0.14346060986308276,"[0.1, 50]"
1,WEATES,0.7331941959230645,"[0.1, 50]"
2,ECT,0.6483558249358486,"[0.1, 50]"
3,RNSB,0.011356437205202255,"[0.1, 50]"
4,RND,0.05732788949469997,"[0.1, 50]"
5,RIPA,0.013443578965961933,"[0.1, 50]"
0,WEAT,0.1359362354354717,"[0.02, 100]"
1,WEATES,0.5621593787923578,"[0.02, 100]"
2,ECT,0.5656880299972105,"[0.02, 100]"
3,RNSB,0.009665615776316475,"[0.02, 100]"
4,RND,0.06651136254286333,"[0.02, 100]"
5,RIPA,0.013498082756996155,"[0.02, 100]"
0,WEAT,0.15025904746147967,"[0.05, 100]"
1,WEATES,0.6520805014276742,"[0.05, 100]"
2,ECT,0.6351824904899956,"[0.05, 100]"
3,RNSB,0.01584740574139645,"[0.05, 100]"
4,RND,0.059553800973945165,"[0.05, 100]"
5,RIPA,0.012986890971660614,"[0.05, 100]"
0,WEAT,0.15058149577557844,"[0.1, 100]"
1,WEATES,0.7894962622824151,"[0.1, 100]"
2,ECT,0.6423519220520669,"[0.1, 100]"
3,RNSB,0.012246700387222422,"[0.1, 100]"
4,RND,0.058289289988427646,"[0.1, 100]"
5,RIPA,0.013441137038171291,"[0.1, 100]"
0,WEAT,0.10608660938568445,"[0.02, 200]"
1,WEATES,0.5798159142152981,"[0.02, 200]"
2,ECT,0.5607411388542173,"[0.02, 200]"
3,RNSB,0.010859927230839535,"[0.02, 200]"
4,RND,0.06646264077610227,"[0.02, 200]"
5,RIPA,0.012190287001430988,"[0.02, 200]"
0,WEAT,0.15895404804556817,"[0.05, 200]"
1,WEATES,0.6538854074338935,"[0.05, 200]"
2,ECT,0.6297956591208403,"[0.05, 200]"
3,RNSB,0.014328400727294698,"[0.05, 200]"
4,RND,0.06328992593911531,"[0.05, 200]"
5,RIPA,0.014334277249872684,"[0.05, 200]"
0,WEAT,0.1460048802893622,"[0.1, 200]"
1,WEATES,0.678932913978657,"[0.1, 200]"
2,ECT,0.6724840952927079,"[0.1, 200]"
3,RNSB,0.014449391246060641,"[0.1, 200]"
4,RND,0.05924752758159363,"[0.1, 200]"
5,RIPA,0.013205651193857193,"[0.1, 200]"
0,WEAT,0.05492972141167786,"[0.02, 50]"
1,WEATES,0.27503240077579394,"[0.02, 50]"
2,ECT,0.7467934864757565,"[0.02, 50]"
3,RNSB,0.021995995189849616,"[0.02, 50]"
4,RND,0.008172595700379537,"[0.02, 50]"
5,RIPA,0.007119157817214727,"[0.02, 50]"
0,WEAT,0.055206198655595784,"[0.05, 50]"
1,WEATES,0.2779907163714294,"[0.05, 50]"
2,ECT,0.7540539054277563,"[0.05, 50]"
3,RNSB,0.02922246593851535,"[0.05, 50]"
4,RND,0.008952533177463114,"[0.05, 50]"
5,RIPA,0.0079036895185709,"[0.05, 50]"
0,WEAT,0.04629867342355412,"[0.1, 50]"
1,WEATES,0.22316409843480253,"[0.1, 50]"
2,ECT,0.7105654786759544,"[0.1, 50]"
3,RNSB,0.0300609362890261,"[0.1, 50]"
4,RND,0.009850747041305745,"[0.1, 50]"
5,RIPA,0.00663044722750783,"[0.1, 50]"
0,WEAT,0.051055132251268856,"[0.02, 100]"
1,WEATES,0.2604566664433514,"[0.02, 100]"
2,ECT,0.7231589141833951,"[0.02, 100]"
3,RNSB,0.01944530670154313,"[0.02, 100]"
4,RND,0.008641771688093889,"[0.02, 100]"
5,RIPA,0.0066908313892781734,"[0.02, 100]"
0,WEAT,0.05265351682587616,"[0.05, 100]"
1,WEATES,0.2648485591672865,"[0.05, 100]"
2,ECT,0.7573826997674175,"[0.05, 100]"
