,Metric,Value,"[theta,neighbour]"
0,WEAT,0.15204777818582643,"[0.02, 50]"
1,WEATES,0.6476309207733879,"[0.02, 50]"
2,ECT,0.5173390458067547,"[0.02, 50]"
3,RNSB,0.01178105337618919,"[0.02, 50]"
4,RND,0.062254496385017184,"[0.02, 50]"
5,RIPA,0.014654035679996014,"[0.02, 50]"
0,WEAT,0.17719115238850475,"[0.05, 50]"
1,WEATES,0.761757054608278,"[0.05, 50]"
2,ECT,0.6081920906765753,"[0.05, 50]"
3,RNSB,0.012770732933800818,"[0.05, 50]"
4,RND,0.06024460270972548,"[0.05, 50]"
5,RIPA,0.01597028411924839,"[0.05, 50]"
0,WEAT,0.1651095691534566,"[0.1, 50]"
1,WEATES,0.8188016985019484,"[0.1, 50]"
2,ECT,0.6108290078571607,"[0.1, 50]"
3,RNSB,0.017354863166801633,"[0.1, 50]"
4,RND,0.0579591786955794,"[0.1, 50]"
5,RIPA,0.01628260873258114,"[0.1, 50]"
0,WEAT,0.15787027325657635,"[0.02, 100]"
1,WEATES,0.6475803749357911,"[0.02, 100]"
2,ECT,0.506750243940655,"[0.02, 100]"
3,RNSB,0.008101702092707762,"[0.02, 100]"
4,RND,0.06407786413744616,"[0.02, 100]"
5,RIPA,0.01527912076562643,"[0.02, 100]"
0,WEAT,0.1769299067713608,"[0.05, 100]"
1,WEATES,0.7224533475572986,"[0.05, 100]"
2,ECT,0.6206885829700969,"[0.05, 100]"
3,RNSB,0.016037900513568508,"[0.05, 100]"
4,RND,0.061020425279339686,"[0.05, 100]"
5,RIPA,0.01581496186554432,"[0.05, 100]"
0,WEAT,0.1710964754437449,"[0.1, 100]"
1,WEATES,0.7787603902584593,"[0.1, 100]"
2,ECT,0.5986102501872442,"[0.1, 100]"
3,RNSB,0.016467527121310013,"[0.1, 100]"
4,RND,0.05895829520511884,"[0.1, 100]"
5,RIPA,0.016424495726823807,"[0.1, 100]"
0,WEAT,0.13114386859678287,"[0.02, 200]"
1,WEATES,0.6179405439629359,"[0.02, 200]"
2,ECT,0.41146518257183656,"[0.02, 200]"
3,RNSB,0.009741150851730654,"[0.02, 200]"
4,RND,0.06519469822599294,"[0.02, 200]"
5,RIPA,0.013198581524193287,"[0.02, 200]"
0,WEAT,0.19209395300387258,"[0.05, 200]"
1,WEATES,0.7517579151440544,"[0.05, 200]"
2,ECT,0.5762065191172389,"[0.05, 200]"
3,RNSB,0.011795003635465416,"[0.05, 200]"
4,RND,0.06416950372448356,"[0.05, 200]"
5,RIPA,0.017823616042733192,"[0.05, 200]"
0,WEAT,0.16930834097735226,"[0.1, 200]"
1,WEATES,0.7450208263701669,"[0.1, 200]"
2,ECT,0.6351584627678034,"[0.1, 200]"
3,RNSB,0.014892536752062702,"[0.1, 200]"
4,RND,0.06075179337263561,"[0.1, 200]"
5,RIPA,0.015717506408691406,"[0.1, 200]"
0,WEAT,0.057115463017898466,"[0.02, 50]"
1,WEATES,0.2507718195515447,"[0.02, 50]"
2,ECT,0.7293138114286742,"[0.02, 50]"
3,RNSB,0.019806615093749463,"[0.02, 50]"
4,RND,0.010755997824217768,"[0.02, 50]"
5,RIPA,0.008003586903214455,"[0.02, 50]"
0,WEAT,0.034380980305651586,"[0.05, 50]"
1,WEATES,0.17130859463347378,"[0.05, 50]"
2,ECT,0.6963803917473178,"[0.05, 50]"
3,RNSB,0.028574450436157247,"[0.05, 50]"
4,RND,0.010107016269359453,"[0.05, 50]"
5,RIPA,0.007656034082174301,"[0.05, 50]"
0,WEAT,0.028472295432725805,"[0.1, 50]"
1,WEATES,0.1639907336662203,"[0.1, 50]"
2,ECT,0.7336679305100412,"[0.1, 50]"
3,RNSB,0.027532831142483095,"[0.1, 50]"
4,RND,0.010773421242760864,"[0.1, 50]"
5,RIPA,0.007715316955000162,"[0.1, 50]"
0,WEAT,0.05065275396539901,"[0.02, 100]"
1,WEATES,0.2710274216279619,"[0.02, 100]"
2,ECT,0.671488573143684,"[0.02, 100]"
3,RNSB,0.019395384696575053,"[0.02, 100]"
4,RND,0.010254425597642537,"[0.02, 100]"
5,RIPA,0.006641769781708717,"[0.02, 100]"
0,WEAT,0.04067234471231013,"[0.05, 100]"
1,WEATES,0.21172203528711672,"[0.05, 100]"
2,ECT,0.7305374522316447,"[0.05, 100]"
3,RNSB,0.02515603624612006,"[0.05, 100]"
4,RND,0.011294878622043413,"[0.05, 100]"
5,RIPA,0.00651225820183754,"[0.05, 100]"
0,WEAT,0.033626008926969306,"[0.1, 100]"
1,WEATES,0.18441410416180132,"[0.1, 100]"
2,ECT,0.7615388533529256,"[0.1, 100]"
3,RNSB,0.023795006898638178,"[0.1, 100]"
4,RND,0.010668569986351703,"[0.1, 100]"
5,RIPA,0.008281434886157513,"[0.1, 100]"
0,WEAT,0.047215665423973534,"[0.02, 200]"
1,WEATES,0.33412012554522447,"[0.02, 200]"
2,ECT,0.650108708608735,"[0.02, 200]"
3,RNSB,0.02189691160510523,"[0.02, 200]"
4,RND,0.010463484302747308,"[0.02, 200]"
5,RIPA,0.00682308292016387,"[0.02, 200]"
0,WEAT,0.03615822522866375,"[0.05, 200]"
1,WEATES,0.18605430254259891,"[0.05, 200]"
2,ECT,0.7418925760475942,"[0.05, 200]"
3,RNSB,0.03175868996301529,"[0.05, 200]"
4,RND,0.010142023634668608,"[0.05, 200]"
5,RIPA,0.00735710933804512,"[0.05, 200]"
0,WEAT,0.04494181587801619,"[0.1, 200]"
1,WEATES,0.2217734107783196,"[0.1, 200]"
2,ECT,0.7186464544982849,"[0.1, 200]"
3,RNSB,0.028540755030745612,"[0.1, 200]"
4,RND,0.011002285026376964,"[0.1, 200]"
5,RIPA,0.007369102444499731,"[0.1, 200]"
0,WEAT,0.05262634911855824,"[0.02, 50]"
1,WEATES,0.28350025195684997,"[0.02, 50]"
2,ECT,0.8133079708970689,"[0.02, 50]"
3,RNSB,0.011251207180207775,"[0.02, 50]"
4,RND,0.0140248423839806,"[0.02, 50]"
5,RIPA,0.007573891896754503,"[0.02, 50]"
0,WEAT,0.0500944475809971,"[0.05, 50]"
1,WEATES,0.26447192824538673,"[0.05, 50]"
2,ECT,0.8235317180414405,"[0.05, 50]"
3,RNSB,0.01463778050606737,"[0.05, 50]"
4,RND,0.013132301223901743,"[0.05, 50]"
5,RIPA,0.007078820373862982,"[0.05, 50]"
0,WEAT,0.05693432820328249,"[0.1, 50]"
1,WEATES,0.3183844844970074,"[0.1, 50]"
2,ECT,0.8354859139791365,"[0.1, 50]"
3,RNSB,0.009983312231998984,"[0.1, 50]"
4,RND,0.013802989783288054,"[0.1, 50]"
5,RIPA,0.008119869977235794,"[0.1, 50]"
0,WEAT,0.0409704235651815,"[0.02, 100]"
1,WEATES,0.21253017272343727,"[0.02, 100]"
2,ECT,0.8485383369703587,"[0.02, 100]"
3,RNSB,0.01201357392747188,"[0.02, 100]"
4,RND,0.01467352539123192,"[0.02, 100]"
5,RIPA,0.008347353897988796,"[0.02, 100]"
0,WEAT,0.044279482409826175,"[0.05, 100]"
1,WEATES,0.2324131021212882,"[0.05, 100]"
2,ECT,0.8513980866302625,"[0.05, 100]"
3,RNSB,0.01316590887474344,"[0.05, 100]"
4,RND,0.014013383305415574,"[0.05, 100]"
5,RIPA,0.007480567321181297,"[0.05, 100]"
0,WEAT,0.05181063551380037,"[0.1, 100]"
1,WEATES,0.26196304500976303,"[0.1, 100]"
2,ECT,0.8410239218520061,"[0.1, 100]"
3,RNSB,0.011958482631894047,"[0.1, 100]"
4,RND,0.013603728445446071,"[0.1, 100]"
5,RIPA,0.008730350062251091,"[0.1, 100]"
0,WEAT,0.053142419377605166,"[0.02, 200]"
1,WEATES,0.30550701083403936,"[0.02, 200]"
2,ECT,0.7593740906738845,"[0.02, 200]"
3,RNSB,0.013510675437933358,"[0.02, 200]"
4,RND,0.01305967402451412,"[0.02, 200]"
5,RIPA,0.008488403633236885,"[0.02, 200]"
0,WEAT,0.05106309021905914,"[0.05, 200]"
1,WEATES,0.27289646021948555,"[0.05, 200]"
2,ECT,0.8336409880648863,"[0.05, 200]"
3,RNSB,0.00884642471219092,"[0.05, 200]"
4,RND,0.014520280584144273,"[0.05, 200]"
5,RIPA,0.007508817594498396,"[0.05, 200]"
0,WEAT,0.04934629897543597,"[0.1, 200]"
1,WEATES,0.2368509601751813,"[0.1, 200]"
2,ECT,0.8501614128787072,"[0.1, 200]"
3,RNSB,0.011211775228299636,"[0.1, 200]"
4,RND,0.013375888078235703,"[0.1, 200]"
5,RIPA,0.008447541855275631,"[0.1, 200]"
0,WEAT,0.08634507756891438,"[0.02, 50]"
1,WEATES,0.46242502076781367,"[0.02, 50]"
2,ECT,0.8726514363206631,"[0.02, 50]"
3,RNSB,0.014399381789612533,"[0.02, 50]"
4,RND,0.011335067829823959,"[0.02, 50]"
5,RIPA,0.015254874713718891,"[0.02, 50]"
0,WEAT,0.09273198502545711,"[0.05, 50]"
1,WEATES,0.5674726262211564,"[0.05, 50]"
2,ECT,0.8936703662501485,"[0.05, 50]"
3,RNSB,0.011850874790500865,"[0.05, 50]"
4,RND,0.011609353767070604,"[0.05, 50]"
5,RIPA,0.016647713258862495,"[0.05, 50]"
0,WEAT,0.08046706130791041,"[0.1, 50]"
1,WEATES,0.5714239724769277,"[0.1, 50]"
2,ECT,0.9042588856544098,"[0.1, 50]"
3,RNSB,0.011016915124772644,"[0.1, 50]"
4,RND,0.010350497897267866,"[0.1, 50]"
5,RIPA,0.019417760893702507,"[0.1, 50]"
0,WEAT,0.08363479345187769,"[0.02, 100]"
1,WEATES,0.4632728821790087,"[0.02, 100]"
2,ECT,0.8590673269378005,"[0.02, 100]"
3,RNSB,0.011176996505787216,"[0.02, 100]"
4,RND,0.012410367675347408,"[0.02, 100]"
5,RIPA,0.013565958477556705,"[0.02, 100]"
0,WEAT,0.09886065382577382,"[0.05, 100]"
1,WEATES,0.5626878819996433,"[0.05, 100]"
2,ECT,0.8982365275112819,"[0.05, 100]"
3,RNSB,0.012431258557975675,"[0.05, 100]"
4,RND,0.013001628679303835,"[0.05, 100]"
5,RIPA,0.01704002544283867,"[0.05, 100]"
0,WEAT,0.08085711154383941,"[0.1, 100]"
1,WEATES,0.5438547885090761,"[0.1, 100]"
2,ECT,0.8901726808104065,"[0.1, 100]"
3,RNSB,0.010104422871884053,"[0.1, 100]"
4,RND,0.010332964924073115,"[0.1, 100]"
5,RIPA,0.01862402632832527,"[0.1, 100]"
0,WEAT,0.079014219282322,"[0.02, 200]"
1,WEATES,0.4190877065560808,"[0.02, 200]"
2,ECT,0.8392398922500136,"[0.02, 200]"
3,RNSB,0.005917354825319298,"[0.02, 200]"
4,RND,0.013122830481785126,"[0.02, 200]"
5,RIPA,0.013339083641767502,"[0.02, 200]"
