,Weat,Weates,RND,RIPA,ECT,RNSB,theta,neighbours
0,0.13655995819630717,0.5663464845211484,0.06437679055130639,0.011998835,0.5233958693750497,0.016728150004981675,0.02,50
0,0.1425756799087023,0.674692847793126,0.06406271663658968,0.014135751,0.6099445042135343,0.011440696325146374,0.05,50
0,0.14282967539079858,0.6756318874893116,0.06275695570825567,0.013770741,0.6379613263582896,0.013900509253537002,0.1,50
0,0.1277876806808204,0.5260257119884093,0.06524232252505659,0.011201979,0.5334594652130235,0.015217542493380346,0.02,100
0,0.14579053217182872,0.6257694224179219,0.06456540285223684,0.013646265,0.6314052164573839,0.01686940789459757,0.05,100
0,0.14365806748319454,0.704461522238738,0.06347688132144229,0.0136294635,0.6506210755820669,0.013774771887792971,0.1,100
0,0.11598160830027948,0.5269687773071606,0.06636171980036963,0.011145937,0.5914128542289419,0.010980958919706062,0.02,200
0,0.13995304226450278,0.5786442440254539,0.06530454585731803,0.012964145,0.6533761766762789,0.013230364741317054,0.05,200
0,0.14220373520267804,0.6653231264253741,0.06346035103067794,0.0137773035,0.638430122838705,0.01230974952188178,0.1,200
1,0.0580049142104683,0.22881585436436838,0.010852354238242233,0.0071302378,0.7457138007646346,0.02157744674243093,0.02,50
1,0.05674146847409744,0.24280033322536412,0.011725997202800683,0.007358394,0.781059268318761,0.026024378822217465,0.05,50
1,0.04729707537105688,0.18327149917140925,0.011911709988285614,0.007828601,0.7712095456620568,0.02617408909355126,0.1,50
1,0.06338795995682278,0.2831668141194951,0.011333506468082242,0.006725809,0.6873817125314869,0.019371756859007338,0.02,100
1,0.06060949046430509,0.2986196691170909,0.012965877698987471,0.0082349805,0.7579807019827332,0.026139400913655315,0.05,100
1,0.052527115537726404,0.23322697705195114,0.011766749918396853,0.007959674,0.7963301273682766,0.029542290755867517,0.1,100
1,0.05974187554481679,0.2897395899730877,0.012880504108140527,0.008221451,0.678505527323518,0.021425965131006704,0.02,200
1,0.0537067639555434,0.2558162798580405,0.01287340649076566,0.008923029,0.7079842763215761,0.025668362694046605,0.05,200
1,0.04932468363098913,0.23340990285045385,0.012274324442733074,0.0068839695,0.7920084009022609,0.02729868183651729,0.1,200
2,0.08354441549108357,0.3951452464662312,0.015683158580332927,0.010658175,0.8250968559590341,0.015343694147834066,0.02,50
2,0.07481412566451053,0.38552058456462424,0.018654168311924353,0.012844022,0.8706716215867046,0.010382808816601877,0.05,50
2,0.07413114569196647,0.46220761404588584,0.019506915150035057,0.011852232,0.8380724946652559,0.01056787029726163,0.1,50
2,0.0765405599736648,0.3515870628951222,0.014854297046388555,0.010552689,0.7976772269852423,0.014372045447061232,0.02,100
2,0.07149275888431769,0.3555508630007073,0.017624206470750015,0.011711374,0.868319843033127,0.012178340313383709,0.05,100
2,0.07368288903858253,0.459573188598043,0.019986475121073773,0.012336489,0.862280523340095,0.010989274274118499,0.1,100
2,0.06796319942548606,0.3896620741055744,0.014591095980468942,0.010396306,0.787245227697671,0.009543702914611202,0.02,200
2,0.0839214847746366,0.39471008427919113,0.016563516451211315,0.01142513,0.8105781233651196,0.01085484409330031,0.05,200
2,0.07639153300767224,0.4299120507090935,0.019224444947231967,0.012152313,0.8629090591590048,0.008138575561988359,0.1,200
3,0.10867127155857305,0.6348451325859886,0.013245288878618915,0.018475559,0.9157049245962531,0.00926220986773157,0.02,50
3,0.10516628370933735,0.6561896653805975,0.011522181986323049,0.02290005,0.915329820354501,0.01168900940221943,0.05,50
3,0.08957624686936669,0.5713570005776853,0.010577845156994233,0.028206177,0.9115600328419311,0.011922706571883082,0.1,50
3,0.10247376620288878,0.5964528149931487,0.014179935096368503,0.018085953,0.9249135513094954,0.004809922029135307,0.02,100
3,0.1121995317275656,0.6195677729414383,0.013016501727953234,0.021659104,0.9092230974913623,0.010743875649792215,0.05,100
3,0.09284570251179641,0.645248316725277,0.010670693351108927,0.028172983,0.9124189994475663,0.01074487724159318,0.1,100
3,0.08592157719963546,0.5587535582512674,0.01362031049696239,0.0155633995,0.8814208248081683,0.005470302996730577,0.02,200
3,0.11126281595036557,0.5416931829010083,0.01403976761316709,0.020103304,0.9107059739971821,0.00933745200992621,0.05,200
3,0.09539623881498106,0.602879033225388,0.010624489610822359,0.026800444,0.9192737926162438,0.007962479926071192,0.1,200
4,0.13496070626932122,0.6325250389974876,0.027077542914762723,0.017266938,0.7367040446931316,0.01761775268982372,0.02,50
4,0.13072918624666593,0.664711705327873,0.024901016048071534,0.019212725,0.6303319190873239,0.015420955445238447,0.05,50
4,0.11908177957138154,0.6093837321674942,0.02377851074508093,0.022706889,0.6073095365025529,0.011242310932004328,0.1,50
4,0.14294780007799918,0.6483744445145023,0.028151643800037502,0.017345428,0.7367538933326864,0.014722204683912781,0.02,100
4,0.13118452962426755,0.6369363368448082,0.027681884121594256,0.017516376,0.6295794122771613,0.014286161088986834,0.05,100
4,0.13061591198133635,0.6598615419373741,0.02543067610427374,0.019971026,0.6347643315578233,0.013449320531713313,0.1,100
4,0.14803892819208897,0.6674844332549964,0.028521759301858265,0.016466783,0.6132800496834638,0.013749857832143568,0.02,200
4,0.14838637379718259,0.6607576120080244,0.02947812717796657,0.0183564,0.6185734419814386,0.011115233517657532,0.05,200
4,0.1292585514381298,0.6204394441502706,0.02584848728770019,0.01912066,0.6319689297656943,0.01306646568667587,0.1,200
5,0.050469650592261675,0.4719506292299806,0.015043061603566636,0.009998104,0.8734748288442877,0.014332091045912486,0.02,50
5,0.0423332083642706,0.38861847831157814,0.014689500037178024,0.01013389,0.8643392815746177,0.018634188426251298,0.05,50
5,0.03874351861927813,0.3614743397431924,0.013853117599149206,0.010659822,0.8651131308747623,0.01674963819587533,0.1,50
5,0.045145772410102133,0.4277178393067907,0.015554333162411617,0.010345371,0.8251468264913765,0.019818315858692554,0.02,100
5,0.04543163920034551,0.41171558107783157,0.014551144920203892,0.010274098,0.8581381860502115,0.02257521145279661,0.05,100
5,0.04266146328727663,0.3850068468799546,0.013977766102950104,0.010467655,0.8638477462337196,0.015276564207954249,0.1,100
5,0.04865714884234606,0.4601219726467819,0.015523164462293258,0.010419752,0.812666070139301,0.011410619645485787,0.02,200
5,0.049849461414172264,0.45647325022777163,0.01422319215342098,0.010477054,0.8635878211718001,0.012845470305833492,0.05,200
5,0.04633988036333432,0.4188932102426016,0.014421999469666462,0.009857316,0.8676366607576266,0.01902531146576095,0.1,200
6,0.06055359588884067,0.4645105696230908,0.021379627929042553,0.014611387,0.7950435194498775,0.02299822974865686,0.02,50
6,0.06698345544145073,0.48973755507670197,0.022379419908832496,0.016202403,0.8380712208442551,0.033075381717224565,0.05,50
6,0.06953746473828686,0.5094517867451879,0.023003738238797197,0.019814378,0.8329507366912691,0.035671305984112146,0.1,50
6,0.05527506655460669,0.40865605586388165,0.022587301607569842,0.014330923,0.7831581415246683,0.022510660606551023,0.02,100
6,0.06309358261982129,0.4537304963042804,0.02169226736418503,0.01617055,0.8305599189158954,0.03295622976608436,0.05,100
6,0.06609894313908708,0.502294159250922,0.02240603416502591,0.018598916,0.8427971846474879,0.033571695033302866,0.1,100
6,0.07374738948267559,0.5960129022923571,0.025704068683081893,0.01490815,0.8085820504067797,0.02419611680541319,0.02,200
6,0.07444080984787872,0.49114698204717955,0.024020839100574936,0.017296277,0.7941811023926201,0.03377001770579625,0.05,200
6,0.06272603288164055,0.46127625669121297,0.021824441918696952,0.016571948,0.8388149511352553,0.03660528971193363,0.1,200
7,0.10337527162643709,0.6714858821788952,0.021952535431107745,0.023983553,0.6150336158932019,0.0400528123596507,0.02,50
7,0.06933469355084579,0.5080237866302468,0.021023579119510628,0.027318371,0.5762343095681521,0.04768645363929546,0.05,50
7,0.07786056823179535,0.6122621514248155,0.02309477901588335,0.028741375,0.5015248431940463,0.043038640390762044,0.1,50
7,0.10099733330645734,0.6260771383279641,0.02114447720344063,0.023474121,0.6463731947037786,0.043247031092787276,0.02,100
7,0.08006940929742858,0.5510127860517484,0.020708114834838923,0.024834514,0.5535480220319319,0.050424723208087406,0.05,100
7,0.0738925434311089,0.5583391203412814,0.02175175960450643,0.026831293,0.5541358225324148,0.04920304372984232,0.1,100
7,0.07785993363826271,0.5311575688813669,0.017419006509024993,0.023317216,0.5886714940579917,0.03771492528552929,0.02,200
7,0.09401176884907692,0.6163656967808481,0.02172500243927009,0.022859707,0.536149594251225,0.04912647670511935,0.05,200
7,0.07155214607198375,0.5273834732792904,0.021172316260039552,0.0260967,0.5805864095446552,0.04243342762306346,0.1,200
8,0.06541644118941038,0.3867421586196894,0.015390168777867272,0.015898654,0.898596457708364,0.021571158727984922,0.02,50
8,0.0768820603627268,0.5121063250316877,0.0171858490975284,0.017957,0.9125602557244807,0.01614629352429962,0.05,50
8,0.07236958859003871,0.5139901942274687,0.01840804768570758,0.019241689,0.8952612635784715,0.020727605942186696,0.1,50
8,0.06214082086079581,0.34398290516568525,0.01497417832973759,0.014908243,0.8887923226297253,0.023343140896858173,0.02,100
8,0.07419034996821945,0.45248418708071053,0.01720546930986883,0.017289476,0.9039940478279033,0.019224117570103467,0.05,100
8,0.06797479552511922,0.4763326290676096,0.01824791424733176,0.018917464,0.8988660097149234,0.020612270066659066,0.1,100
8,0.0667851778340822,0.38623204638066094,0.013697888167767814,0.014233929,0.8011948122944325,0.021692833441546912,0.02,200
8,0.06981056361305948,0.4106755577155122,0.016469528435453604,0.016874082,0.8916127138681179,0.020862159168263148,0.05,200
8,0.06823543317335473,0.4584046923925686,0.017936066439971674,0.018937344,0.9008407024819863,0.01801148755739127,0.1,200
